ID,Title_Lang_enUS,Description_Lang_enUS,Reward_Lang_enUS
683,Collector's Edition: Frost Wyrm Whelp,Owner of the Wrath of the Lich King's Collector's Edition Frost Wyrm Whelp pet.,
684,Onyxia's Lair (Level 60),"Defeat the classic, level 60 version of Onyxia.",
685,Blackwing Lair,Defeat Nefarian.,
686,Molten Core,Defeat Ragnaros.,
687,Temple of Ahn'Qiraj,Defeat C'Thun.,
688,Zul'Gurub,Defeat Hakkar.,
689,Ruins of Ahn'Qiraj,Defeat Ossirian the Unscarred.,
690,Karazhan,Defeat Prince Malchezaar in Karazhan.,
691,Zul'Aman,Defeat Zul'jin in Zul'Aman.,
692,Gruul's Lair,Defeat Gruul the Dragonkiller in Gruul's Lair.,
693,Magtheridon's Lair,Defeat Magtheridon in Magtheridon's Lair.,
694,Serpentshrine Cavern,Defeat Lady Vashj in Serpentshrine Cavern.,
695,The Battle for Mount Hyjal,Defeat Archimonde in The Battle for Mount Hyjal.,
696,Tempest Keep,Defeat Kael'thas Sunstrider in Tempest Keep.,
697,The Black Temple,Defeat Illidan Stormrage in The Black Temple.,
698,Sunwell Plateau,Defeat Kil'jaeden in Sunwell Plateau.,
699,World Wide Winner,"Win a ranked arena match in Blade's Edge, Nagrand, The Ring of Valor, Dalaran Sewers and the Ruins of Lordaeron at level 80.",
700,Freedom of the Horde,Obtain an Insignia or Medallion of the Horde.,
701,Freedom of the Alliance,Obtain an Insignia or Medallion of the Alliance.,
705,Master of Arms,Raise four weapon skills to 400.,
706,Frostwolf Howler,Obtain a Frostwolf Howler.,
707,Stormpike Battle Charger,Obtain a Stormpike Battle Charger.,
708,Hero of the Frostwolf Clan,Gain exalted reputation with the Frostwolf Clan.,
709,Hero of the Stormpike Guard,Gain exalted reputation with the Stormpike Guard.,
710,The Defiler,Gain exalted reputation with The Forsaken Defilers.,
711,Knight of Arathor,Gain exalted reputation with The League of Arathor.,
712,Warsong Outrider,Gain exalted reputation with the Warsong Outriders.,
713,Silverwing Sentinel,Gain exalted reputation with the Silverwing Sentinels.,
714,The Conqueror,"Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted.",Title Reward: Conqueror
725,"Thori'dal, the Stars' Fury","Wielder of Thori'dal, the Stars' Fury.",
726,Mr. Pinchy's Magical Crawdad Box,Fish your way to Mr. Pinchy's Magical Crawdad Box.,
727,Call in the Cavalry,Obtain one of the war mounts through the honor system.,
728,Explore Durotar,"Explore Durotar, revealing the covered areas of the world map.",
729,Deathcharger's Reins,Obtain the Deathcharger's Reins from Baron Rivendare in Stratholme.,
730,Skills to Pay the Bills,"Become a Grand Master in fishing, first aid and cooking.",
731,Professional Expert,Become an Expert in a profession.,
732,Professional Artisan,Become an Artisan in a profession.,
733,Professional Master,Become a Master in a profession.,
734,Professional Grand Master,Become a Grand Master in a profession.,
735,Working Day and Night,Become a Grand Master in two professions.,
736,Explore Mulgore,"Explore Mulgore, revealing the covered areas of the world map.",
750,Explore The Barrens,"Explore The Barrens, revealing the covered areas of the world map.",
752,Deaths in Naxxramas,Deaths in Naxxramas,
753,Average gold earned per day,Average gold earned per day,
759,Average daily quests completed per day,Average daily quests completed per day,
760,Explore Alterac Mountains,"Explore Alterac Mountains, revealing the covered areas of the world map.",
761,Explore Arathi Highlands,"Explore Arathi Highlands, revealing the covered areas of the world map.",
762,Ambassador of the Horde,Earn exalted reputation with 5 home cities.,Title Reward: Ambassador
763,The Burning Crusader,Raise all of The Burning Crusade dungeon reputations to exalted.,
764,The Burning Crusader,Raise all of The Burning Crusade dungeon reputations to exalted.,
765,Explore Badlands,"Explore Badlands, revealing the covered areas of the world map.",
766,Explore Blasted Lands,"Explore Blasted Lands, revealing the covered areas of the world map.",
768,Explore Tirisfal Glades,"Explore Tirisfal Glades, revealing the covered areas of the world map.",
769,Explore Silverpine Forest,"Explore Silverpine Forest, revealing the covered areas of the world map.",
770,Explore Western Plaguelands,"Explore Western Plaguelands, revealing the covered areas of the world map.",
771,Explore Eastern Plaguelands,"Explore Eastern Plaguelands, revealing the covered areas of the world map.",
772,Explore Hillsbrad Foothills,"Explore Hillsbrad Foothills, revealing the covered areas of the world map.",
773,Explore The Hinterlands,"Explore The Hinterlands, revealing the covered areas of the world map.",
774,Explore Searing Gorge,"Explore Searing Gorge, revealing the covered areas of the world map.",
775,Explore Burning Steppes,"Explore Burning Steppes, revealing the covered areas of the world map.",
776,Explore Elwynn Forest,"Explore Elwynn Forest, revealing the covered areas of the world map.",
777,Explore Deadwind Pass,"Explore Deadwind Pass, revealing the covered areas of the world map.",
778,Explore Duskwood,"Explore Duskwood, revealing the covered areas of the world map.",
779,Explore Loch Modan,"Explore Loch Modan, revealing the covered areas of the world map.",
780,Explore Redridge Mountains,"Explore Redridge Mountains, revealing the covered areas of the world map.",
781,Explore Stranglethorn Vale,"Explore Stranglethorn Vale, revealing the covered areas of the world map.",
782,Explore Swamp of Sorrows,"Explore Swamp of Sorrows, revealing the covered areas of the world map.",
783,The Perfect Storm,Win Eye of the Storm with a score of 1600 to 0.,
784,Eye of the Storm Domination,Win Eye of the Storm 10 times while holding 4 bases.,
796,Resurrected by priests,Resurrected by priests,
798,Rebirthed by druids,Rebirthed by druids,
799,Spirit returned to body by shamans,Spirit returned to body by shamans,
800,Redeemed by paladins,Redeemed by paladins,
801,Resurrected by soulstones,Resurrected by soulstones,
802,Explore Westfall,"Explore Westfall, revealing the covered areas of the world map.",
811,Flasks consumed,Flasks consumed,
812,Healthstones used,Healthstones used,
829,Largest heal received,Largest heal received,
830,Total healing received,Total healing received,
837,Arenas won,Arenas won,
838,Arenas played,Arenas played,
839,Battlegrounds played,Battlegrounds played,
840,Battlegrounds won,Battlegrounds won,
841,Explore Wetlands,"Explore Wetlands, revealing the covered areas of the world map.",
842,Explore Teldrassil,"Explore Teldrassil, revealing the covered areas of the world map.",
843,Explore Netherstorm,"Explore Netherstorm, revealing the covered areas of the world map.",
844,Explore Darkshore,"Explore Darkshore, revealing the covered areas of the world map.",
845,Explore Ashenvale,"Explore Ashenvale, revealing the covered areas of the world map.",
846,Explore Thousand Needles,"Explore Thousand Needles, revealing the covered areas of the world map.",
847,Explore Stonetalon Mountains,"Explore Stonetalon Mountains, revealing the covered areas of the world map.",
848,Explore Desolace,"Explore Desolace, revealing the covered areas of the world map.",
849,Explore Feralas,"Explore Feralas, revealing the covered areas of the world map.",
850,Explore Dustwallow Marsh,"Explore Dustwallow Marsh, revealing the covered areas of the world map.",
851,Explore Tanaris Desert,"Explore Tanaris Desert, revealing the covered areas of the world map.",
852,Explore Azshara,"Explore Azshara, revealing the covered areas of the world map.",
853,Explore Felwood,"Explore Felwood, revealing the covered areas of the world map.",
854,Explore Un'Goro Crater,"Explore Un'Goro Crater, revealing the covered areas of the world map.",
855,Explore Moonglade,"Explore Moonglade, revealing the covered areas of the world map.",
856,Explore Silithus,"Explore Silithus, revealing the covered areas of the world map.",
857,Explore Winterspring,"Explore Winterspring, revealing the covered areas of the world map.",
858,Explore Ghostlands,"Explore Ghostlands, revealing the covered areas of the world map.",
859,Explore Eversong Woods,"Explore Eversong Woods, revealing the covered areas of the world map.",
860,Explore Azuremyst Isle,"Explore Azuremyst Isle, revealing the covered areas of the world map.",
861,Explore Bloodmyst Isle,"Explore Bloodmyst Isle, revealing the covered areas of the world map.",
862,Explore Hellfire Peninsula,"Explore  Hellfire Peninsula, revealing the covered areas of the world map.",
863,Explore Zangarmarsh,"Explore Zangarmarsh, revealing the covered areas of the world map.",
864,Explore Shadowmoon Valley,"Explore Shadowmoon Valley, revealing the covered areas of the world map.",
865,Explore Blade's Edge Mountains,"Explore Blade's Edge Mountains, revealing the covered areas of the world map.",
866,Explore Nagrand,"Explore Nagrand, revealing the covered areas of the world map.",
867,Explore Terokkar Forest,"Explore Terokkar Forest, revealing the covered areas of the world map.",
868,Explore Isle of Quel'Danas,"Explore Isle of Quel'Danas, revealing the covered areas of the world map.",
869,50000 Honorable Kills,Get 50000 honorable kills.,
870,100000 Honorable Kills,Get 100000 honorable kills.,Title Reward: Of the Horde or Of the Alliance
871,"Avast Ye, Admiral!",Obtain the Bloodsail Admiral's Hat... and try to get some fresh air every now and then.,Title: Bloodsail Admiral
872,Frenzied Defender,Return 5 flags in a single Warsong Gulch battle.,
873,Frostwolf Perfection,Win Alterac Valley without losing a tower or captain. You must also control all of the Alliance's towers.,
875,Vengefully Dedicated,Win 200 ranked arena matches at level 80.,
876,Brutally Dedicated,Win 300 ranked arena matches at level 80.,Reward: Tabard of Brute Force
877,The Cake Is Not A Lie,Bake a Delicious Chocolate Cake.,
878,One That Didn't Get Away,Catch one of the rare fish in the list below.,
879,Old School Ride,Owner of one of the original epic mounts that are no longer attainable.,
880,Swift Zulian Tiger,Obtain the Swift Zulian Tiger from High Priest Thekal in Zul'Gurub.,
881,Swift Razzashi Raptor,Obtain the Swift Razzashi Raptor from Bloodlord Mandokir in Zul'Gurub.,
882,Fiery Warhorse's Reins,Obtain the Fiery Warhorse's Reins from Attumen the Huntsman in Karazhan.,
883,Reins of the Raven Lord,Obtain the Reins of the Raven Lord from Anzu in Sethekk Halls.,
884,Swift White Hawkstrider,Obtain the Swift White Hawkstrider from Kael'thas Sunstrider in Magister's Terrace.,
885,Ashes of Al'ar,Obtain the Ashes of Al'ar from Kael'thas Sunstrider in Tempest Keep.,
886,Swift Nether Drake,Obtain the Swift Nether Drake from Arena Season 1 of The Burning Crusade.,
887,Merciless Nether Drake,Obtain the Merciless Nether Drake from Arena Season 2 of The Burning Crusade.,
888,Vengeful Nether Drake,Obtain the Vengeful Nether Drake from Arena Season 3 of The Burning Crusade.,
889,Fast and Furious,Learn the journeyman riding skill.,
890,Into The Wild Blue Yonder,Learn the expert riding skill.,
891,Giddy Up!,Learn the apprentice riding skill.,
892,The Right Stuff,Learn the artisan riding skill.,
893,Cenarion War Hippogryph,Obtain the Cenarion War Hippogryph from the Cenarion Expedition in Zangarmarsh.,
894,Flying High Over Skettis,Earn exalted status within the Sha'tari Skyguard.,
896,A Quest a Day Keeps the Ogres at Bay,Earn exalted status within Ogri'la.,
897,You're So Offensive,Earn exalted status with the Shattered Sun Offensive.,
898,On Wings of Nether,Earn exalted status with Netherwing.,
899,"Oh My, Kurenai",Earn exalted status with the Kurenai.,
900,The Czar of Sporeggar,Earn exalted status with Sporeggar.,
901,Mag'har of Draenor,Earn exalted status with The Mag'har.,
902,Chief Exalted Officer,Earn exalted status with The Consortium.,
903,Shattrath Divided,Earn exalted status with The Scryers or The Aldor.,
905,Old Man Barlowned,Complete each of Old Man Barlo's 5 fishing daily quests listed below.,
906,Kickin' It Up a Notch,Complete each of The Rokk's 4 cooking daily quests listed below.,
907,The Justicar,"Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted.",Title Reward: Justicar
908,Call to Arms!,Complete the level 80 versions of the Call to Arms daily battleground quests listed below.,
909,Call to Arms!,Complete the level 80 versions of the Call to Arms daily battleground quests listed below.,
910,Elders of the Dungeons,Honor the Elders which are located inside the dungeons.,
911,Elders of Kalimdor,Honor the Elders which are located in Kalimdor.,
912,Elders of Eastern Kingdoms,Honor the Elders which are located in Eastern Kingdoms,
913,To Honor One's Elders,Complete the Lunar Festival achievements listed below.,Title Reward: Elder
914,Elders of the Horde,Honor the Elders which are located in the Horde capital cities.,
915,Elders of the Alliance,Honor the Elders which are located in the Alliance capital cities.,
916,Total deaths in 25-player raids,Total deaths in 25-player raids,
917,Total deaths in 10-player raids,Total deaths in 10-player raids,
918,Total deaths in 5-player dungeons,Total deaths in 5-player dungeons,
919,Gold earned from auctions,Gold earned from auctions,
921,Gold from vendors,Gold from vendors,
922,Mana potions consumed,Mana potions consumed,
923,Elixirs consumed,Elixirs consumed,
924,Most Northrend factions at Exalted,Most Northrend factions at Exalted,
925,Most Outland factions at Exalted,Most Outland factions at Exalted,
926,Most Horde factions at Exalted,Most Horde factions at Exalted,
927,Equipped epic items in item slots,Equipped epic items in item slots,
928,Extra bank slots purchased,Extra bank slots purchased,
931,Total factions encountered,Total factions encountered,
932,Total 5-player dungeons entered,Total 5-player dungeons entered,
933,Total 10-player raids entered,Total 10-player raids entered,
934,Total 25-player raids entered,Total 25-player raids entered,
937,Elune's Blessing,Complete the Elune's Blessing quest by defeating Omen.,
938,The Snows of Northrend,Complete all of Hemet Nesingwary quests in Northrend up to and including Post-partum Aggression.,
939,Hills Like White Elekk,Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport.,
940,The Green Hills of Stranglethorn,Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter.,
941,Hemet Nesingwary: The Collected Quests,"Complete the Green Hills of Stranglethorn, Hills Like White Elekk and Snows of Northrend achievements.",
942,The Diplomat,"Raise your reputation level from unfriendly to exalted with Timbermaw Hold, Sporeggar and the Kurenai.",Title Reward: The Diplomat
943,The Diplomat,"Raise your reputation level from unfriendly to exalted with Timbermaw Hold, Sporeggar and The Mag'har.",Title Reward: The Diplomat
944,They Love Me In That Tunnel,Earn exalted status with Timbermaw Hold.,
945,The Argent Champion,Earn exalted status with the Argent Dawn and the Argent Crusade.,Title Reward: The Argent Champion
946,The Argent Dawn,Earn exalted status with the Argent Dawn.,
947,The Argent Crusade,Earn exalted status with the Argent Crusade.,
948,Ambassador of the Alliance,Earn exalted reputation with 5 home cities.,Title Reward: Ambassador
949,Tuskarrmageddon,Earn exalted status with The Kalu'ak .,
950,Frenzyheart Tribe,Earn exalted status with the Frenzyheart Tribe.,
951,The Oracles,Earn exalted status with the The Oracles.,
952,Mercenary of Sholazar,Earn exalted status with the The Oracles and the Frenzyheart Tribe.,
953,Guardian of Cenarius,Earn exalted status with the Cenarion Circle and Cenarion Expedition.,Title Reward: Guardian of Cenarius
955,Hydraxian Waterlords,Earn exalted status with the Hydraxian Waterlords.,
956,Brood of Nozdormu,Earn exalted status with the Brood of Nozdormu.,
957,Hero of the Zandalar Tribe,Earn exalted status with the Zandalar Tribe.,
958,Sworn to the Deathsworn,Earn exalted status with the Ashtongue Deathsworn.,
959,The Scale of the Sands,Earn exalted status with The Scale of the Sands.,
960,The Violet Eye,Earn exalted status with The Violet Eye.,
961,Honorary Frenzyheart,Complete the 8 daily quests for the Frenzyheart listed below.,
962,Savior of the Oracles,Complete the 8 daily quests for the Oracles listed below.,
963,Tricks and Treats of Kalimdor,Visit the Candy Buckets in Kalimdor.,
964,Going Down?,Fall 65 yards without dying.,
965,Tricks and Treats of Kalimdor,Visit the Candy Buckets in Kalimdor.,
966,Tricks and Treats of Eastern Kingdoms,Visit the Candy Buckets in Eastern Kingdoms.,
967,Tricks and Treats of Eastern Kingdoms,Visit the Candy Buckets in Eastern Kingdoms.,
968,Tricks and Treats of Outland,Visit the Candy Buckets in Outland.,
969,Tricks and Treats of Outland,Visit the Candy Buckets in Outland.,
970,Tricks and Treats of Azeroth,"Complete the Kalimdor, Eastern Kingdoms and Outland Tricks and Treats achievements.",
971,Tricks and Treats of Azeroth,"Complete the Kalimdor, Eastern Kingdoms and Outland Tricks and Treats achievements.",
972,Trick or Treat!,Receive a handful of a candy from one of the Candy Buckets located in an inn.,
973,5 Daily Quests Complete,Complete 5 daily quests.,
974,50 Daily Quests Complete,Complete 50 daily quests.,
975,200 Daily Quests Complete,Complete 200 daily quests.,
976,500 Daily Quests Complete,Complete 500 daily quests.,
977,1000 Daily Quests Complete,Complete 1000 daily quests.,
978,3000 Quests Completed,Complete 3000 quests.,Title Reward: The Seeker
979,The Mask Task,Obtain a Flimsy Mask during Hallow's End.,
980,The Horseman's Reins,Obtain The Horseman's Reins from The Headless Horseman in the Scarlet Monastery during Hallow's End.,
981,That Sparkling Smile,Show off your sparkling smile by using a Tooth Pick.,
1005,Know Thy Enemy,"Get an honorable, killing blow on five different races.",
1006,City Defender,Kill 50 enemy players in any of your home cities.,
1007,The Wyrmrest Accord,Earn exalted status with The Wyrmrest Accord.,
1008,The Kirin Tor,Earn exalted status with The Kirin Tor.,
1009,Knights of the Ebon Blade,Earn exalted status with the Knights of the Ebon Blade.,
1010,Northrend Vanguard,"Gain exalted reputation with the Argent Crusade, Wyrmrest Accord, Kirin Tor and Knights of the Ebon Blade.",
1011,The Winds of the North,Gain exalted reputation with the Horde Expedition.,
1012,The Winds of the North,Gain exalted reputation with the Alliance Vanguard.,
1014,35 Exalted Reputations,Raise 35 reputations to Exalted.,
1015,40 Exalted Reputations,Raise 40 reputations to Exalted.,Title Reward: The Exalted
1017,Can I Keep Him?,Obtain a companion pet.,
1020,Ten Tabards,Equip 10 unique tabards.,
1021,Twenty-Five Tabards,Equip 25 unique tabards.,Reward: Tabard of the Achiever
1022,Flame Warden of Eastern Kingdoms,Honor the flames of Eastern Kingdoms.,
1023,Flame Warden of Kalimdor,Honor the flames of Kalimdor.,
1024,Flame Warden of Outland,Honor the flames of Outland.,
1025,Flame Keeper of Eastern Kingdoms,Honor the flames of Eastern Kingdoms.,
1026,Flame Keeper of Kalimdor,Honor the flames of Kalimdor.,
1027,Flame Keeper of Outland,Honor the flames of Outland.,
1028,Extinguishing Eastern Kingdoms,Desecrate the Horde's bonfires in Eastern Kingdoms.,
1029,Extinguishing Kalimdor,Desecrate the Horde's bonfires in Kalimdor.,
1030,Extinguishing Outland,Desecrate the Horde's bonfires in Outland.,
1031,Extinguishing Eastern Kingdoms,Desecrate the Alliance's bonfires in Eastern Kingdoms.,
1032,Extinguishing Kalimdor,Desecrate the Alliance's bonfires in Kalimdor.,
1033,Extinguishing Outland,Desecrate the Alliance's bonfires in Outland.,
1034,The Fires of Azeroth,"Complete the Flame Warden of Eastern Kingdoms, Kalimdor and Outland achievements.",
1035,Desecration of the Horde,"Complete the Extinguishing Eastern Kingdoms, Kalimdor and Outland achievements.",
1036,The Fires of Azeroth,"Complete the Flame Keeper of Eastern Kingdoms, Kalimdor and Outland achievements.",
1037,Desecration of the Alliance,"Complete the Extinguishing Eastern Kingdoms, Kalimdor and Outland achievements.",
1038,The Flame Warden,Complete the Midsummer achievements listed below.,Title Reward: Flame Warden
1039,The Flame Keeper,Complete the Midsummer achievements listed below.,Title Reward: Flame Keeper
1040,Rotten Hallow,Ruin Hallow's End for the Horde by completing Sergeant Hartman's quests which involve crashing the wickerman festival and cleaning up the stinkbombs from Southshore.,
1041,Rotten Hallow,"Ruin Hallow's End for the Alliance by completing Darkcaller Yanka's quests which involve going to Southshore, ruining the kegs with rotten eggs and tossing stinkbombs into the town.",
1042,Number of hugs,Number of hugs,
1043,Greed rolls made on loot,Greed rolls made on loot,
1044,Need rolls made on loot,Need rolls made on loot,
1045,Total cheers,Total cheers,
1047,Total facepalms,Total facepalms,
1057,Deaths in 2v2,Deaths in 2v2,
1065,Total waves,Total waves,
1066,Total times LOL'd,Total times LOL'd,
1067,Total times playing world's smallest violin,Total times playing world's smallest violin,
1068,Keli'dan the Breaker kills (The Blood Furnace),Keli'dan the Breaker kills (The Blood Furnace),
1069,Nexus-Prince Shaffar kills (Mana Tombs),Nexus-Prince Shaffar kills (Mana Tombs),
1070,Epoch Hunter kills (The Escape From Durnholde),Epoch Hunter kills (The Escape From Durnholde),
1071,Quagmirran kills (Slave Pens),Quagmirran kills (Slave Pens),
1072,Black Stalker kills (Underbog),Black Stalker kills (Underbog),
1073,Exarch Maladaar kills (Auchenai Crypts),Exarch Maladaar kills (Auchenai Crypts),
1074,Talon King Ikiss kills (Sethekk Halls),Talon King Ikiss kills (Sethekk Halls),
1075,Murmur kills (Shadow Labyrinth),Murmur kills (Shadow Labyrinth),
1076,Aeonus kills (Opening of the Dark Portal),Aeonus kills (Opening of the Dark Portal),
1077,Warlord Kalithresh kills (The Steamvault),Warlord Kalithresh kills (The Steamvault),
1078,Warchief Kargath Bladefist kills (The Shattered Halls),Warchief Kargath Bladefist kills (The Shattered Halls),
1079,Pathaleon the Calculator kills (The Mechanar),Pathaleon the Calculator kills (The Mechanar),
1080,Warp Splinter kills (The Botanica),Warp Splinter kills (The Botanica),
1081,Harbinger Skyriss kills (The Arcatraz),Harbinger Skyriss kills (The Arcatraz),
1082,Kael'thas Sunstrider kills (Magister's Terrace),Kael'thas Sunstrider kills (Magister's Terrace),
1083,Prince Malchezaar kills (Karazhan),Prince Malchezaar kills (Karazhan),
1084,Zul'jin kills (Zul'Aman),Zul'jin kills (Zul'Aman),
1085,Gruul kills (Gruul's Lair),Gruul kills (Gruul's Lair),
1086,Magtheridon kills (Magtheridon's Lair),Magtheridon kills (Magtheridon's Lair),
1087,Lady Vashj kills (Serpentshrine Cavern),Lady Vashj kills (Serpentshrine Cavern),
1088,Kael'thas Sunstrider kills (Tempest Keep),Kael'thas Sunstrider kills (Tempest Keep),
1089,Illidan Stormrage kills (The Black Temple),Illidan Stormrage kills (The Black Temple),
1090,Kil'jaeden kills (Sunwell Plateau),Kil'jaeden kills (Sunwell Plateau),
1091,Edwin VanCleef kills (Deadmines),Edwin VanCleef kills (Deadmines),
1092,Archmage Arugal kills (Shadowfang Keep),Archmage Arugal kills (Shadowfang Keep),
1093,Scarlet Commander Mograine kills (Scarlet Monastery),Scarlet Commander Mograine kills (Scarlet Monastery),
1094,Chief Ukorz Sandscalp kills (Zul'Farrak),Chief Ukorz Sandscalp kills (Zul'Farrak),
1095,Emperor Dagran Thaurissan kills (Blackrock Depths),Emperor Dagran Thaurissan kills (Blackrock Depths),
1096,General Drakkisath kills (Blackrock Spire),General Drakkisath kills (Blackrock Spire),
1097,Baron Rivendare kills (Stratholme),Baron Rivendare kills (Stratholme),
1098,Onyxia kills (Onyxia's Lair),Onyxia kills (Onyxia's Lair),
1099,Ragnaros kills (Molten Core),Ragnaros kills (Molten Core),
1100,Nefarian kills (Blackwing Lair),Nefarian kills (Blackwing Lair),
1101,C'Thun kills (Temple of Ahn'Qiraj),C'Thun kills (Temple of Ahn'Qiraj),
1102,Hakkar kills (Zul'Gurub),Hakkar kills (Zul'Gurub),
1103,Lich King 5-player dungeons completed (final boss killed),Lich King 5-player dungeons completed (final boss killed),
1104,Lich King 10-player raids completed (final boss killed),Lich King 10-player raids completed (final boss killed),
1106,Deaths in Eye of the Storm,Deaths in Eye of the Storm,
1107,Deaths in 3v3,Deaths in 3v3,
1108,Deaths in 5v5,Deaths in 5v5,
1109,5v5 Arena Honorable Kills,5v5 Arena Honorable Kills,
1110,3v3 Arena Honorable Kills,3v3 Arena Honorable Kills,
1111,2v2 Arena Honorable Kills,2v2 Arena Honorable Kills,
1112,Eye of the Storm Honorable Kills,Eye of the Storm Honorable Kills,
1113,Alterac Valley Honorable Kills,Alterac Valley Honorable Kills,
1114,Arathi Basin Honorable Kills,Arathi Basin Honorable Kills,
1115,Warsong Gulch Honorable Kills,Warsong Gulch Honorable Kills,
1125,Bandage used most,Bandage used most,
1145,King of the Fire Festival,"Complete the quest, ""A Thief's Reward"", by stealing the flames from your enemy's capital cities.",
1146,Gold spent on travel,Gold spent on travel,
1147,Gold spent at barber shops,Gold spent at barber shops,
1148,Gold spent on postage,Gold spent on postage,
1149,Talent tree respecs,Talent tree respecs,
1150,Gold spent on talent tree respecs,Gold spent on talent tree respecs,
1151,Loyal Defender,"In Alterac Valley, kill 50 enemy players in the Hall of the Stormpike.",
1153,Overly Defensive,Defend 3 bases in a single Arathi Basin battle.,
1157,Duel-icious,Win a duel against another player.,
1159,Just the Two of Us: 2200,Earn a 2200 personal rating in the 2v2 bracket of the arena at level 80.,
1160,Three's Company: 2200,Earn a 2200 personal rating in the 3v3 bracket of the arena at level 80.,
1161,High Five: 2200,Earn a 2200 personal rating in the 5v5 bracket of the arena at level 80.,
1162,Hotter Streak,Win ten ranked matches in a row with a rating above 1800 at level 80.,
1164,Everything Counts,Win Alterac Valley while your team controls both mines.,
1165,"My Sack is ""Gigantique""","Equip Haris Pilton's ""Gigantique"" Bag.",
1166,To the Looter Go the Spoils,Loot the Autographed Picture of Foror & Tigule in Alterac Valley.,
1167,Master of Alterac Valley,Complete the Alterac Valley achievements listed below.,
1168,Master of Alterac Valley,Complete the Alterac Valley achievements listed below.,
1169,Master of Arathi Basin,Complete the Arathi Basin achievements listed below.,
1170,Master of Arathi Basin,Complete the Arathi Basin achievements listed below.,
1171,Master of Eye of the Storm,Complete the Eye of the Storm achievements listed below.,
1172,Master of Warsong Gulch,Complete the Warsong Gulch achievements listed below.,
1173,Master of Warsong Gulch,Complete the Warsong Gulch achievements listed below.,
1174,The Arena Master,Complete the arena achievements listed below.,Title Reward: Arena Master
1175,Battlemaster,Complete the battleground achievements listed below.,Title Reward: Battlemaster
1176,Got My Mind On My Money,Loot 100 gold.,
1177,Got My Mind On My Money,"Loot 1,000 gold.",
1178,Got My Mind On My Money,"Loot 5,000 gold.",
1180,Got My Mind On My Money,"Loot 10,000 gold.",
1181,Got My Mind On My Money,"Loot 25,000 gold.",
1182,The Bread Winner,"Make 10,000 gold from quest rewards.",
1183,Brew of the Year,Sample 12 beers featured in the Brew of the Month club.,
1184,Strange Brew,Drink the Brewfest beers listed below.,
1185,The Brewfest Diet,Eat 8 of the Brewfest foods listed below.,
1186,Down With The Dark Iron,"Defend the Brewfest camp from the Dark Iron attack and complete the quest, ""This One Time, When I Was Drunk...""",
1187,The Keymaster,Obtain the keys listed below.,
1188,Shafted!,Shoot 10 players with the Silver Shafted Arrow.,
1189,To Hellfire and Back,Complete 80 quests in Hellfire Peninsula.,
1190,Mysteries of the Marsh,Complete 54 quests in Zangarmarsh.,
1191,Terror of Terokkar,Complete 63 quests in Terokkar Forest.,
1192,Nagrand Slam,Complete 75 quests in Nagrand.,
1193,On the Blade's Edge,Complete 86 quests in Blade's Edge Mountains.,
1194,Into the Nether,Complete 120 quests in Netherstorm.,
1195,Shadow of the Betrayer,Complete 90 quests in Shadowmoon Valley.,
1197,Total kills,Total kills,
1198,Total kills that grant experience or honor,Total kills that grant experience or honor,
1199,Professions learned,Professions learned,
1200,Secondary skills at maximum skill,Secondary skills at maximum skill,
1201,Professions at maximum skill,Professions at maximum skill,
1202,Weapon skills at maximum skill,Weapon skills at maximum skill,
1203,Strange Brew,Drink the Brewfest beers listed below.,
1205,Hero of Shattrath,Gained exalted status with The Scryers and The Aldor.,
1206,To All The Squirrels I've Loved Before,Show the critters of Azeroth how much you /love them.,
1225,Outland Angler,Catch a fish in each of the specific nodes listed below.,
1229,Revived by druids,Revived by druids,
1231,Keristrasza kills (The Nexus),Keristrasza kills (The Nexus),
1232,Anub'arak kills (Azjol-Nerub),Anub'arak kills (Azjol-Nerub),
1233,Herald Volazj kills (Ahn'kahet: The Old Kingdom),Herald Volazj kills (Ahn'kahet: The Old Kingdom),
1234,The Prophet Tharon'ja kills (Drak'Tharon Keep),The Prophet Tharon'ja kills (Drak'Tharon Keep),
1235,Cyanigosa kills (The Violet Hold),Cyanigosa kills (The Violet Hold),
1236,Gal'darah kills (Gundrak),Gal'darah kills (Gundrak),
1237,Sjonnir the Ironshaper kills (Halls of Stone),Sjonnir the Ironshaper kills (Halls of Stone),
1238,Loken kills (Halls of Lightning),Loken kills (Halls of Lightning),
1239,Ley-Guardian Eregos kills (The Oculus),Ley-Guardian Eregos kills (The Oculus),
1240,King Ymiron kills (Utgarde Pinnacle),King Ymiron kills (Utgarde Pinnacle),
1241,Mal'Ganis defeated (Caverns of Time: Stratholme),Mal'Ganis defeated (Caverns of Time: Stratholme),
1242,Ingvar the Plunderer kills (Utgarde Keep),Ingvar the Plunderer kills (Utgarde Keep),
1243,Fish Don't Leave Footprints,Learn the ability to find fish.,
1244,Well Read,Read the books listed below.,
1248,Plethora of Pets,Collect 25 unique companion pets.,
1250,"Shop Smart, Shop Pet...Smart",Collect 50 unique companion pets.,Reward: Reeking Pet Carrier
