ID,Description_lang,SourceText_lang
510,Many a young gnomish inventor has made up for the death of a beloved pet by creating a mechanical friend in its image.,"|cFFFFD200Pet Battle: |rKezan, Winterspring"
511,"Native to Azeroth's desert regions, these resilient reptiles can survive for weeks without water.","|cFFFFD200Pet Battle: |rSilithus, Uldum"
512,"Spawn of the nefarious Shrieker Scarabs of Ahn'Qiraj, the hatchlings are much more docile (and quiet) than their parents.",|cFFFFD200Pet Battle: |rSilithus
513,"The squeaks used by these tiny insectoids may sound cute, but they're actually screaming for your death.",|cFFFFD200Pet Battle: |rSilithus|n|cFFFFD200Season: |rSummer
514,A brash fel orc once tried to enslave these critters as his personal soldiers. Pieces of him are still scattered across Outland.,|cFFFFD200Pet Battle: |rHellfire Peninsula
515,These pudgy little beings often get themselves into trouble while hunting down their favorite snack: glow caps.,|cFFFFD200Pet Battle: |rZangarmarsh
517,"After hatching, these twisted reptiles devour the weaker members of their clutches as an act of dominance.",|cFFFFD200Pet Battle: |rTerokkar Forest
518,"For ogres, comparing a female's hair to a clefthoof's shaggy coat is a term of great endearment.",|cFFFFD200Pet Battle: |rNagrand
519,"Born from demonic magic, these petulant little entities corrupt everything they touch with foul energies.","|cFFFFD200Pet Battle: |rShadowmoon Valley, Tanaan Jungle"
521,"Adult nether rays are relatively docile, but their younglings are short-tempered and highly energetic beasts.",|cFFFFD200Pet Battle: |rNetherstorm
523,"Howling Fjord teems with the ever shifting cycle of life. When a creature dies, its body is quickly consumed by maggots, which in turn pass those nutrients on to a number of other creatures.",|cFFFFD200Pet Battle: |rHowling Fjord
525,A key food source during the Feast of Winter Veil.,|cFFFFD200Pet Battle: |rHowling Fjord
528,"This grumpy species of basilisk roams the Blade's Edge Mountains, avoiding contact with other critters whenever possible.",|cFFFFD200Pet Battle: |rBlade's Edge Mountains
529,"There's an old vrykul saying that goes, 'Let sleeping worgs lie, unless you don't want your face anymore.'",|cFFFFD200Pet Battle: |rHowling Fjord
530,"These living blobs of ooze lack even the most rudimentary form of intelligence, but that doesn't mean they can't be your friend.",|cFFFFD200Pet Battle: |rBorean Tundra
532,"The fierce wolvar hunt these ill-tempered brutes for their horns, which are then carved into talismans and other trinkets.",|cFFFFD200Pet Battle: |rSholazar Basin
534,The taunka collect the feathers of these noble birds of prey to use in crude fortunetelling ceremonies.,|cFFFFD200Pet Battle: |rGrizzly Hills
535,The trolls of Zul'Drak inadvertently created these little beings while summoning water elementals to fight the Scourge.,|cFFFFD200Pet Battle: |rZul'Drak
536,"Tundra penguins often gather in large groups on the ice for protection against aquatic threats. Unfortunately this makes them easy prey for humanoid hunters seeking meat, skins and other achievements.","|cFFFFD200Pet Battle: |rBorean Tundra, Dragonblight"
537,These skulking little creatures hatch in nests built around the ancient dragon bones of central Northrend.,|cFFFFD200Pet Battle: |rDragonblight
538,"Kel'Thuzad once nursed a plague-infected whelp to adulthood, feeding it only the finest liquefied remains.",|cFFFFD200Pet Battle: |rIcecrown
539,Grotto voles are often confused with mice. Never twice.,|cFFFFD200Pet Battle: |rMount Hyjal
540,"Where there is carrion, there will always be rats.",|cFFFFD200Pet Battle: |rMount Hyjal
541,The outer member of the roaches' eggs protect the larva from incineration. It is here in incubation that they gain the ability to resist the fire and heat of the volcanic climate.,"|cFFFFD200Pet Battle: |rFrostfire Ridge, Mount Hyjal"
542,Flamboyantly colored and more exuberant than most frogs.,|cFFFFD200Pet Battle: |rUldum
543,"When the locusts swarm, you can hear nothing but the sound of their wings.",|cFFFFD200Pet Battle: |rUldum
544,"Prefers to dwell along desert streams, wells or watering holes and feed on Whiptail nectar.",|cFFFFD200Pet Battle: |rUldum
545,Loves to rest inside footwear of unsuspecting travelers during the night.,|cFFFFD200Pet Battle: |rUldum
546,Carrion feeders often found in large numbers within ancient unearthed tombs; they can survive long periods of time without feeding.,|cFFFFD200Pet Battle: |rUldum
547,"During the Third War, thousands of these mystical beings annihilated the demon lord Archimonde.",|cFFFFD200Pet Battle: |rMount Hyjal
548,Too afraid to attempt flying until thrown from a great height.,|cFFFFD200Pet Battle: |rTwilight Highlands
549,"Distinct from their plain dwelling relatives, these critters make their homes amidst the war-torn Twilight Highlands.",|cFFFFD200Pet Battle: |rTwilight Highlands
550,"The mice of the highlands, perhaps twisted by the Twilight's Hammer, are aggressive and fight for dominance between each other.","|cFFFFD200Pet Battle: |rStormheim, The Azure Span, The Cape of Stranglethorn, Twilight Highlands"
552,"Demonstrating that a little evil goes a long way, this fiendling uses its razor-sharp teeth and gaping maw to devour anything in its path.",|cFFFFD200Pet Battle: |rTwilight Highlands
553,"In the lean times when adrift at sea, the sight of a rat was a welcome one.",|cFFFFD200Pet Battle: |rDeepholm
554,"Through experimentation, the mages of Dalaran have discovered that the powered remains of a crimson shale spider will greatly increase the conflagration of their fire spells.",|cFFFFD200Pet Battle: |rDeepholm
555,The cockroaches of Deepholm can burrow into stone itself to make their nests.,|cFFFFD200Pet Battle: |rDeepholm
556,"A cousin to the Twilight Beetle, this insect has learned to feed on crystals which resonate with ancient energies.",|cFFFFD200Pet Battle: |rDeepholm
557,"Much like other faerie dragons, these playful and mystical flyers are born with a natural defense against magic.",|cFFFFD200Pet Battle: |rFeralas
558,"During frigid nights in the Storm Peaks, these critters use their fluffy tails as a blanket to stay warm.",|cFFFFD200Pet Battle: |rThe Storm Peaks|n|cFFFFD200Weather: |rSnow
559,Therazane wore these spunky crimson elementals as jewelry before the azure craze swept through Deepholm.,|cFFFFD200Pet Battle: |rDeepholm
560,The seagull is a coastal scavenger often found near the docks.,"|cFFFFD200Pet Battle: |rFrostwall, Krasarang Wilds, Talador, Tanaris"
562,The coral adder's venom is so deadly that one bite has been known to kill a full grown kodo beast.,|cFFFFD200Pet Battle:|r The Jade Forest|n
564,"It is difficult to believe that Shen-zin Su, on whose shell rests all of the Wandering Isle, began life as a tiny emerald turtle.",|cFFFFD200Pet Battle: |rThe Jade Forest
565,"In the jungle, every leaf could conceal a frog. Stop to check and it could be long gone.",|cFFFFD200Pet Battle: |rThe Jade Forest
566,"When preparing to travel to distant locations, Pandaren will traditionally capture a mirror strider and safely relocate it to another body of water.",|cFFFFD200Pet Battle: |rThe Jade Forest
567,"The Jade Forest's pandaren consider these reptiles distant relatives of the revered Jade Serpent, Yu'lon.",|cFFFFD200Pet Battle: |rThe Jade Forest
568,Hides in shell to escape claws of nearby crabs.,"|cFFFFD200Pet Battle: |rGorgrond, Spires of Arak, Talador, The Jade Forest"
569,"One of the stranger nuisances to horticulturalists, garden frogs can cause untold damage to gardens.","|cFFFFD200Pet Battle: |rAzsuna, Highmountain, The Jade Forest"
570,"There's a raging debate over whether tanukis are raccoons or dogs, but the distinction seems trivial when they're gnawing on your femur.",|cFFFFD200Pet Battle: |rThe Jade Forest
571,The Jade Forest's mountain hozen fear these venomous reptiles and often hunt them out of pure spite.,|cFFFFD200Pet Battle: |rThe Jade Forest
572,These tiny arthropods are Pandaria natives that call the area of the Windless Isle their home.,|cFFFFD200Pet Battle: |rThe Jade Forest
573,"The sandy petrel flies high above the Windless Isle, safe from landbound predators.",|cFFFFD200Pet Battle: |rThe Jade Forest
626,"This foreboding creature stalks the night skies of the Eastern Plaguelands, feeding on carrion.","|cFFFFD200Pet Battle: |rEastern Plaguelands, Mount Hyjal, Tirisfal Glades"
627,"More horrifying than its appearance is that the infected squirrels of the Plaguelands no longer hoard nuts, instead collecting rotten, decaying flesh.","|cFFFFD200Pet Battle: |rBloodmyst Isle, Eastern Plaguelands, Silverpine Forest"
628,Only the dimwitted or insane would mount an infected deer head on their wall. The good news is they'll fit right in with their new undead friends.,"|cFFFFD200Pet Battle: |rBloodmyst Isle, Eastern Plaguelands, Silverpine Forest"
629,"Only found on the shores of Kezan, this lovely sea creature can be a bit snarky.",|cFFFFD200Vendor: |rMatty|n|cFFFFD200Zone: |rOrgrimmar
630,Quoth the raven: the last word you said. It gets old.,|cFFFFD200Vendor:|r Will Larsons|n|cFFFFD200Zone:|r Darkshore
631,"Hunted for its beautifully patterned skin, this majestic species thrives alongside Azeroth's lush rivers.","|cFFFFD200Pet Battle: |rNorthern Barrens, Southern Barrens, Uldum, Un'Goro Crater"
632,"The ash lizard gets its name from the way its shed skin looks, with an appearance like burnt cinders.","|cFFFFD200Pet Battle: |rMount Hyjal, Un'Goro Crater"
633,"The mountain skunk is most famous for its adventurous nature. No really, that is what it is famous for.","|cFFFFD200Pet Battle: |rGrizzly Hills, Stonetalon Mountains, The Storm Peaks, Wetlands, Winterspring"
634,"These strange critters glimmer like ice, allowing them to hide among Winterspring's snowy expanses.",|cFFFFD200Pet Battle: |rWinterspring
635,"Unlike other snakes that actively hunt, these crafty reptiles hide in thick foliage and ambush their prey.","|cFFFFD200Pet Battle: |rBlasted Lands, Durotar, Hellfire Peninsula, Nagrand, Northern Barrens, Northern Stranglethorn, Southern Barrens, The Waking Shores, The Azure Span|n"
637,These arachnids use their razor-sharp legs to carve tunnels in the solid rock of the Blade's Edge Mountains.,|cFFFFD200Pet Battle: |rBlade's Edge Mountains
638,The nether roach has adapted to the cold vacuum of space and requires no air to survive. Inside it bears almost no resemblance to a common roach.,|cFFFFD200Pet Battle: |rNetherstorm
639,"Distinct from their cousins found in warmer climes, these hardy critters make their homes in the icy wastes of Northrend.",|cFFFFD200Pet Battle: |rBorean Tundra
640,"With the extra large surface area of their legs, snowshoe hares are able to effortlessly hop along the snow while their pursuers get bogged down in the drifts.",|cFFFFD200Pet Battle: |rHillsbrad Foothills
641,The heart of an arctic hare beats twice as fast as a common hare.,"|cFFFFD200Pet Battle:|r Borean Tundra, Dragonblight, The Storm Peaks, Zul'Drak, The Azure Span|n"
644,"If not for being extremely accident prone, the fjord rat might take over the world.",|cFFFFD200Pet Battle: |rHowling Fjord
645,"Capable of flying, unlike domesticated types.",|cFFFFD200Pet Battle: |rTwilight Highlands
646,"Tends to avoid crossing roads, regardless of motivations.","|cFFFFD200Pet Battle: |rDuskwood, Dustwallow Marsh, Elwynn Forest, Hillsbrad Foothills, Howling Fjord, Redridge Mountains, Terokkar Forest, Tirisfal Glades, Westfall, Wetlands|n"
647,"In the deep forest, even the small creatures must have the ferocity to fend for themselves.","|cFFFFD200Pet Battle: |rGrizzly Hills, Twilight Highlands"
648,This is a huge toad.,"|cFFFFD200Pet Battle: |rHillsbrad Foothills, Swamp of Sorrows, Twilight Highlands, Zul'Drak"
649,The rumors of the medicinal uses of the biletoad were believed to have been started by a particularly mischievous apothecary.,|cFFFFD200Pet Battle: |rSholazar Basin|n
650,And you thought turnips at the dinner table were bad.,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rValley of the Four Winds
652,This bubble is way worse than a tank.,|cFFFFD200Vendor: |rNat Pagle|n|cFFFFD200Zone: |rKrasarang Wilds|n|cFFFFD200Faction: |rThe Anglers - Honored|n|cFFFFD200Cost: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
665,"Easily mistaken for a common beetle, the sting of a sand scarab will quickly clear up the misconception should you be unlucky enough to be stung by one.",|cFFFFD200Trading Card Game: |rTomb of the Forgotten|n
666,"Whenever his forces would experience setbacks in Azeroth, Kil'jaeden would pull out Micronax and terrorize the local cat-like creatures of Argus to vent his frustrations.",|cFFFFD200Achievement:|r Glory of the Tomb Raider|n
671,Offspring of the Imperial Quilen.,|cFFFFD200Promotion:|r Mists of Pandaria Collector's Edition Pet
675,"Unnoticed but to cats and ratcatchers, when Deathwing descended upon Stormwind all the rats beat a hasty retreat from the city. Only of late have they returned.","|cFFFFD200Pet Battle: |rElwynn Forest, Stormwind City|n"
677,"A goblin alchemist once claimed that the bite of this raccoon gave him the gift of prophecy. Turns out, it was just rabies.",|cFFFFD200Pet Battle: |rValley of the Four Winds
678,These little green grubs are native to wilds of Pandaria. Its verdant coloration camouflages it from would-be predators.,|cFFFFD200Pet Battle: |rKrasarang Wilds
679,You'll often find them perched high atop impossibly high and remote stone outcroppings. There are few creatures as sure of foot.,|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
680,The mongoose is prized for its ability to drive off poisonous snakes.  Rikk-tikk-tikki-tikki-tchk!,|cFFFFD200Pet Battle:|r Townlong Steppes|n
699,This terrifying and highly venomous species leaps onto its prey from the Jade Forest's dense canopy.,|cFFFFD200Pet Battle:|r The Jade Forest|n
702,The leopard tree frog was named for the way it pounces from branch to branch.,"|cFFFFD200Pet Battle: |rGorgrond, The Jade Forest"
703,"Many young raccoons rail against their strict curfews, complaining that dawn is way too early to go to bed.",|cFFFFD200Pet Battle: |rThe Jade Forest
705,There are few things more annoying for a farmer to find underfoot than a rooster looking for love.,|cFFFFD200Pet Battle:|r Valley of Four Winds
706,The taciturn bandicoon's diet consists mostly of apples.,|cFFFFD200Pet Battle:|r Valley of the Four Winds
707,"Some druids say pandaren and raccoons are distant cousins, but never when a pandaren can hear them.",|cFFFFD200Pet Battle:|r Valley of the Four Winds
708,Many believe that the quillrat is able to shoot its spines at aggressors.,"|cFFFFD200Pet Battle:|r Valley of the Four Winds, Krasarang Wilds"
709,"Although the wounds caused by the young quillrat are seldom fatal, most predators seek easier prey.",|cFFFFD200Pet Battle:|r Valley of the Four Winds
710,Known to feast on the tasty plants in Valley of the Four Winds.,|cFFFFD200Pet Battle: |rValley of the Four Winds
711,The sifang otter lives near rivers and is normally friendly and playful.,|cFFFFD200Pet Battle:|r Valley of the Four Winds
712,Otters swim by propelling themselves with their powerful tails and flexing their long bodies. Very fast in the water.,|cFFFFD200Pet Battle:|r Valley of the Four Winds
713,Softshell turtle meat is considered a delicacy and is the key ingredient in soothing turtle bisque.,|cFFFFD200Pet Battle:|r Valley of the Four Winds
714,The common folk remedy to a feverbite hatchling's bite is to dance wildly and try to sweat out the toxins before they can take hold.,|cFFFFD200Pet Battle:|r Krasarang Wilds|n|n
715,"Prized for their ability to spin cocoons of silk, in the wild, to the untrained eye, they can be difficult to discern.",|cFFFFD200Pet Battle:|r Valley of the Four Winds|n
716,"A rarity among arachnids, these non-venomous critters feed solely on plants and fruit.",|cFFFFD200Pet Battle:|r Krasarang Wilds|n
717,The most delicious of the beetle family.,|cFFFFD200Pet Battle:|r Krasarang Wilds|n|n
718,"A daring, narcissist insect willing to brave any threat in its pursuit of the spotlight.",|cFFFFD200Pet Battle:|r Krasarang Wilds|n
722,Feeds on small leaves and grass when full grown.,|cFFFFD200Pet Battle:|r Krasarang Wilds|n
723,Angering a spiny terrapin will cause it to withdraw into its shell and begin to spin wildly towards an attacker.,|cFFFFD200Pet Battle:|r  Krasarang Wilds
724,Burrows deep into snowbanks to hide from predators.,|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
725,Occasionally sneaks bites of food from kills made by much larger animals.,|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
726,"While stationary, the plains monitor will continuously flick its tail back and forth. From a distance this mimics the appearance of swaying tallgrass, camouflaging the lizard from aerial predators.",|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
727,"On the prairie there are numerous rodents and other small creatures, but none more common than the mouse.",|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
728,Will only lay eggs in bright light.,|cFFFFD200Pet Battle:|r Kun-Lai Summit
729,"In the ancient fables, the first Tolai hare strode across the gulf between the stars before it upset them and they tumbled from the heavens to the world below.",|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
730,Tolai hare pups are sent from their dens at a young age to find their own way.,|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
731,"These reptiles possess hooked scales, allowing them to slither up Kun-Lai Summit's rocky slopes and steep cliffs.",|cFFFFD200Pet Battle:|r Kun-Lai Summit|n
732,"Known to flourish in the rainy season, this insect is drawn to lightning storms.",|cFFFFD200Pet Battle:|r Dread Wastes|n|cFFFFD200Pet Battle:|r Townlong Steppes
733,"At night, the grassland hoppers fill the night with their maddening song. Those unaccustomed to it have spent many a sleepless night serenaded by their mating calls.",|cFFFFD200Pet Battle:|r  Townlong Steppes
737,"Contrary to its benign appearance, mongoose are dangerous carnivores, well known for their ability to hunt venomous snakes that could kill much larger creatures.",|cFFFFD200Pet Battle:|r Townlong Steppes|n
739,Mongoose pups prefer long grass where only their mothers can find them.,|cFFFFD200Pet Battle:|r Townlong Steppes|n
740,"The bond between yak and rat is a strange one, and what the rat gains out of the symbiotic relationship is a mystery.","|cFFFFD200Pet Battle:|r Townlong Steppes, Dread Wastes|n"
741,"These hedgehogs may be silent, but often are heard the cries of those that foolishly step upon their quills.",|cFFFFD200Pet Battle:|r Dread Wastes|n
742,Hedgehogs are not at all fond of croquet nor flamingos.,|cFFFFD200Pet Battle:|r Dread Wastes|n
743,Has been spotted fighting other whelks for prime food sources.,|cFFFFD200Pet Battle:|r Dread Wastes|n|n
744,The roaches of the Dread Wastes dwell in the shadows. Some people swear the shadows travel with them.,|cFFFFD200Pet Battle:|r Dread Wastes|n
745,Unique carapace is prized by trinket makers for its texture and strength.,|cFFFFD200Pet Battle:|r Dread Wastes|n
746,The emperor crab was named for its regal appearance: the ridges of its shell and its raised claws eerily resembling a crown. One that would pinch your eyes out if you tried to wear it.,|cFFFFD200Pet Battle:|r Dread Wastes|n
747,Luminescent body used to attract mates.,|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms|n
748,This delicate insect's wings are often sewn into clothing and armor.,|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms|n
749,Civets are landbound cousins of the otter and are prized for their heady musks.,|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms
750,The civets are known to guard their young ferociously.,|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms
751,"Named for their apparent dancelike behavior when skimming aquatic surfaces, the species uses erratic movements to avoid being devoured by fish and other underwater predators.",|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms|n
752,"Despite its menacing appearance, the yellow-bellied bullfrog was aptly named.",|cFFFFD200Pet Battle:|r Vale of Eternal Blossoms|n
753,"Known to flourish in the rainy season, this insect is drawn to lightning storms.",|cFFFFD200Pet Battle:|r Jade Forest|n
754,"This species of insect is drawn to the latent energy in shrines, their luminescent appearance adding to the mystique of the places of power.",|cFFFFD200Pet Battle:|r The Jade Forest|n
755,The markings on the carapace of this cockroach closely resemble that of the Death's Head.,|cFFFFD200Pet Battle:|r Mount Hyjal|n
756,Prefers to dwell in dark caves and feed on Heartblossom nectar.,|cFFFFD200Pet Battle:|r Deepholm|n
757,Legends say that these vibrant emerald beings bring good fortune and safe travels to their owners.,|cFFFFD200Promotion:|r iCoke China
758,Said to bring good fortune when spotted in autumn.  Known to hide from unfamiliar creatures.,|cFFFFD200Promotion:|r iCoke China
792,A graceful creature from the isle of Pandaria.,"|cFFFFD200Vendor: |rAudrey Burnhep, Varzok|n|cFFFFD200Zone: |rStormwind, Orgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
800,,
802,A baby version of the mighty Thundering Cloud Serpent that hails from the far lands of Pandaria.,
817,"So cute, yet so epic.",|cFFFFD200Pet Battle:|r The Jade Forest|n|cFFFFD200Faction:|r Order of the Cloud Serpent (Exalted)|n
818,"The offspring of Tsulong, hidden away before the corruption of the Sha had fully taken hold of the Terrace of Endless Spring.",|cFFFFD200Pet Battle:|r The Jade Forest|n|cFFFFD200Faction:|r Order of the Cloud Serpent (Exalted)
819,"It's red, so it must fly faster.",|cFFFFD200Pet Battle:|r The Jade Forest|n|cFFFFD200Faction:|r Order of the Cloud Serpent (Exalted)|n
820,Known to feast on the tasty plants in Krasarang Wilds.,|cFFFFD200Achievement: |rPro Pet Mob|n|cFFFFD200Category: |rPet Battle
821,It keeps looking at me. I think it wants to bite me.,|cFFFFD200Achievement: |rGoing to Need More Leashes|n|cFFFFD200Category: |rCollect
823,"This ferocious skunk can spray an attacker from thirty yards away, temporarily blinding them.  Handle with caution!",|cFFFFD200Pet Battle: |rTwilight Highlands
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,"Mogu sorcerers, keepers of the secret to bringing stone to life, prefer these stolid companions over more beastly familiars.",|cFFFFD200Drop:|r Karr the Darkener|n|cFFFFD200Zone:|r Dread Wastes|n|n
835,"The great big world can be a dangerous place for such a tiny, adorable creature.",|cFFFFD200Achievement: |rLing-Ting's Herbal Journey|n|cFFFFD200Category: |rDungeons and Raids
836,"Water striders serve an important role in Jinyu culture, acting as a mount, means of sending communications, and even a family pet.",|cFFFFD200Drop:|r Nalash Verdantis|n|cFFFFD200Zone:|r Dread Wastes|n|n
837,"Adventurers have reported rare sightings of a monstrous sized emerald shale spider, which the denizens of Deepholm have come to call the Jadefang.",|cFFFFD200Pet Battle: |rDeepholm
838,Adult amethyst shale spiders prefer to create their nests against the outer walls of Deepholm.,"|cFFFFD200Pet Battle: |rDeepholm, Desolace"
844,"Constructed from a seemingly impossible mass of gears, springs, wires, and a little something special, this dragonling embodies the spirit of Pandaria as seen through an engineer's goggles.",|cFFFFD200Profession: |rMists of Pandaria Engineering
845,"Jade is naturally rich with life and color, making it the perfect raw material for this gentle companion.  It is said the wind created by their wings can soothe the troubled mind.",|cFFFFD200Profession:|r Mists of Pandaria Jewelcrafting|n
846,"While each cub is crafted in the same fashion, tiny imperfections in the gemstones create a unique personality when imbued with life.  They are, however, always playful and friendly.",|cFFFFD200Profession:|r Mists of Pandaria Jewelcrafting|n
847,Many believe (incorrectly) that goldfish have no memories. Trainers who have worked with them know this is clearly not the case and have the bruises to prove it.,|cFFFFD200Quest: |rLet Them Burn|n|cFFFFD200Zone: |rThe Jade Forest
848,This rabbit is much stronger than it looks.,|cFFFFD200Drop: |rDarkmoon Rabbit|n|cFFFFD200Zone: |rDarkmoon Island
849,A beautiful kite brought to life by the scribes of Pandaria.,|cFFFFD200Profession: |rMists of Pandaria Inscription
850,Who knew scribes could make kites?,|cFFFFD200Profession: |rMists of Pandaria Inscription
851,"Not only is it quick, it's loud too!",|cFFFFD200Pet Battle: |rUldum
855,Seems odd that he doesn't like flies... right?,|cFFFFD200Achievement: |rThat's a Lot of Pet Food|n|cFFFFD200Category: |rCollect
856,"Careful now, she can get a bit frisky sometimes!",|cFFFFD200Achievement: |rTime To Open a Pet Store|n|cFFFFD200Category: |rPet Battles
868,"Water spirits are especially mischievous, and are known to frequent the canals of the Stormstout Brewery.",|cFFFFD200Quest: |rPandaren Spirit Tamer|n|cFFFFD200Zone: |rVale of Eternal Blossoms
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,"A rolling, explosive member of the Zerg swarm, the baneling deals terrible, terrible damage. Very dangerous in close quarters.",|cFFFFD200Promotion:|r StarCraft II: Heart of the Swarm Collector's Edition
904,,
905,,
906,,
907,,
908,,
909,,
911,,
912,,
913,,
915,,
916,,
917,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,"Legend has it that a seadragon turtle just like this one grew up to become Shen-zin Su, the Wandering Isle. Perhaps your little turtle will grow into something amazing?",|cFFFFD200Pet Battle:|r  Krasarang Wilds|n|cFFFFD200Event:|r  Wanderer's Festival
1039,The larval form of this moth is world-renowned for creating the finest silk in Azeroth.,|cFFFFD200Profession: |rMists of Pandaria Tailoring (Imperial Silk)
1040,This plump red caterpillar is world-renowned for creating the finest silk in Azeroth.,|cFFFFD200Profession:|r Mists of Pandaria Tailoring (Imperial Silk)|n
1042,"Be careful, he might eat all your crops!","|cFFFFD200Quest:|r Sho, Requires Exalted Friendship Faction|n|cFFFFD200Zone:|r Valley of the Four Winds"
1061,"Most of Violet's numerous forest strider hatchlings are turned into Faire fare by Stamp Thunderhorn, though a few are raised as mounts or purchased by adventurers looking for a petite purple pet.",|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t
1062,"Their eerie green light, reminiscent of fel flames, is occasionally seen flitting through the twisted trees of Darkmoon Island.",|cFFFFD200Pet Battle:|r Darkmoon Island|n
1063,Don't even think about cheating now.,|cFFFFD200Drop:|r Darkmoon Pet Supplies|n
1065,,|n
1066,,
1067,,
1068,"While smaller than the infamous ravens of Gilneas, crows are no less clever or cunning.",|cFFFFD200Pet Battle: |rOccasionally appears alongside other creatures during battles on Darkmoon Island.
1073,"Terky is as shy as she is adorable, preferring the company of close friends over new ones.",|cFFFFD200Drop:|r White Murloc Egg
1117,"A playful, purring pyromaniac. Don't pet these kittens without fireproof mittens!",|cFFFFD200In-Game Shop|r
1124,"Though it appears to be a vaguely-related cousin to the Cinder Kitten, the two creatures actually share no ancestry.",|cFFFFD200Quest: |rPandaren Spirit Tamer|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n
1125,These spirits represent the heart of Pandaria's elemental powers.,|cFFFFD200Quest: |rPandaren Spirit Tamer|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n
1126,"The elements of Pandaria can be cute and playful, until their homeland is threatened.",|cFFFFD200Quest: |rPandaren Spirit Tamer|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n
1127,"Capable of sitting in even the smallest of boxes, thanks to its ghostly nature.",|cFFFFD200Promotion:|r Battle.net World Championship Shanghai 2012
1128,A rodent of usual size.,|cFFFFD200Pet Battle:|r Krasarang Wilds
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,|n|n
1139,,
1140,,
1141,,
1142,"Created for one purpose and one purpose alone: to punch little critters, as hard as it possibly can.","|cFFFFD200Vendor: |rQuackenbush|n|cFFFFD200Zone: |rDeeprun Tram|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Reputation: |rBizmo's Brawlpub, Rank 3|n|n|cFFFFD200Vendor: |rPaul North|n|cFFFFD200Zone: |rBrawl'gar Arena|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Reputation: |rBrawl'gar Arena, Rank 3"
1143,"Found in a dusty egg clutch at the back of Maexxna's lair, these creatures are already undead when they hatch.",|cFFFFD200Drop: |rMaexxna|n|cFFFFD200Zone: |rNaxxramas
1144,Loatheb's body is covered in small pods capable of spreading blighted fungal spores up to 1000 yards given proper wind conditions.,|cFFFFD200Drop: |rLoatheb|n|cFFFFD200Zone: |rNaxxramas
1145,"Upon exiting the freezing necropolis of Naxxramas, Mr. Bigglesworth promptly found a warm spot in the sun to take a long nap in.",|cFFFFD200Achievement: |rRaiding with Leashes|n|cFFFFD200Category: |rCollect
1146,"When Gluth died to a band of brave adventurers, these lil' guys were found in the corpse, gnawing on giant, undead bones.",|cFFFFD200Drop: |rGluth|n|cFFFFD200Zone: |rNaxxramas
1147,Few of these fiery harbingers remain following Ragnaros' defeat in the Firelands.,|cFFFFD200Drop: |rSulfuron Harbinger|n|cFFFFD200Zone: |rMolten Core
