ID,ActivityName_lang,Description_lang
287,Complete 5 Little Scales Daycare Daily Quests,Complete daily quests at Little Scales Daycare in Valdrakken.
288,Obtain Flightstones,
289,Create Shadowflame Crests,Collect Shadowflame Crest fragments and create any type of Shadowflame Crest.
290,Trading Post Test,Trading Post Test
291,Kalimdor Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.
292,Kalimdor Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.
293,Kalimdor Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.
294,Kalimdor Cup: Collect the Drake Racer's Helmet Appearance,From {EventStartDate} - {EventEndDate} purchase the Drake Racer's Helmet from Maztha in Valdrakken.
295,Kalimdor Cup: /salute at Lord Andestrasz While Wearing Drake Racer's Gear,From {EventStartDate} - {EventEndDate} emote /salute at Lord Andestrasz in Valdrakken while wearing Drake Racer's gear.
296,Kalimdor Cup: Get Directions from a Bronze Timekeeper Assistant,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper Assistant on Kalimdor for directions to a course location.
297,Evoker: Complete Augmenting a Dragon,As an Augmentation Evoker complete the following quests:
298,Complete 2 Eon's Fringe Daily Quests,Complete daily quests at Eon's Fringe in Thaldraszus.
299,Complete 5 Eon's Fringe Daily Quests,Complete daily quests at Eon's Fringe in Thaldraszus.
300,Complete 1 Time Rift,Complete a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
301,Complete 5 Time Rifts,Complete a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
302,Defeat Azmerloth,Defeat Azmerloth during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
303,/boggle at Soridormi,Emote /boggle at Soridormi in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
304,Obtain the Box of Collapsed Reality,Obtain the Box of Collapsed Reality from Time Rifts in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
305,Brewfest: Earn 100 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.
306,Brewfest: Earn 300 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.
307,Brewfest: Earn 600 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.
308,Defeat Arthas,Defeat Arthas during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
309,Defeat Illidan,Defeat Illidan during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.
310,Timewalking: Complete 1 Wrath Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Wrath of the Lich King Timewalking dungeons.
311,Timewalking: Complete 5 Wrath Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Wrath of the Lich King Timewalking dungeons.
312,Timewalking: Complete 1 Cataclysm Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Cataclysm Timewalking dungeons.
313,Timewalking: Complete 5 Cataclysm Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Cataclysm Timewalking dungeons.
314,Brewfest: Kill Coren Direbrew,From {EventStartDate} - {EventEndDate} kill Coren Direbrew.
315,Pirates' Day: Become a Pirate for the Day,From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay and become a member of her crew.
316,Pirates' Day: You're Gonna Need A Bigger Boat,"From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay and complete the quest ""You're Gonna Need A Bigger Boat."""
317,Pirates' Day: Defeat Harlan Sweete with Petey,"From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay to gain Petey, then defeat Harlan Sweete with Petey on your shoulder."
318,Harvest Festival: Honoring a Hero,"From {EventStartDate} - {EventEndDate} speak to Javnir Nashak, outside Orgrimmar, or Wagner Hammerstrike, outside Ironforge, and complete the quest ""Honoring a Hero."""
319,Harvest Festival: /bow at an Honored Ancestor or Hero,From {EventStartDate} - {EventEndDate} emote /bow at an Honored Ancestor outside of Orgrimmar or an Honored Hero outside of Ironforge.
320,Secrets of Azeroth: 1 Secret Found,From {EventStartDate} - {EventEndDate} complete a Secrets of Azeroth quest or discover a related secret.
321,Forsaken: Complete the Heritage Armor Storyline,"As a Forsaken, complete the following heritage armor quests:"
322,Timewalking: Defeat Northrend Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Northrend Master Tamers:
323,Timewalking: Defeat Cataclysm Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Kalimdor and Eastern Kingdoms Master Tamers:
324,Secrets of Azeroth: 3 Secrets Found,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.
325,Secrets of Azeroth: 7 Secrets Found,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.
326,Complete a Dragonriding Challenge Course on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.
327,Complete 5 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.
328,Complete 10 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.
329,Complete 20 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.
330,Complete 3 Waking Dreams,Complete Waking Dream events in the Dreamsurged zones around the Dragon Isles.
331,Complete 15 Waking Dreams,Complete Waking Dream events in the Dreamsurged zones around the Dragon Isles.
332,Defeat 3 Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.
333,Defeat 15 Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.
334,Collect 100 Dreamsurge Coalescence,Collect Dreamsurge Coalescence from activities in Dreamsurged zones around the Dragon Isles.
335,Complete the Reconciliation Storyline,"Speak with Scalecommander Emberthal in Valdrakken to begin the quest ""A Single Wing""."
336,Timewalking: Complete 1 Mists of Pandaria Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.
337,Timewalking: Complete 5 Mists of Pandaria Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.
339,Collect 250 Dreamsurge Coalescence,Collect Dreamsurge Coalescence from activities in Dreamsurged zones around the Dragon Isles.
340,Defeat Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.
341,"Darkmoon Faire: Complete ""It's Hammer Time""","From 8/4 - 8/10 complete the quest ""It's Hammer Time"" on Darkmoon Faire Island."
342,Darkmoon Faire: Enjoy a Ride,From 6/2 - 6/8 ride the Darkmoon Faire carousel or rollercoaster on Darkmoon Faire Island.
343,/dance with a patron of the Dragon's Hoard,Emote /dance with a Dance Party Patron in the Dragon's Hoard in Valdrakken.
344,LFR: Complete a Raid with your Pink Party Hat,Complete a LFR raid scenario while wearing the Pink Party Hat.
345,Brewfest: Complete 2 Brewfest Quests,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.
346,Brewfest: Complete 5 Brewfest Quests,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.
347,Win 1 PvP Pet Battle with Undead Pets,Win 1 PvP Pet Battle using at least 2 undead pets
348,Hallow's End: Visit Candy Buckets while in War Mode,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets around the world while in War Mode.
350,Tend to your Farm at Sunsong Ranch,Till the soil of Sunsong Ranch at Halfhill in the Valley of the Four Winds.
351,Obtain gold in 4 Dragonriding Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.
353,Hallow's End: Visit Candy Buckets in the Dragon Isles,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in the Dragon Isles.
354,Hallow's End: Visit Candy Buckets in Pandaria,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in Pandaria.
355,Hallow's End: Complete 5 Hallow's End Daily Quests,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.
356,Hallow's End: Complete 15 Hallow's End Daily Quests,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.
357,Hallow's End: Repeatedly Defeat The Headless Horseman,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman again and again.
358,Hallow's End: Defeat The Headless Horseman with All 4 Wicker Men Curses,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman after accepting all 4 curses from the Wicker Men.
359,Hallow's End: Bob for Apples with a Hallow's End mask,From {EventStartDate} - {EventEndDate} bob for apples while wearing a Hallow's End mask.
360,Darkmoon Faire: Speak with a Restless Spirit,From 6/2 - 6/8 talk to a ghost on the Darkmoon Faire island.
361,Great Gnomeregan Run: Participate in the Great Gnomeregan Run,On {EventStartDate} join the footrace at New Tinkertown in Dun Morogh.
362,Brewfest: Participate in a Chowdown,From {EventStartDate} - {EventEndDate} participate in the Brewfest Chowdown competition near Ironforge or Orgrimmar.
363,/cackle at a Forsaken player,Emote /cackle at a Forsaken player.
364,Complete Dragonriding World Quests in the Forbidden Reach,Speak to a Bronze Timekeeper on the Dragon Isles.
365,Complete Advanced Dragonriding Races on the Dragon Isles,"Complete Advanced dragonriding races in the Waking Shores, Ohn'ahran Plains, Azure Span, and Thaldraszus."
366,Darkmoon Faire: Wear a Fish Head to the Dungeons,From 9/1 - 9/7 use the Dungeon Finder tool to complete a dungeon while wearing a Severed Crimsonscale Head or Severed Azurefin Head fished up on the Darkmoon Faire island.
367,Great Gnomeregan Run: Complete the Great Gnomeregan Run as a Level 10 or under Gnome in a Pink Shirt,On {EventStartDate} join the footrace at New Tinkertown in Dun Morogh as a level 1-10 gnome or mechagnome while wearing a Pink Mageweave Shirt.
368,"Gather 50 herbs, ores, or skins on the Dragon Isles",
369,"Gather 250 herbs, ores, or skins on the Dragon Isles",
370,Complete 2 of the following Dragonriding World Quests,
371,Spend 100 Vigor by Dragonriding,
372,Spend 1000 Vigor by Dragonriding,
373,"Darkmoon Faire: Complete He Shoots, He Scores!","From 11/5 - 11/11 complete the quest He Shoots, He Scores! on Darkmoon Faire Island."
375,"Complete a ""Sparks of Life"" Quest","Complete a ""Sparks of Life"" quest on the Dragon Isles."
376,Win a Battleground Under Level 70,
377,Win a PvP Pet Battle with a Turkey,Win a PvP Pet Battle with any turkey on your team
378,Feed Your Pet a Snack or Treat,"Feed a Battle Pet a Happy Pet Snack, Pet Treat, or Lesser Pet Treat."
379,World Quest Bonus Week: Complete World Quests while in a Party,From {EventStartDate} - {EventEndDate} complete world quests while in a party.
380,Battleground Bonus Week: Win an Epic Battleground,From {EventStartDate} - {EventEndDate} win an Epic Battleground.
381,Dragonflight Dungeon Bonus Week: Complete Heroic Dungeons with Random Players,From {EventStartDate} - {EventEndDate} use the Dungeon Finder tool to complete heroic dungeons with random players.
383,Take Your Guild to the Dungeons,Use the Dungeon Finder tool to complete dungeons while in a guild party.
384,Complete Quests while in a Party,
385,Gain All of the Following Buffs at Once,
386,Ride in Another Player's Mount,
387,Day of the Dead: Defeat a Contender,From {EventStartDate} - {EventEndDate} purchase a contender's outfit from Chapman and defeat another player who is also in a contender's outfit.
388,Day of the Dead: Complete the quest The Grateful Dead,From {EventStartDate} - {EventEndDate} complete the quest The Grateful Dead which can be found in your race's home city.
389,Moonkin Festival: Complete Moonkin Monitoring,On {EventStartDate} complete the quest Moonkin Monitoring at Moonglade in Kalimdor
390,WoW's Anniversary: Participate in Korrak's Revenge,From {EventStartDate} - {EventEndDate} participate in the Korrak's Revenge battleground.
391,WoW's Anniversary: Slay Doomwalker,From {EventStartDate} - {EventEndDate} kill Doomwalker in Tanaris.
392,WoW's Anniversary: /cheer Leeroy Jenkins,From {EventStartDate} - {EventEndDate} emote /cheer at Leeroy Jenkins in the Caverns of Time.
393,WoW's Anniversary: Complete Quests in a Party Under Level 20,From {EventStartDate} - {EventEndDate} complete 5 quests while in a party and under level 20.
394,Moonkin Festival: Kill Enemies with Your Moonkin Hatchlings,"On {EventStartDate} befriend a Moonkin Hatchling at Moonglade in Kalimdor, then kill 25 XP-granting enemies with your moonkin companion."
395,WoW's Anniversary: Launch Fireworks in Capital Cities,From {EventStartDate} - {EventEndDate} launch 10 Celebration Fireworks or Fireflights in Stormwind or Orgrimmar.
396,Pilgrim's Bounty: Gain the Spirit of Sharing,From {EventStartDate} - {EventEndDate} eat all of the foods at a Bountiful Table to gain the Spirit of Sharing.
397,Pilgrim's Bounty: Gain the Spirit of Sharing in All Dragon Isles Zones,From {EventStartDate} - {EventEndDate} eat all of the foods at a Bountiful Table to gain the Spirit of Sharing in each of the following zones.
398,Pilgrim's Bounty: Cook All Pilgrim's Bounty Recipes,From {EventStartDate} - {EventEndDate} cook all of the following Pilgrim's Bounty foods.
399,Pilgrim's Bounty: Complete Quests,From {EventStartDate} - {EventEndDate} complete 5 Pilgrim's Bounty quests.
400,Pilgrim's Bounty: Taste the Flavors of Azeroth,From {EventStartDate} - {EventEndDate} eat one of each of the foods listed below.
401,Pilgrim's Bounty: Cover Everyone in Turkey Feathers,From {EventStartDate} - {EventEndDate} shoot each of the following player races with Turkey Shooters.
402,Pilgrim's Bounty: Go Turkey Hunting with a Pilgrim's Hat,"From {EventStartDate} - {EventEndDate}, quickly kill Wild Turkeys in Elwynn Forest, Tirisfal Glades, or Ohn'ahran Plains to gain Turkey Domination while wearing a Pilgrim's Hat."
403,WoW's Anniversary: Win a PvP Pet Battle with your New Pet,"From {EventStartDate} - {EventEndDate}, win a PvP pet battle with Lil' Frostwing on your team."
404,Upgrade Items Using Flightstones,
405,Complete a Random Dungeon or Battleground with your Recruited Friend or Recruiter,Use the Dungeon Finder tool to complete a random dungeon or random battleground while grouped with your recruited friend or your recruiter friend.
406,Level Up Classic Cooking,
407,Eat an Epic or Legendary Community Feast,"Participate in the Iskaara Tuskarr community feast to increase its rarity, then eat an epic soup!"
409,Participate in the Heat of Battle,
410,Win 1 Heat of Battle Brawl,
411,Win 5 Heat of Battle Brawls,
412,Reach Level 20,Level up any character to level 20.
414,Earn Reputation Throughout the Dragon Isles,
415,Defeat 5 Raid Bosses,
416,Defeat 20 Raid Bosses,
417,Complete 10 Quests,Complete quests that grant experience and not trivial (low level).
418,Complete 25 Quests,Complete quests that grant experience and not trivial (low level).
419,Complete 50 Quests,Complete quests that grant experience and not trivial (low level).
420,Complete 5 World Quests,
421,Complete 10 World Quests,
422,Complete 25 World Quests,
423,Defeat 25 Dungeon Bosses,Defeat dungeon bosses that grant experience.
424,Create A Shadowflame Crest,Collect Shadowflame Crest fragments and create any type of Shadowflame Crest.
426,Reach Level 30,Level up any character to level 30.
427,Reach Level 40,Level up any character to level 40.
428,Reach Level 50,Level up any character to level 50.
429,Reach Level 60,Level up any character to level 60.
430,Reach Level 70,Level up any character to level 70.
431,Gain Class Levels,Level up on any character.
432,Timewalking: Defeat Broken Isles Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Broken Isles Master Tamers:
433,Timewalking: Defeat Burning Crusade Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Burning Crusade raids.
434,Timewalking: Defeat Wrath of the Lich King Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Wrath of the Lich King raids.
435,Timewalking: Defeat Cataclysm Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Cataclysm raids.
436,Timewalking: Defeat Mists of Pandaria Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Mists of Pandaria raids.
437,Timewalking: Defeat Warlords of Draenor Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Warlords of Draenor raids.
438,Timewalking: Defeat Legion Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Legion raids.
439,Timewalking: Complete Quests in Outland,From {EventStartDate} - {EventEndDate} complete quests in Outland.
440,Timewalking: Complete Quests in Northrend,From {EventStartDate} - {EventEndDate} complete quests in Northrend.
441,Timewalking: Complete Quests in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} complete quests in Kalimdor and the Eastern Kingdoms.
442,Timewalking: Complete Quests in Pandaria,From {EventStartDate} - {EventEndDate} complete quests in Pandaria.
443,Timewalking: Complete Quests in the Broken Isles,From {EventStartDate} - {EventEndDate} complete quests in the Broken Isles.
444,"Timewalking: Gather Herbs, Ores, Skins, or Fish in Outland","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Outland."
445,"Timewalking: Gather Herbs, Ores, Skins, or Fish in Northrend","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Northrend."
446,"Timewalking: Gather Herbs, Ores, Skins, or Fish in Kalimdor and the Eastern Kingdoms","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Kalimdor and the Eastern Kingdoms."
447,"Timewalking: Gather Herbs, Ores, Skins, or Fish in Pandaria","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Pandaria."
448,"Timewalking: Gather Herbs, Ores, Skins, or Fish in Draenor","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Draenor."
449,"Timewalking: Gather Herbs, Ores, Skins, or Fish in the Broken Isles","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in the Broken Isles."
450,Timewalking: Go Fishing in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} fish up items in Kalimdor and the Eastern Kingdoms.
451,Timewalking: Go Fishing in Pandaria,From {EventStartDate} - {EventEndDate} fish up items in Pandaria.
452,Earn Reputation with the Dream Wardens,
453,Pick Dreamfruits in the Superbloom,Gain 10 Dreamfruit powers during Superbloom events in the Emerald Dream.
454,Participate in an Epic Superbloom,Participate in a Superbloom event in the Emerald Dream that earns Epic quality.
455,Plant 15 Dreamseeds in the Emerald Dream,
456,Plant 5 Dreamseeds in the Emerald Dream,
457,Recraft Equipment,Use a crafting profession to recraft equipment at a crafting bench.
458,Complete Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.
459,Complete Dragonriding Challenge Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.
460,Complete Reverse Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.
461,Slay Players in The Emerald Dream,
462,Loot Rousing Ire,
463,Defeat Dream Pets,Defeat 5 of the following pets found in the Emerald Dream.
464,Catch a Winter Pet,Catch one of the following wintery pets.
465,Be Resurrected,
466,Kill Enemies in the Cold,Slay 30 enemies in one of the following zones.
467,Deal Frost Damage,"Deal a total of 500K Frost damage. Frost damage is commonly dealt by mages, shamans, and death knights."
468,Participate in Superblooms,Participate in 3 Superbloom events in the Emerald Dream.
469,Plant Dreamseeds in the Emerald Dream,
470,Arena Skirmish Bonus Week: Win Daily Arena Matches,From {EventStartDate} - {EventEndDate} win an arena match on four different days.
471,World Quest Bonus Week: Complete World Quests,From {EventStartDate} - {EventEndDate} complete world quests.
473,New Year's Eve: Launch Red and Blue Fireworks in Capital Cities,On {EventStartDate} launch 10 Red or Blue Fireworks in Stormwind or Orgrimmar while the fireworks celebrations are happening.
474,Feast of Winter Veil: Kill 6 Festive Bosses,From {EventStartDate} - {EventEndDate} kill six of the following bosses.
475,Feast of Winter Veil: Kill 9 Festive Bosses,From {EventStartDate} - {EventEndDate} kill nine of the following bosses.
476,"Feast of Winter Veil: Slay The Abominable Greench (Twice, To Be Sure)",From {EventStartDate} - {EventEndDate} kill The Abominable Greench the Hillsbrad Foothills. Twice.
477,[DNT] Complete World Quests during World Quest Bonus Week,[DNT] From {EventStartDate} - {EventEndDate} complete world quests.
478,Final Surge: Complete Quests,From {EventStartDate} - {EventEndDate} complete quests that grant experience and not trivial (low level).
479,Final Surge: Complete World Quests,From {EventStartDate} - {EventEndDate} complete world quests.
483,Complete the Misfit Dragons Storyline,Speak to Wrathion in the Emerald Dream to begin this storyline.
484,Night Elf: Complete the Heritage Armor Storyline,"As a night elf, complete the following heritage armor quests:"
486,Gain Class Levels,Level up on any character.
487,Gain Class Levels,Level up on any character.
489,Feast of Winter Veil: Play with your Winter Veil Gift,"From {EventStartDate} - {EventEndDate}, gain 100 stacks total playing with your new toy or someone else's."
491,Have a Snowball Fight,"Hit other players with snowballs, or get hit by theirs! Snowballs can be purchased from Smokywood Pastures vendors in capital cities."
492,Use the Bronze Dragon Banner Toy,Use the Bronze Dragon Banner toy on the Dragon Isles.
493,Use the Bronze Racer's Pennant Toy and Emote /wave at Nozdormu,Use the Bronze Racer's Pennant toy and emote /wave at Nozdormu in Valdrakken.
494,Use the Hourglass of Eternity Toy,Use the Hourglass of Eternity toy at the Temporal Conflux on the Dragon Isles.
495,/flex at a Bronze Timekeeper Assistant,Emote /flex at a Bronze Timekeeper Assistant.
496,Win 5 Pet Battles in Silithus,
497,Use the Bronze Timepiece During a Dragonriding Race.,
498,Call of the Scarab: Kill a Colossus,From {EventStartDate} - {EventEndDate} kill a Colossus in Silithus.
499,Call of the Scarab: Kill a Colossus at Each Hive,From {EventStartDate} - {EventEndDate} kill a Colossus at each of the Silithid Hives in Silithus.
500,Call of the Scarab: /taunt at an Opposite Faction Player,From {EventStartDate} - {EventEndDate} emote /taunt at an opposite faction player in Silithus.
501,Outland Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.
502,Outland Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.
503,Outland Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.
504,Final Surge: Complete Dragonflight Dungeons,From {EventStartDate} - {EventEndDate} complete Dragonflight dungeons.
505,Darkmoon Faire: Win 1 Arcade Game,From 9/1 - 9/7 win 1 of the following arcade games on Darkmoon Faire Island.
506,Darkmoon Faire: Win 5 Arcade Games,From 9/1 - 9/7 win 5 of the following arcade games on Darkmoon Faire Island.
507,Win 5 Pet Battles in the Emerald Dream,
508,Gain Class Levels,Level up on any character.
509,/ponder in Amirdrassil,Emote /ponder while in Amirdrassil in the Emerald Dream.
510,Kill Creatures in the Emerald Dream,Kill creatures that grant experience while in the Emerald Dream on the Dragon Isles.
511,Complete the Big Time Adventurer Storyline,"Speak with Nozdormu in the Temporal Conflux in Thaldraszus to begin the quest ""Tumbling Through Time""."
512,Darkmoon Faire: Use the Everlasting Darkmoon Firework Toy on Darkmoon Faire Island,From 1/7 - 1/13 use the Everlasting Darkmoon Firework toy on Darkmoon Faire Island.
513,Slay Players in The Emerald Dream,
514,Call of the Scarab: Complete Silithyst,From {EventStartDate} - {EventEndDate} complete the world quest Silithyst in Silithus.
515,Call of the Scarab: Donate War Supplies,From {EventStartDate} - {EventEndDate} donate war supplies 3 times to the cause in Silithus.
516,Complete the Bronze Hatchling quests,Complete the Bronze Hatchling quests at the Little Scales Daycare in Valdrakken.
517,Use the Stasis Sand Toy,Use the Stasis Sand toy at the Temporal Conflux on the Dragon Isles.
518,Complete 1 Follower Dungeon,
519,Complete 5 Follower Dungeons,
520,Complete the Gilneas Reclamation storyline,Speak to Genn Greymane in Stormwind or Calia Menethil in Silverpine Forest to begin this storyline.
521,Complete 5 Azerothian Archives World Quests,Complete Azerothian Archives world quests on the Dragon Isles.
522,Complete 15 Azerothian Archives World Quests,Complete Azerothian Archives world quests on the Dragon Isles.
523,/wave at Provisioner Aristta,Emote /wave at Provisioner Aristta in Algeth'ar Academy.
524,Complete 1 Azerothian Archives Big Dig,Complete an Azerothian Archives Big Digs on the Dragon Isles.
525,Complete 5 Azerothian Archives Big Digs,Complete Azerothian Archives Big Digs on the Dragon Isles.
526,Win a Pet Battle with a Lovely Pet,"Win a pet battle with the Heartseeker Moth, Peddlefeet, or Lovebird Hatchling."
527,Win a Pet Battle with All Three Lovely Pets,"Win a pet battle with the Heartseeker Moth, Peddlefeet, and Lovebird Hatchling."
528,Gain 10 Profession Knowledge Points,Gain Dragon Isles knowledge in any crafting or gathering profession.
529,Gain 25 Profession Knowledge Points,Gain Dragon Isles knowledge in any crafting or gathering profession.
530,Complete 15 World Quests in War Mode,
531,Dragon Isles Alchemy: Make a Discovery,"As an alchemist, discover a new Dragon Isles recipe through experimentation."
532,Sample the Dragonflight Scenarios,"Complete a Time Rift, Community Feast, and Superbloom event."
533,Love is in the Air: Complete All 6 Daily Quests,From {EventStartDate} - {EventEndDate} complete all of the following daily quests:
534,Love is in the Air: Complete the Crown Chemical Co. Storyline,From {EventStartDate} - {EventEndDate} complete all of the following quests:
535,Love is in the Air: Donate to the Artisan's Consortium,From {EventStartDate} - {EventEndDate} give a significant donation to the Artisan's Consortium at the Gala of Gifts.
536,Love is in the Air: Discover True Relief,"From {EventStartDate} - {EventEndDate} reach 250 stacks of Relieving Frustration by attacking dummies during the quest ""The Gift of Relief""."
537,Love is in the Air: Throw Rose Petals on Players,From {EventStartDate} - {EventEndDate} throw a Handful of Rose Petals on each of the following classes:
538,Love is in the Air: Launch Pink Fireworks While Wearing a Rose,From {EventStartDate} - {EventEndDate} launch 5 Pink Brightbursts while wearing a colored rose from the Gala of Gifts.
539,Love is in the Air: Love Yourself,From {EventStartDate} - {EventEndDate} complete The Gift of Self-Care three different ways.
540,Lunar Festival: Complete the Lunar Preservation Quest,From {EventStartDate} - {EventEndDate} speak to Myrael Lunarbloom in Moonglade to begin the quest.
541,Lunar Festival: Collect an Elder's Moonstone,From {EventStartDate} - {EventEndDate} find an Elder's Moonstone in a Lucky Red Envelope given by Elders across Azeroth.
542,Lunar Festival: Collect 10 Elder's Moonstones,From {EventStartDate} - {EventEndDate} find 10 Elder's Moonstones in Lucky Red Envelopes given by Elders across Azeroth.
543,Lunar Festival: Eat a Dumpling and Shoot Fireworks,From {EventStartDate} - {EventEndDate} eat a Festival Dumpling and shoot a Festival Firecracker.
544,Darkmoon Faire: Win 1 Arcade Game,From 10/6 - 10/12 win 1 of the following arcade games on Darkmoon Faire Island.
545,Darkmoon Faire: Win 5 Arcade Games,From 10/6 - 10/12 win 5 of the following arcade games on Darkmoon Faire Island.
546,Complete Follower Dungeons as Each Role,"Complete follower dungeons as a tank, healer, and damage dealer."
547,"Gain 10 Levels as a Priest, Shaman, or Druid",
548,Rekindle the Braziers of Maldraxxus,"Complete the ""Calling the Champions"" world quest in Maldraxxus."
549,Trading Post Anniversary: Purchase a New Transmog from the Trading Post,
550,Trading Post Anniversary: Play With Your New Toy,Use one of the following toys from last year's Trading Post catalog:
551,Trading Post Anniversary: Win Pet Battles with Trading Post Pets,Win pet battles using at least one pet from last year's Trading Post catalog.
552,Trading Post Anniversary: Celebrate with Food and Dance,Eat Goblin Gumbo and use the D.I.S.C.O. toy.
553,Love is in the Air: Picnic at the Scenic Getaways,From {EventStartDate} - {EventEndDate} share a Romantic Picnic Basket at each of the locations offered by the Scenic Getaway Portal.
554,Host an Ember Court,"As a member of the Venthyr covenant, speak to Foreman Flatfinger in Sinfall to unlock the Ember Court."
555,Host 5 Ember Courts,"As a member of the Venthyr covenant, speak to Foreman Flatfinger in Sinfall to unlock the Ember Court."
556,"Take a S.E.L.F.I.E. with a Tiara, Top Hat, or Monocle",Speak to Arielle Snapflash in Stormwind or Vivica Starshot in Orgrimmar to acquire a S.E.L.F.I.E. Camera.
557,Keep Things Civilized,Drink the following teas:
558,Complete Quests in Suramar,
559,Win a Duel while Dressed to Kill,"Defeat another player in a duel while wearing a tiara, top hat, or monocle."
