ID,OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang
47371,,,Learn the final sub-specialization.
47372,,,+$ev1 $en1 while skinning.
47373,,,Learn a sub-specialization of your choice.
47374,,,"Your knowledge of anatomy gives you an upper hand, increasing your damage against beasts and dragonkin while outdoors in the Dragon Isles."
47375,,,+$ev1 $en1 while skinning.
47376,,,Learn a sub-specialization of your choice.
47377,,,+$ev1 $en1 while skinning.
47378,,,"Your knowledge of anatomy gives you an upper hand, increasing your damage against beasts and dragonkin while outdoors in the Dragon Isles."
47379,Harvesting,,"Improve your efficiency, gaining +$ev1 $en1 while skinning per point in this Specialization."
47380,Trophy Collector,,
47381,Meat Carver,,
47382,Lure Crafter,,
47383,Harvesting,,Specialize in harvesting unique materials that are utilized by many professions.
47384,,,Learn to craft a $@spellname385985.
47385,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47386,,,+$ev1 $en1 while skinning.
47387,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47388,,,+$ev1 $en1 while skinning.|n|nLearn to craft a $@spellname385984.
47389,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47390,,,Learn to craft a $@spellname385982.
47391,,,+$ev1 $en1 while skinning.
47392,,,Learn to craft a $@spellname385972.
47393,Elemental Infusion,,"Attuning with the elements improves your senses, gaining +$ev1 $en1 while skinning per point in this Specialization."
47394,,,"Your skill at using Bait has reached its peak. Your Elusive Creature Bait can now draw in rare creatures at specific locations, who can be skinned for a chance at the best rewards."
47395,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47396,,,+$ev1 $en1 while skinning.
47397,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47398,,,Your Elusive Creature Bait can sometimes draw elite creatures that may yield better skinning rewards.
47399,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47400,,,+$ev1 $en1 while skinning.
47401,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a small amount.
47402,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is increased by a moderate amount.
47403,Mastery,,"Improve your coordination, gaining +$ev1 $en1 while skinning per point in this Specialization."
47404,,,The amount of cooldown refunded for your Elusive Creature Bait through skinning is doubled when skinning Elite and Rare creatures.
47405,,,+$ev1 $en1 while skinning.
47406,,,+$ev1 $en1 while skinning.
47407,,,Learn the final sub-specialization.
47408,,,"Learn to craft $@spellname383128. The $@spellname383128 lure all nearby unoccupied, skinnable beasts and dragonkin to you."
47409,,,+$ev1 $en1 while skinning.
47410,,,Learn a sub-specialization of your choice.
47411,,,+$ev1 $en1 while skinning.
47412,,,"Learn to craft $@spellname383132. You can place them outdoors in the Dragon Isles to lure elusive creatures, which tend to be rather rewarding..."
47413,Bait Crafter,,"Study techniques to gather more materials from each creature, gaining +$ev1 $en1 while skinning per point in this Specialization."
47414,Elemental Infusion,,
47415,Mastery,,
47416,Bait Crafter,,Specialize in creating bait to lure out elusive creatures for additional materials.
47460,,,Multicraft grants up to $ev2% extra inks.
47461,,,+$ev1 $en1 when crafting inks.
47462,,,+$ev1 $en1 when crafting inks.
47463,,,+$ev1 $en1 when crafting inks.
47464,,,+$ev1 $en1 when making Inks.|n|nLearn to use Finishing Reagents such as Blotting Sand to further improve your inks.
47465,Flawless Inks,,"Improve at crafting various inks used in Inscription, gaining +$ev1 $en1 per point in this Specialization."
47466,,,Milling is $ev1% faster.|n|n+$ev2 $en2 when milling Dragon Isles herbs.
47467,,,+$ev1 $en1 when milling Dragon Isles herbs.
47468,,,+$ev1 $en1 when milling Dragon Isles herbs.
47469,,,+$ev1 $en1 when milling Dragon Isles herbs.
47470,,,+$ev1 $en1 when milling Dragon Isles herbs.
47471,Understanding Flora,,"Improve at milling various herbs in the Dragon Isles, gaining +$ev1 $en1 per point in this Specialization."
47472,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Inscription goods.
47473,,,+$ev1 $en1 when crafting Inscription goods.
47474,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Inscription goods.
47475,,,+$ev1 $en1 when crafting Inscription goods.
47476,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Inscription goods.
47477,,,+$ev1 $en1 when crafting Inscription goods.
47478,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Inscription goods.
47479,Infinite Discovery,,"Become a more inspired Scribe, gaining +$ev1 $en1 per point in this Specialization."
47480,,,Resourcefulness saves $ev1% additional reagents when crafting Inscription goods.
47481,,,+$ev1 $en1 when crafting Inscription goods.
47482,,,Resourcefulness saves $ev1% additional reagents when crafting Inscription goods.
47483,,,+$ev1 $en1 when crafting Inscription goods.
47484,,,Resourcefulness saves $ev1% additional reagents when crafting Inscription goods.
47485,,,+$ev1 $en1 when crafting Inscription goods.
47486,,,Resourcefulness saves $ev1% additional reagents when crafting Inscription goods.
47487,Perfect Practice,,"Craft items more effectively, gaining +$ev1 $en1 per point in this Specialization."
47488,,,Unlock the final sub-specialization.|n|n+$ev2 $en2 and +$ev3 $en3 when making Inscription goods.|n|nLearn to use special Finishing Reagents to improve the crafting quality of your Inks and Runes.
47489,,,Crafting Inscription goods is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making Inscription goods.
47490,,,Learn a sub-specialization of your choice.
47491,,,+$ev1 $en1 when crafting Inscription goods.
47492,,,Learn a sub-specialization of your choice.
47493,,,+$ev1 $en1 when crafting Inscription goods.
47494,,,Learn a sub-specialization of your choice.
47495,,,+$ev1 $en1 when crafting Inscription goods.
47496,,,+$ev1 $en1 when crafting Inscription goods.
47497,Rune Mastery,,"Improve at the art of Inscription and utilizing various reagents, gaining +$ev1 $en1 per point in this Specialization."
47498,Flawless Inks,,
47499,Understanding Flora,,
47500,Infinite Discovery,,
47501,Perfect Practice,,
47502,Rune Mastery,,"Learn the fundamentals of Inscription, becoming a generalist who can craft all techniques more effectively."
47503,,,Fauna Runes craft $ev1% faster.|n|nLearn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting Fauna Runes.
47504,,,Fauna runes craft $ev1% faster.|n|n+$ev2 $en2 when making Fauna Runes.
47505,,,+$ev1 $en1 and +$ev2 $en2 when making Fauna Runes.
47506,,,+$ev1 $en1 and +$ev2 $en2 when making Fauna Runes.
47507,,,+$ev1 $en1 when crafting Fauna Runes.
47508,Fauna Runes,,"Become an expert at efficiently carving Fauna Runes used to empower your weapons, gaining +$ev1 $en1 per point in this Specialization."
47509,,,Vantus runes craft $ev1% faster.|n|nLearn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting Vantus Runes.
47510,,,Vantus runes craft $ev1% faster.|n|n+$ev2 $en2 when making Vantus Runes.
47511,,,+$ev1 $en1 and +$ev2 $en2 when making Vantus Runes.
47512,,,+$ev1 $en1 and +$ev2 $en2 when making Vantus Runes.
47513,,,+$ev1 $en1 when crafting Vantus Runes.
47514,Vantus Runes,,"Become an expert at efficiently crafting Vantus Runes, gaining +$ev1 $en1 per point in this Specialization."
47515,,,+$ev1 $en1 when crafting Codexes.
47516,,,Learn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting Codexes.
47517,,,+$ev1 $en1 when crafting Codexes.
47518,,,+$ev1 $en1 and +$ev2 $en2 when making Codexes.
47519,,,+$ev1 $en1 when crafting Codexes.
47520,,,+$ev1 $en1 when crafting Codexes.
47521,,,Learn to craft the $@spellname383540.
47522,Codexes,,"Improve at binding complex runes into various Codexes, gaining +$ev1 $en1 per point in this Specialization."
47523,,,Learn the final sub-specialization.|n|n+$ev1 $en1 when crafting Runic Scripture goods.
47524,,,Runic Scripture goods craft $ev1% faster.|n|n+$ev2 $en2 when making Runic Scripture goods.
47525,,,Learn a sub-specialization of your choice.
47526,,,"+$ev1 $en1 when crafting Codexes, Vantus Runes, and Fauna Runes."
47527,,,Learn a sub-specialization of your choice.
47528,,,"+$ev1 $en1 when crafting Codexes, Vantus Runes, and Fauna Runes."
47529,,,Learn to use Optional Reagents to specify the secondary stats on various Codexes.
47530,Runic Scripture,,"Specialize in carving runic sigils into powerful pieces of equipment such as Codexes, Vantus Runes, and Fauna Runes. Gain +$ev1 $en1 per point in this Specialization."
47531,,,+$ev1 $en1 when crafting Staves.
47532,,,Learn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting Staves.
47533,,,+$ev1 $en1 when crafting Staves.
47534,,,+$ev1 $en1 and +$ev2 $en2 when making Staves.
47535,,,+$ev1 $en1 when crafting Staves.
47536,,,Learn to craft the $@spellname383541.
47537,,,Learn to craft the $@spellname383542.
47538,Staves,,"Become an expert at crafting powerful two-handed Staves, gaining +$ev1 $en1 per point in this Specialization."
47539,,,Learn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting profession tools.
47540,,,+$ev1 $en1 when crafting profession tools.
47541,,,Learn to craft $@spellname383548.
47542,,,+$ev1 $en1 when crafting profession tools.
47543,,,+$ev1 $en1 when crafting profession tools.
47544,Profession Tools,,"Become an expert at crafting various Profession Tools, gaining +$ev1 $en1 per point in this Specialization."
47545,,,+$ev1 $en1 when crafting Woodcarving goods.
47546,,,Woodcarving goods craft $ev1% faster.|n|n+$ev2 $en2 when making Woodcarving goods.
47547,,,Learn a sub-specialization of your choice.
47548,,,+$ev1 $en1 when crafting Woodcarving goods.
47549,,,Learn a sub-specialization of your choice.
47550,,,+$ev1 $en1 when crafting Woodcarving goods.
47551,,,Learn to use Optional reagents to specify the secondary stats on various Woodcarving goods.
47552,Woodcarving,,"Specialize in binding complex runes into Staves and Profession Tools, gaining +$ev1 $en1 per point in this Specialization."
47553,,,Runebinding goods craft $ev1% faster.|n|nLearn to use special Finishing Reagents such as Blotting Sand to further improve your Runebinding crafts.
47554,,,+$ev1 $en1 when crafting Runebinding goods.
47555,,,Learn the final sub-specialization.
47556,,,+$ev1 $en1 when crafting Runebinding goods.
47557,,,Learn a sub-specialization of your choice.
47558,,,+$ev1 $en1 when crafting Runebinding goods.
47559,,,Learn to use Optional Reagents to upgrade item level on Staves and Codexes.
47560,Runebinding,,"Improve at the art of binding runic items that provide both crafting and combat utility, gaining +$EV1 $EN1 per point in this Specialization.|n|nRunebinding goods include Profession Tools, Staves, Codexes, Vantus Runes, and Fauna Runes."
47561,Fauna Runes,,
47562,Vantus Runes,,
47563,Codexes,,
47564,Runic Scripture,,
47565,Staves,,
47566,Profession Tools,,
47567,Woodcarving,,
47568,Runebinding,,"Specialize in carving staves and profession tools, as well as forming runes to enhance your equipment and defeat powerful enemies."
55446,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Tailoring goods.
55447,,,+$ev1 $en1 when crafting Tailoring goods.
55448,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Tailoring goods.
55449,,,+$ev1 $en1 when crafting Tailoring goods.
55450,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Tailoring goods.
55451,,,+$ev1 $en1 when crafting Tailoring goods.
55452,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Tailoring goods.
55453,Shrewd Stitchery,,"Become meticulous in your stitchery, gaining +$ev1 $en1 per point in this Specialization."
55454,,,Resourcefulness saves $ev1% additional reagents when crafting Tailoring goods.
55455,,,+$ev1 $en1 when crafting Tailoring goods.
55456,,,Resourcefulness saves $ev1% additional reagents when crafting Tailoring goods.
55457,,,+$ev1 $en1 when crafting Tailoring goods.
55458,,,Resourcefulness saves $ev1% additional reagents when crafting Tailoring goods.
55459,,,+$ev1 $en1 when crafting Tailoring goods.
55460,,,Resourcefulness saves $ev1% additional reagents when crafting Tailoring goods.
55461,Sparing Sewing,,"Use your materials sparingly, gaining +$ev1 $en1 per point in this Specialization."
55462,,,Learn to rarely collect Wildercloth Bolts off humanoids in the Dragon Isles.
55463,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55464,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55465,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55466,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55467,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 20%.
55468,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55469,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55470,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55471,,,Amount of cloth found from Humanoids in the Dragon Isles increased by 10%.
55472,,,Learn to sometimes collect particularly damaged forms of Wildercloth for use in Unraveling.
55473,Cloth Collection,,"Learn to collect cloth more effectively, increasing the amount of cloth found from Humanoids in the Dragon Isles by 1% per point in this Specialization."
55474,,,Tailoring is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making Tailoring goods.|n|nLearn the final sub-specialization.
55475,,,+$ev1 $en1 when crafting Tailoring goods.
55476,,,Learn a sub-specialization of your choice.
55477,,,+$ev1 $en1 when crafting Tailoring goods.
55478,,,Learn a sub-specialization of your choice.
55479,,,+$ev1 $en1 when crafting Tailoring goods.
55480,Tailoring Mastery,,"Improve at the art of tailoring, gaining +$ev1 $en1 per point in this specialization."
55481,Shrewd Stitchery,,
55482,Sparing Sewing,,
55483,Cloth Collection,,
55484,Tailoring Mastery,,"Learn the fundamentals of Tailoring, becoming a generalist who can craft all patterns more effectively."
55485,,,Learn to use Embroidery Thread Finishing Reagents on various embroidered goods.
55486,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55487,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55488,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55489,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55490,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55491,,,"+$ev1 $en1 when crafting items such as polishing cloths, banners, and bags."
55492,Embroidery,,"Become an expert at embroidering both simple items such as polishing cloth, and intricate items such as banners and bags. Gain +$ev1 $en1 per point in this specialization."
55493,,,+$ev1 $en1 when weaving cloth into bolts.
55494,,,+$ev1 $en1 when weaving cloth into bolts.
55495,,,+$ev1 $en1 when weaving cloth into bolts.
55496,,,+$ev1 $en1 when weaving cloth into bolts.
55497,,,+$ev1 $en1 when weaving cloth into bolts.
55498,Weaving,,"Become an expert at weaving cloth into bolts, gaining +$ev1 $en1 per point in this Specialization."
55499,,,Learn to guarantee a Rousing Element from certain types of wildercloth during the unraveling process.
55500,,,+$ev1 $en1 when unraveling cloth and spinning thread.
55501,,,+$ev1 $en1 when unraveling cloth and spinning thread.
55502,,,+$ev1 $en1 when unraveling cloth and spinning thread.
55503,,,+$ev1 $en1 when unraveling cloth and spinning thread.
55504,,,+$ev1 $en1 when unraveling cloth and spinning thread.
55505,,,Learn to occasionaly extract Rousing Elements from certain types of wildercloth during the unraveling process.
55506,Spinning,,"Become an expert at unraveling cloth and spinning various threads, gaining +$ev1 $en1 per point in this Specialization."
55507,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting specialty items and tailoring reagents.
55508,,,Learn the final sub-specialization.
55509,,,+$ev1 $en1 when crafting specialty items and reagents.
55510,,,Learn a sub-specialization of your choice.
55511,,,+$ev1 $en1 when crafting specialty items and reagents.
55512,,,Learn a sub-specialization of your choice.
55513,,,+$ev1 $en1 when crafting specialty items and reagents.
55514,Textiles,,"Improve in the more specialized aspects of Tailoring, including the creation of various reagents and specialty items, gaining +$ev1 $en1 per point in this Specialization."
55515,Embroidery,,
55516,Weaving,,
55517,Spinning,,
55518,Textiles,,"Specialize in unraveling cloth, weaving cloth into bolts, polishing cloths, banners, and bags."
55519,,,"Further improve your connection with the magic of the Bronze Dragonflight, decreasing how quickly you exhaust the magic used to craft Chronocloth Bolts."
55520,,,+$ev1 $en1 when crafting Chronocloth Bolts.
55521,,,+$ev1 $en1 when crafting Chronocloth Bolts.
55522,,,+$ev1 $en1 when crafting Chronocloth Bolts.
55523,,,"Improve your connection with the magic of the Bronze Dragonflight, decreasing how quickly you exhaust the magic used to craft Chronocloth Bolts."
55524,Timeweaving,,"Master the art of creating Chronocloth Bolts, gaining +$ev1 $en1 per point in this Specialization."
55525,,,Learn to craft: $@spellname376504.
55526,,,+$ev1 $en1 when crafting and using Chronocloth.
55527,,,+$ev1 $en1 when crafting and using Chronocloth.
55528,,,Learn the final sub-specialization.
55529,,,Learn to craft: $@spellname376503.
55530,,,+$ev1 $en1 when crafting and using Chronocloth.
55531,,,Learn to craft: $@spellname376557.
55532,Chronocloth Tailoring,,"Delve into the secrets behind the Bronze Dragonflight's time magic in your tailoring, gaining +$ev1 $en1 per point in this specialization when making and using Chronocloth."
55533,,,"Further improve your connection with the magic of the Blue Dragonflight, decreasing how quickly you exhaust the magic used to craft Azureweave Bolts."
55534,,,+$ev1 $en1 when crafting Azureweave Bolts.
55535,,,+$ev1 $en1 when crafting Azureweave Bolts.
55536,,,+$ev1 $en1 when crafting Azureweave Bolts.
55537,,,"Improve your connection with the magic of the Blue Dragonflight, decreasing how quickly you exhaust the magic used to craft Azureweave Bolts."
55538,Azureweaving,,"Master the art of creating Azureweave Bolts, gaining +$ev1 $en1 per point in this Specialization."
55539,,,Learn to craft: $@spellname376500.
55540,,,+$ev1 $en1 when crafting and using Azureweave.
55541,,,+$ev1 $en1 when crafting and using Azureweave.
55542,,,Learn the final sub-specialization.
55543,,,Learn to craft: $@spellname376502.
55544,,,+$ev1 $en1 when crafting and using Azureweave.
55545,,,Learn to craft: $@spellname376556.
55546,Azureweave Tailoring,,"Focus on the Arcane nature of the Blue Dragonflight in your tailoring, gaining +$ev1 $en1 per point in this specialization when making and using Azureweave."
55547,,,Learn the final sub-specialization.
55548,,,+$ev1 $en1 when crafting items using either Azureweave or Chronocloth.
55549,,,+$ev1 $en1 when crafting items using either Azureweave or Chronocloth.
55550,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting Azureweave and Chronocloth bolts and goods.
55551,,,+$ev1 $en1 when crafting items using either Azureweave or Chronocloth.
55552,,,+$ev1 $en1 when crafting items using either Azureweave or Chronocloth.
55553,,,Learn a sub-specialization of your choice.
55554,Draconic Needlework,,"Source the magic of the Dragon Isles to craft exceptional clothwear with reagents such as Azureweave and Chronocloth, gaining +$ev1 $en1 per point in this Specialization."
55555,Timeweaving,,
55556,Chronocloth Tailoring,,
55557,Azureweaving,,
55558,Azureweave Tailoring,,
55559,Draconic Needlework,,Specialize in crafting highly unique pieces of equipment by communing with and harnessing the magics of both the Bronze and Azure Dragonflights.
55649,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting waist armor.
55650,,,+$ev1 $en1 when crafting armor for the waist.
55651,,,Learn to craft: $@spellname376517.
55652,Belts,,"Specialize in tailoring cloth waist armor, gaining +$ev1 $en1 per point in this Specialization."
55653,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting wrist armor.
55654,,,+$ev1 $en1 when crafting armor for the wrists.
55655,,,Learn to craft: $@spellname376518.
55656,Armbands,,"Specialize in tailoring cloth wrist armor, gaining +$ev1 $en1 per point in this Specialization."
55657,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting shoulder armor.
55658,,,+$ev1 $en1 when crafting armor for the shoulders.
55659,,,Learn to craft: $@spellname376516.
55660,Mantles,,"Specialize in tailoring cloth shoulder armor, gaining +$ev1 $en1 per point in this Specialization."
55661,,,"Learn to use Embroidery Thread Finishing Reagents on shoulder, waist, and wrist armor."
55662,,,"+$ev1 $en1 when crafting armor for the shoulders, waist, and wrists."
55663,,,Learn a sub-specialization of your choice.
55664,,,"+$ev1 $en1 when crafting armor for the shoulders, waist, and wrists."
55665,,,Learn a sub-specialization of your choice.
55666,,,"+$ev1 $en1 when crafting armor for the shoulders, waist, and wrists."
55667,,,Learn a sub-specialization of your choice.
55668,,,"+$ev1 $en1 when crafting armor for the shoulders, waist, and wrists."
55669,,,"Learn to use Optional Reagents to specify the secondary stats on shoulder, waist, and wrist armor."
55670,Embellishments,,"Improve at tailoring the embellishments of an outfit such as Waist, Shoulder, and Wrist pieces. Gain +$ev1 $en1 per point in this Specialization."
55671,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting cloaks.
55672,,,+$ev1 $en1 when crafting cloaks.
55673,,,Learn to craft: $@spellname376510.
55674,Cloaks,,"Specialize in tailoring cloaks, gaining +$ev1 $en1 per point in this Specialization."
55675,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting head armor.
55676,,,+$ev1 $en1 when crafting armor for the head.
55677,,,Learn to craft: $@spellname376514.
55678,Hats,,"Specialize in tailoring cloth head armor, gaining +$ev1 $en1 per point in this Specialization."
55679,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting foot armor.
55680,,,+$ev1 $en1 when crafting armor for the feet.
55681,,,Learn to craft: $@spellname376512.
55682,Footwear,,"Specialize in tailoring cloth foot armor, gaining +$ev1 $en1 per point in this Specialization."
55683,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting hand armor.
55684,,,+$ev1 $en1 when crafting armor for the hands.
55685,,,Learn to craft: $@spellname376513.
55686,Gloves,,"Specialize in tailoring cloth hand armor, gaining +$ev1 $en1 per point in this Specialization."
55687,,,"Learn to use Embroidery Thread Finishing Reagents on cloaks, head, hand, and foot armor."
55688,,,"+$ev1 $en1 when crafting cloaks and armor for the hands, head, and feet."
55689,,,Learn a sub-specialization of your choice.
55690,,,"+$ev1 $en1 when crafting cloaks and armor for the hands, head, and feet."
55691,,,Learn a sub-specialization of your choice.
55692,,,Learn to craft: $@spellname376569.
55693,,,Learn a sub-specialization of your choice.
55694,,,"+$ev1 $en1 when crafting cloaks and armor for the hands, head, and feet."
55695,,,Learn a sub-specialization of your choice.
55696,,,"+$ev1 $en1 when crafting cloaks and armor for the hands, head, and feet."
55697,,,"Learn to use Optional Reagents to specify the secondary stats on cloaks, head, hand, and foot armor."
55698,Outerwear,,"Improve at tailoring the embellishments of an outfit such as Hand, Feet, Head, and Back pieces. Gain +$ev1 $en1 per point in this Specialization."
55699,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting leg armor.
55700,,,+$ev1 $en1 when crafting armor for the legs.
55701,,,Learn to craft: $@spellname376515.
55702,Leggings,,"Specialize in tailoring cloth leg armor, gaining +$ev1 $en1 per point in this Specialization."
55703,,,Learn to craft and use the $@spellname376699 Finishing Reagent to improve Skill when crafting chest armor.
55704,,,+$ev1 $en1 when crafting armor for the chest.
55705,,,Learn to craft: $@spellname376511.
55706,Robes,,"Specialize in tailoring cloth chest armor such as robes and tunics, gaining +$ev1 $en1 per point in this Specialization."
55707,,,Learn to use Embroidery Thread Finishing Reagents on chest and leg armor pieces.
55708,,,+$ev1 $en1 when crafting armor for the chest and legs.
55709,,,Learn a sub-specialization of your choice.
55710,,,+$ev1 $en1 when crafting armor for the chest and legs.
55711,,,Learn to craft: $@spellname376546.
55712,,,+$ev1 $en1 when crafting armor for the chest and legs.
55713,,,Learn a sub-specialization of your choice.
55714,,,+$ev1 $en1 when crafting armor for the chest and legs.
55715,,,Learn to use Optional Reagents to specify the secondary stats on many chest and leg armor.
55716,Outfits,,"Improve at tailoring the major aspects of an outfit such as Chest and Leg pieces of armor, gaining +$ev1 $en1 per point in this Specialization."
55717,,,Tailoring is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making cloth armor.
55718,,,Learn a sub-specialization of your choice.
55719,,,+$ev1 $en1 when crafting cloth armor.
55720,,,Learn a sub-specialization of your choice.
55721,,,+$ev1 $en1 when crafting cloth armor.
55722,,,Learn a sub-specialization of your choice.
55723,,,+$ev1 $en1 when crafting cloth armor.
55724,Garmentcrafting,,"Improve at tailoring Cloth Armor to take on the most powerful foes in the Dragon Isles, gaining +$ev1 $en1 per point in this Specialization."
55725,Belts,,
55726,Armbands,,
55727,Mantles,,
55728,Embellishments,,
55729,Cloaks,,
55730,Hats,,
55731,Footwear,,
55732,Gloves,,
55733,Outerwear,,
55734,Leggings,,
55735,Robes,,
55736,Outfits,,
55737,Garmentcrafting,,Specialize in crafting cloth armor and profession garments.
58604,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Blacksmithing goods.
58605,,,+$ev1 $en1 when crafting Blacksmithing goods.
58606,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Blacksmithing goods.
58607,,,+$ev1 $en1 when crafting Blacksmithing goods.
58608,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Blacksmithing goods.
58609,,,+$ev1 $en1 when crafting Blacksmithing goods.
58610,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Blacksmithing goods.
58611,Poignant Plans,,"Become a more inspired Blacksmith, gaining +$ev1 $en1 per point in this Specialization."
58612,,,Resourcefulness saves $ev1% additional reagents when crafting Blacksmithing goods.
58613,,,+$ev1 $en1 when crafting Blacksmithing goods.
58614,,,Resourcefulness saves $ev1% additional reagents when crafting Blacksmithing goods.
58615,,,+$ev1 $en1 when crafting Blacksmithing goods.
58616,,,Resourcefulness saves $ev1% additional reagents when crafting Blacksmithing goods.
58617,,,+$ev1 $en1 when crafting Blacksmithing goods.
58618,,,Resourcefulness saves $ev1% additional reagents when crafting Blacksmithing goods.
58619,Safety Smithing,,"Use reagents more economically, gaining +$ev1 $en1 per point in this Specialization."
58620,,,Blacksmithing is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making Blacksmithing goods.
58621,,,+$ev1 $en1 when crafting Blacksmithing goods.
58622,,,Learn a sub-specialization of your choice.
58623,,,+$ev1 $en1 when crafting Blacksmithing goods.
58624,,,Learn a sub-specialization of your choice.
58625,,,+$ev1 $en1 when crafting Blacksmithing goods.
58626,Hammer Control,,"Improve at the art of blacksmithing, gaining +$ev1 $en1 per point in this specialization."
58627,Poignant Plans,,
58628,Safety Smithing,,
58629,Hammer Control,,"Learn the fundamentals of Blacksmithing, becoming a generalist who can craft all plans more effectively."
59324,,,+$ev1 $en1 when crafting the Jetscale Sigil.
59325,,,+$ev1 $en1 when crafting the Jetscale Sigil.
59326,,,Learn to craft $@spellname383538.
59327,Jetscale Sigil,,"Become an expert at crafting the Jetscale Sigil, gaining +$ev1 $en1 per point in this Specialization."
59328,,,+$ev1 $en1 when crafting the Bronzescale Sigil.
59329,,,+$ev1 $en1 when crafting the Bronzescale Sigil.
59330,,,Learn to craft $@spellname383536.
59331,Bronzescale Sigil,,"Become an expert at crafting the Bronzescale Sigil, gaining +$ev1 $en1 per point in this Specialization."
59332,,,+$ev1 $en1 when crafting the Sagescale Sigil.
59333,,,+$ev1 $en1 when crafting the Sagescale Sigil.
59334,,,Learn to craft $@spellname383534.
59335,Sagescale Sigil,,"Become an expert at crafting the Sagescale Sigil, gaining +$ev1 $en1 per point in this Specialization."
59336,,,+$ev1 $en1 when crafting the Emberscale Sigil.
59337,,,+$ev1 $en1 when crafting the Emberscale Sigil.
59338,,,Learn to craft $@spellname383535.
59339,Emberscale Sigil,,"Become an expert at crafting the Emberscale Sigil, gaining +$ev1 $en1 per point in this Specialization."
59340,,,+$ev1 $en1 when crafting the Azurescale Sigil.
59341,,,+$ev1 $en1 when crafting the Azurescale Sigil.
59342,,,Learn to craft $@spellname383533.
59343,Azurescale Sigil,,"Become an expert at crafting the Azurescale Sigil, gaining +$ev1 $en1 per point in this Specialization."
59344,,,Learn the final sub-specialization.|n|nLearn to craft and use the $@spellname391781 Finishing Reagent to improve Skill when crafting Darkmoon Sigils.
59345,,,Learn a sub-specialization of your choice.
59346,,,Learn a sub-specialization of your choice.
