ID,FullName_lang,ShortName_lang
1048,The Upper Reaches,Layer 15
1049,The Upper Reaches,Layer 16
1050,The Jailer's Gauntlet,Layer 1
1051,The Jailer's Gauntlet,Layer 2
1052,The Jailer's Gauntlet,Layer 3
1053,The Jailer's Gauntlet,Layer 4
1054,The Jailer's Gauntlet,Layer 5
1055,The Jailer's Gauntlet,Layer 6
1056,The Jailer's Gauntlet,Layer 7
1057,The Jailer's Gauntlet,Layer 8
1058,The Waking Shores,The Waking Shores
1059,Ohn'ahran Plains,Ohn'ahran Plains
1060,The Azure Span,The Azure Span
1061,Thaldraszus,Thaldraszus
1062,Zereth Mortis,Zereth Mortis
1063,Korthia,Korthia
1146,World Bosses (Dragonflight),World Bosses
1157,Algeth'ar Academy (Normal),Normal
1158,Algeth'ar Academy (Heroic),Heroic
1159,Algeth'ar Academy (Mythic),Mythic
1160,Algeth'ar Academy (Mythic Keystone),Mythic+
1161,Brackenhide Hollow (Normal),Normal
1162,Brackenhide Hollow (Heroic),Heroic
1163,Brackenhide Hollow (Mythic),Mythic
1164,Brackenhide Hollow (Mythic Keystone),Mythic+
1165,Halls of Infusion (Normal),Normal
1166,Halls of Infusion (Heroic),Heroic
1167,Halls of Infusion (Mythic),Mythic
1168,Halls of Infusion (Mythic Keystone),Mythic+
1169,Neltharus (Normal),Normal
1170,Neltharus (Heroic),Heroic
1171,Neltharus (Mythic),Mythic
1172,Neltharus (Mythic Keystone),Mythic+
1173,Ruby Life Pools (Normal),Normal
1174,Ruby Life Pools (Heroic),Heroic
1175,Ruby Life Pools (Mythic),Mythic
1176,Ruby Life Pools (Mythic Keystone),Mythic+
1177,The Azure Vault (Normal),Normal
1178,The Azure Vault (Heroic),Heroic
1179,The Azure Vault (Mythic),Mythic
1180,The Azure Vault (Mythic Keystone),Mythic+
1181,The Nokhud Offensive (Normal),Normal
1182,The Nokhud Offensive (Heroic),Heroic
1183,The Nokhud Offensive (Mythic),Mythic
1184,The Nokhud Offensive (Mythic Keystone),Mythic+
1185,Uldaman: Legacy of Tyr (Normal),Normal
1186,Uldaman: Legacy of Tyr (Heroic),Heroic
1187,Uldaman: Legacy of Tyr (Mythic),Mythic
1188,Uldaman: Legacy of Tyr (Mythic Keystone),Mythic+
1189,Vault of the Incarnates (Normal),Normal
1190,Vault of the Incarnates (Heroic),Heroic
1191,Vault of the Incarnates (Mythic),Mythic
1192,Temple of the Jade Serpent (Mythic Keystone),Mythic+
1193,Shadowmoon Burial Grounds (Mythic Keystone),Mythic+
1194,Uldaman: Legacy of Tyr (Normal),Normal
1195,The Vortex Pinnacle (Mythic Keystone),Mythic+
1196,The Forbidden Reach,The Forbidden Reach
1235,Aberrus (Normal),Normal
1236,Aberrus (Heroic),Heroic
1237,Aberrus (Mythic),Mythic
1243,Zaralek Cavern,Zaralek Cavern
1244,Dawn of the Infinite (Mythic),Mythic
1245,Galakrond's Fall - Dawn of the Infinite (Heroic),Heroic
1246,Murozond's Rise - Dawn of the Infinite (Heroic),Heroic
1247,Galakrond's Fall - Dawn of the Infinite (Mythic Keystone),Mythic+
1248,Murozond's Rise - Dawn of the Infinite (Mythic Keystone),Mythic+
1249,Emerald Dream,Emerald Dream
1251,Amirdrassil (Normal),Normal
1252,Amirdrassil (Heroic),Heroic
1253,Amirdrassil (Mythic),Mythic
1274,Throne of the Tides (Mythic Keystone),Mythic+
1275,Darkflame Cleft (Normal),Normal
1276,Darkflame Cleft (Heroic),Heroic
1277,Darkflame Cleft (Mythic),Mythic
1278,"Ara-Kara, City of Echoes (Normal)",Normal
1279,"Ara-Kara, City of Echoes (Heroic)",Heroic
1280,"Ara-Kara, City of Echoes (Mythic)",Mythic
1281,Priory of the Sacred Flame (Mythic Keystone),Mythic+
1282,Darkflame Cleft (Mythic Keystone),Mythic+
1283,The Rookery (Mythic Keystone),Mythic+
1284,"Ara-Kara, City of Echoes (Mythic Keystone)",Mythic+
1285,The Dawnbreaker (Mythic Keystone),Mythic+
1286,Cinderbrew Meadery (Mythic Keystone),Mythic+
1287,The Stonevault (Mythic Keystone),Mythic+
1288,City of Threads (Mythic Keystone),Mythic+
1289,World Bosses (War Within),World Bosses
1290,Grim Batol (Mythic Keystone),Mythic+
1291,The Dawnbreaker (Mythic),Mythic
1292,The Stonevault (Mythic),Mythic
1293,City of Threads (Mythic),Mythic
1294,Grim Batol (Mythic),Mythic
1295,Fungal Folly,Tier 1
1296,Kriegval's Rest,Tier 1
1297,Earthcrawl Mines,Tier 1
1298,Zekvir's Lair,Tier ??
1299,The Waterworks,Tier 1
1300,The Dread Pit,Tier 1
1301,Nightfall Sanctum,Tier 1
1302,Mycomancer Cavern,Tier 1
1303,The Sinkhole,Tier 1
1304,Skittering Breach,Tier 1
1305,The Underkeep,Tier 1
1306,Tak-Rethan Abyss,Tier 1
1307,The Spiral Weave,Tier 1
1308,The Rookery (Normal),Normal
1309,The Rookery (Heroic),Heroic
1310,The Rookery (Mythic),Mythic
1311,The Jade Forest,The Jade Forest
1312,Valley of the Four Winds,Valley of the Four Winds
1313,Krasarang Wilds,Krasarang Wilds
1314,The Veiled Stair,The Veiled Stair
1315,Kun-Lai Summit,Kun-Lai Summit
1316,Townlong Steppes,Townlong Steppes
1317,Dread Wastes,Dread Wastes
1318,Vale of Eternal Blossoms,Vale of Eternal Blossoms
1319,Isle of Giants,Isle of Giants
1320,Isle of Thunder,Isle of Thunder
1321,Timeless Isle,Timeless Isle
1322,Mogu'shan Vaults (10 Heroic),10 Heroic
1323,Mogu'shan Vaults (10 Normal),10 Normal
1324,Heart of Fear (10 Heroic),10 Heroic
1325,Heart of Fear (10 Normal),10 Normal
1326,Terrace of Endless Spring (10 Heroic),10 Heroic
1327,Terrace of Endless Spring (10 Normal),10 Normal
1328,Throne of Thunder (10 Heroic),10 Heroic
1329,Throne of Thunder (10 Normal),10 Normal
1330,Siege of Orgrimmar (Mythic),Mythic
1331,Siege of Orgrimmar (Heroic),Heroic
1332,Siege of Orgrimmar (Normal),Normal
1333,Temple of the Jade Serpent (Heroic),Heroic
1334,Temple of the Jade Serpent (Normal),Normal
1335,Scarlet Halls (Heroic),Heroic
1336,Scarlet Halls (Normal),Normal
1337,Scarlet Monastery (Heroic),Heroic
1338,Scarlet Monastery (Normal),Normal
1339,Scholomance (Heroic),Heroic
1340,Scholomance (Normal),Normal
1341,Stormstout Brewery (Heroic),Heroic
1342,Stormstout Brewery (Normal),Normal
1343,Shado-Pan Monastery (Heroic),Heroic
1344,Shado-Pan Monastery (Normal),Normal
1345,Siege of Niuzao Temple (Heroic),Heroic
1346,Siege of Niuzao Temple (Normal),Normal
1347,Mogu'shan Palace (Heroic),Heroic
1348,Mogu'shan Palace (Normal),Normal
1349,Gate of the Setting Sun (Heroic),Heroic
1350,Gate of the Setting Sun (Normal),Normal
1351,Greenstone Village (Normal),Normal
1353,A Brewing Storm (Heroic),Heroic
1354,A Brewing Storm (Normal),Normal
1355,Unga Ingoo (Normal),Normal
1356,Arena of Annihilation (Normal),Normal
1357,Brewmoon Festival (Normal),Normal
1358,Crypt of Forgotten Kings (Normal),Normal
1359,Crypt of Forgotten Kings (Heroic),Heroic
1360,Assault on Zan'vess (Normal),Normal
1361,Dagger in the Dark (Normal),Normal
1362,Dagger in the Dark (Normal),Normal
1363,A Little Patience (Normal),Normal
1364,A Little Patience (Normal),Normal
1365,Domination Point (Normal),Normal
1366,Lion's Landing (Normal),Normal
1367,Battle on the High Seas (Heroic),Heroic
1368,Battle on the High Seas (Normal),Normal
1369,Battle on the High Seas (Normal),Normal
1370,Battle on the High Seas (Heroic),Heroic
1371,Theramore's Fall (Normal),Normal
1372,Theramore's Fall (Normal),Normal
1373,Blood in the Snow (Normal),Normal
1374,Blood in the Snow (Heroic),Heroic
1375,Dark Heart of Pandaria (Normal),Normal
1376,Dark Heart of Pandaria (Heroic),Heroic
1377,The Secrets of Ragefire (Normal),Normal
1378,The Secrets of Ragefire (Heroic),Heroic
1382,City of Threads (Normal),Normal
1383,City of Threads (Heroic),Heroic
1384,Fungal Folly,Tier 2
1385,Kriegval's Rest,Tier 2
1386,Earthcrawl Mines,Tier 2
1387,The Waterworks,Tier 2
1388,The Dread Pit,Tier 2
1389,Nightfall Sanctum,Tier 2
1390,Mycomancer Cavern,Tier 2
1391,The Sinkhole,Tier 2
1392,Skittering Breach,Tier 2
1393,The Underkeep,Tier 2
1394,Tak-Rethan Abyss,Tier 2
1395,The Spiral Weave,Tier 2
1396,Fungal Folly,Tier 3
1397,Kriegval's Rest,Tier 3
1398,Earthcrawl Mines,Tier 3
1399,The Waterworks,Tier 3
1400,The Dread Pit,Tier 3
1401,Nightfall Sanctum,Tier 3
1402,Mycomancer Cavern,Tier 3
1403,The Sinkhole,Tier 3
1404,Skittering Breach,Tier 3
1405,The Underkeep,Tier 3
1406,Tak-Rethan Abyss,Tier 3
1407,The Spiral Weave,Tier 3
1408,Fungal Folly,Tier 4
1409,Kriegval's Rest,Tier 4
1410,Earthcrawl Mines,Tier 4
1411,The Waterworks,Tier 4
1412,The Dread Pit,Tier 4
1413,Nightfall Sanctum,Tier 4
1414,Mycomancer Cavern,Tier 4
1415,The Sinkhole,Tier 4
1416,Skittering Breach,Tier 4
1417,The Underkeep,Tier 4
1418,Tak-Rethan Abyss,Tier 4
1419,The Spiral Weave,Tier 4
1420,Fungal Folly,Tier 5
1421,Kriegval's Rest,Tier 5
1422,Earthcrawl Mines,Tier 5
1423,The Waterworks,Tier 5
1424,The Dread Pit,Tier 5
1425,Nightfall Sanctum,Tier 5
1426,Mycomancer Cavern,Tier 5
1427,The Sinkhole,Tier 5
1428,Skittering Breach,Tier 5
1429,The Underkeep,Tier 5
1430,Tak-Rethan Abyss,Tier 5
1431,The Spiral Weave,Tier 5
1432,Fungal Folly,Tier 6
1433,Kriegval's Rest,Tier 6
1434,Earthcrawl Mines,Tier 6
1435,The Waterworks,Tier 6
1436,The Dread Pit,Tier 6
1437,Nightfall Sanctum,Tier 6
1438,Mycomancer Cavern,Tier 6
1439,The Sinkhole,Tier 6
1440,Skittering Breach,Tier 6
1441,The Underkeep,Tier 6
1442,Tak-Rethan Abyss,Tier 6
1443,The Spiral Weave,Tier 6
1444,Fungal Folly,Tier 7
1445,Kriegval's Rest,Tier 7
1446,Earthcrawl Mines,Tier 7
1447,The Waterworks,Tier 7
1448,The Dread Pit,Tier 7
1449,Nightfall Sanctum,Tier 7
1450,Mycomancer Cavern,Tier 7
1451,The Sinkhole,Tier 7
1452,Skittering Breach,Tier 7
1453,The Underkeep,Tier 7
1454,Tak-Rethan Abyss,Tier 7
1455,The Spiral Weave,Tier 7
1456,Fungal Folly,Tier 8
1457,Kriegval's Rest,Tier 8
1458,Earthcrawl Mines,Tier 8
1459,The Waterworks,Tier 8
1460,The Dread Pit,Tier 8
1461,Nightfall Sanctum,Tier 8
1462,Mycomancer Cavern,Tier 8
1463,The Sinkhole,Tier 8
1464,Skittering Breach,Tier 8
1465,The Underkeep,Tier 8
1466,Tak-Rethan Abyss,Tier 8
1467,The Spiral Weave,Tier 8
1468,Fungal Folly,Tier 9
1469,Kriegval's Rest,Tier 9
1470,Earthcrawl Mines,Tier 9
1471,The Waterworks,Tier 9
1472,The Dread Pit,Tier 9
1473,Nightfall Sanctum,Tier 9
1474,Mycomancer Cavern,Tier 9
1475,The Sinkhole,Tier 9
1476,Skittering Breach,Tier 9
1477,The Underkeep,Tier 9
1478,Tak-Rethan Abyss,Tier 9
1479,The Spiral Weave,Tier 9
1480,Fungal Folly,Tier 10
1481,Kriegval's Rest,Tier 10
1482,Earthcrawl Mines,Tier 10
1483,The Waterworks,Tier 10
1484,The Dread Pit,Tier 10
1485,Nightfall Sanctum,Tier 10
1486,Mycomancer Cavern,Tier 10
1487,The Sinkhole,Tier 10
1488,Skittering Breach,Tier 10
1489,The Underkeep,Tier 10
1490,Tak-Rethan Abyss,Tier 10
1491,The Spiral Weave,Tier 10
1492,Fungal Folly,Tier 11
1493,Kriegval's Rest,Tier 11
1494,Earthcrawl Mines,Tier 11
1495,The Waterworks,Tier 11
1496,The Dread Pit,Tier 11
1497,Nightfall Sanctum,Tier 11
1498,Mycomancer Cavern,Tier 11
1499,The Sinkhole,Tier 11
1500,Skittering Breach,Tier 11
1501,The Underkeep,Tier 11
1502,Tak-Rethan Abyss,Tier 11
1503,The Spiral Weave,Tier 11
1504,Nerub-ar Palace (Mythic),Mythic
1505,Nerub-ar Palace (Normal),Normal
1506,Nerub-ar Palace (Heroic),Heroic
1507,Cinderbrew Meadery (Normal),Normal
1508,Cinderbrew Meadery (Heroic),Heroic
1509,Cinderbrew Meadery (Mythic),Mythic
1510,Priory of the Sacred Flame (Normal),Normal
1511,Priory of the Sacred Flame (Heroic),Heroic
1512,Priory of the Sacred Flame (Mythic),Mythic
1513,The Ringing Deeps,The Ringing Deeps
1518,The Dawnbreaker (Normal),Normal
1519,The Dawnbreaker (Heroic),Heroic
1520,Zekvir's Lair,Tier 8
1521,The Stonevault (Heroic),Heroic
1535,The Stonevault (Normal),Normal
