ID,Title_lang,BodyText_lang
6716,Destabilized,"When struck by Total Annihilation, powerful waves of energy course through the victim, rendering them more susceptible to the harmful effects of Total Annihilation. Players instantly die if Total Annihilation inflicts additional damage to them."
6717,Linked Focuses,An Empyreal Focus will not deactivate until both it and the linked focus are brought to zero health.
6718,Nullification Barrier,"Players with this Stolen Essence of Stone may channel a Nullification Barrier around themselves for $115817d. The Barrier negates any harmful magical effects cast on players standing inside the Barrier.

The barrier will also nullify harmful effects in the world such as Wildfire, Shadow Shields or Images, and Lightning Charge."
6719,Amassing Darkness,"Grand Empress Shek'zeer weaves shadows at a random player, inflicting $124844s1 Shadow damage. This effect will hit an additional enemy every 2 seconds, until it is eventually hitting all enemy players."
6720,Amassing Darkness,"Grand Empress Shek'zeer weaves shadows at a random player, inflicting $124844s1 Shadow damage. This effect will hit an additional enemy every 6 seconds, until it is eventually hitting all enemy players."
6781,Visions of Demise,"The Empress inflicts on five random players a vision of their own demise. The vision reveals itself to the player after $124862d., causing them to suffer in fear and inflict $124868s1 Shadow damage every $124863t2 sec. to all players within $124868A1 yards for $124863d."
6797,Convert,"Imperial Vizier Zor'lok uses the pure voice of the Empress to sway the allegiance of three players at random, causing them to fight for the Mantid Empire. Convert lasts until the victim reaches 50% health."
6812,Berserker Rage,"When Armsmaster Harlan reaches 50% remaining health, he enters a Berserker Rage.  Every $111221t1 seconds thereafter, Armsmaster Harlan's damage increases by ${$111220m1*2}%."
6813,Final Destination,After 6 minutes Gara'jal goes berserk and casts the spell Final Desination. Final Destination instantly kills all players.
6814,Final Destination,After 15 minutes Gara'jal goes berserk and casts the spell Final Desination. Final Destination instantly kills all players.
6860,Arc Nova,A pulse of electric energy inflicts $136338s1 Nature damage to players within $136338A1 yards and knocks them back.
6861,Lightning Tether,"Nalak tethers several players to him, inflicting $136353s1 Nature damage every $136339t1 sec. and an additional $136349s1 Nature damage if they are greater than 30 yards from Nalak.  Lasts $136339d."
6862,Static Shield,Jolts of power surrounding Nalak inflict $136343s1 Nature damage every $136341t1 sec. to a random player.
6863,Stormcloud,"Nalak places storm clouds above several players, which inflict $136345s1 Nature damage every $136340t1 sec.to all players within $136345A1 yards for $136340d."
6865,"Ro'shak, the Molten Flare","$[!5, 6 In Heroic difficulty, the Iron Qon's Quilen flee at 25% Health. $]"
6866,"Quet'zal, the Stormcaller","$[!5, 6 In Heroic difficulty, the Iron Qon's Quilen flee at 25% Health. $]"
6867,"Dam'ren, the Frozen Sage","$[!5, 6 In Heroic difficulty, the Iron Qon's Quilen flee at 25% Health. $]"
6868,Iron Qon's Last Stand,"Having lost his prime quilen mounts, Iron Qon faces you himself. In addition to his previous attacks, he gains new abilities."
6869,The Quilen Champions,Iron Qon battles atop his finest Quilen champions.
6870,Unleashed Flame,"Ro'shak incinerates the largest cluster of enemies he can find, inflicting $134628s1 Fire damage split evenly among targets within $134628A1 yards. Discharging this flame relieves Ro'shak of 30 Molten Energy.

There must be at least 3 targets clustered in order to get Ro'shak's attention."
6871,Scorched,"Ro'shak's burning talons leave players Scorched, increasing Fire damage taken by $134647s1% for $134647d."
6874,Impale,"Iron Qon impales his target with his spear, inflicting normal melee damage and causing bleeding, which inflicts an additional $134691s1 Physical damage every $134691t1 sec. This effect stacks."
6875,Throw Spear,"Iron Qon hurls his mighty spear over a random player, inflicting $134926s1 Physical damage on impact."
6876,Arcing Lightning,"Quet'zal zaps a random player with Lightning, stunning, absorbing healing effects, and causing them to shock nearby allies for $136193s1 Nature damage. This shock damage effect jumps to nearby allies, causing them to also pulse with electricity.

They are stunned until another player pulls them out of the storm. If they die while under the effect of Lightning Storm, then Arcing Lightning will zap a random player."
6877,Windstorm,"Quet'zal pulls all players into the eye of a rushing windstorm. Players suffer $136577s1 Nature damage every $136577t1 sec until they are able to exit the storm. Damage, healing, and absorption effects cast while inside the windstorm are decreased by $136577s2%.

Once the storm is over, some rushing winds will linger."
6878,Rushing Winds,"Rushing winds attract players into the storm, inflicting $135583s1 Nature damage every $135583t1 sec to those who stand within."
6879,Hard Stare,Durumu focuses his gaze on his current target and inflicts $133765s1% weapon damage as Physical damage on them. Victims of this attack suffer a Serious Wound and an Arterial Cut.
6880,Serious Wound,Victims of Serious Wound receive $133767s1% less healing per application.
6881,Arterial Cut,Victims of Arterial Cut suffer $133768s1 Physical damage every second until they are restored to full health.
6882,Disintegration Beam,Durumu will focus his gaze into a beam of pure destruction directly in front of him. Players who are caught in the beam are killed instantly. While focusing this beam Durumu will slowly turn in either direction and his Cross-Eye will create a maze of Eye Sores across the platform.
6883,Cross-Eye,Durumu's Cross-Eye creates a maze of Eye Sores across the platform whenever he channels his Disintegration Beam.
6884,Mind's Eye,Durumu summons a Mind's Eye that casts Force of Will periodically.
6885,Hungry Eye,Durumu summons a Hungry Eye that casts Life Drain on players.
6886,Evil Eye,Durumu's Evil Eye periodically casts Dark Parasite on players.
6887,Appraising Eye,Durumu will summon an Appraising Eye that casts Lingering Gaze on players.
6889,Walls of Ice,Durumu summons three walls of ice to impede players as they attempt to move around the platform. The individual sections of each ice wall have their health linked and will shatter when any section has been sufficiently damaged.
6890,Gaze,"If Durumu has no valid melee targets he instead Gazes at all players, inflicting $134029s1% weapon damage as Physical damage."
6891,Light Spectrum,"Durumu spawns a Blue Eye, Red Eye, and a Yellow Eye to cast three color beams targeting random players in the raid.  Once the initial beam completes, the Blue Eye and Red Eye focus a cone on their inital target for the duration of the Light Spectrum sequence.  The Yellow Eye ignores its initial target and instead moves its cone in one randomly chosen direction. 

$[!3,4,5,6 Players in each cone split damage equally and will gradually suffer more damage the longer they are within the cone's area of effect.$]$[!7 In Raid Finder Difficulty, each cone inflicts damage to all players within it.$]

Each cone reveals a specific creature that is normally invisible.

$[!3,4,5,6 These cones persist until players have found and vanquished all Crimson Fogs.$]$[!7 In Raid Finder Difficulty, these cones persist until players have found and vanquished one fog beast of each color.$]

$[!5,6 In Heroic Difficulty, if players fail to complete the Light Spectrum sequence within 80 seconds Durumu will Obliterate the raid.$]"
6892,Crimson Fog,Crimson Fogs are only revealed by the Red Eye's Infrared Light.
6893,Crimson Bloom,If a Crimson Fog leaves the Red Eye's Infrared cone it will cast Crimson Bloom. Crimson Bloom inflicts $136122s1 Fire damage to all players.
6894,Caustic Spike,Crimson Fogs cast Caustic Spike at random players while revealed by the Infrared cone of the Red Eye. Caustic Spike inflicts $136154s1 Physical damage to the victim.
6895,Amber Fog,Amber Fogs are only revealed by the Yellow Eye's Bright Light.
6896,Amber Retaliation,Amber Fogs will cast Amber Retaliation once for every 10% health lost. Amber Retaliation inflicts $136175s1 Nature damage to all players within the cone of Bright Light.
6897,Burst of Amber,If an Amber Fog leaves the area of Yellow Eye's Bright Light it will cast Burst of Amber. Burst of Amber inflicts $136123s1 Nature damage to all players.
6898,Azure Fog,Azure Fogs are only revealed by Blue Eye's Blue Rays.
6899,Icy Grasp,Azure Fogs inflict increasing Frost damage to all players in the cone of Blue Rays while revealed by the Blue Eye's cone of Blue Rays.
6900,Biting Chill,"When players destroy an Azure Fog, it will respawn in a random location on the platform."
6901,Eye Sore,Eye Sores inflict $134755s1 Arcane damage to victims within their area of effect every second.
6905,Force of Will,"The Mind's Eye focuses intently on a random player, knocking back any players who remain in the Eye's gaze when Force of Will finishes casting."
6906,Life Drain,"The Hungry Eye focuses its gaze on a random player and begins to draw out their life force, stunning them for $133795d. Life lost from the victim is added to Durumu's health pool.

The longer the Hungry Eye is allowed to focus on any given player the more life will be drawn from the victim. Hungry Eyes drain the life of the closest player between it and the initial target."
6907,Dark Parasite,"Dark Parasites course through the victim, inflicting Shadow damage every second. The amount of damage increases the longer the parasite is allowed to infect its host.

Dispelling the parasites from the victim causes the parasites to morph into a Dark Plague."
6908,Dark Plague,When Dark Parasites are cleansed they morph into a Dark Plague. Dark Plague's duration is equal to the duration remaining when Dark Parasites was cleansed and will spawn a Wandering Eye every 3 seconds.
6909,Wandering Eye,Wandering Eyes are spawned from victims of Dark Plague and will attack a random player.
6910,Devour,Wandering Eyes inflict $134010s1 Shadow damage to their chosen host every two seconds. Any damage the Wandering Eye suffers is copied to the host.
6911,Lingering Gaze,The Appraising Eye lobs a shadowy missile at two random players. When the missile lands it explodes for $133793s2 Shadow damage to all within $133793A2 yards and will create a zone that will persist until the end of the encounter. Players entering this zone suffer $140495s1 Shadow damage every second and are slowed $134040s2%.
6912,Ignite Spear: Burning Cinders,"Ro'shak spits molten lava at Iron Qon's spear, causing magma to burst forth from the ground, inflicting $137668s2 Fire damage initially and then stacking $137668s1 Fire damage every $137668t1 sec to players who remain within the effect."
6913,Strike Spear: Storm Cloud,"Quet'zal calls lightning down on Iron Qon's spear, causing a rolling storm cloud that electrifies players for $137669s2 Nature damage. 

This effect stacks, and players who receive $137669s3 stacks become fully electrified and are stunned for $137669d."
6914,Dead Zone,Dam'ren directionally shields himself. Players standing within the Dead Zone created by this shield cause all incoming and outgoing attacks to miss.
6915,Freeze,"Dam'ren freezes a random player. After 1-5 sec, Dam'ren will then Shatter them, inflicting $135146s1 Frost damage to all enemies."
6916,Freeze Spear: Frozen Blood,"Dam'ren strikes Iron Qon's spear with ice, freezing the ground around it. Coming into contact with the frozen ground inflicts $137664s2 Frost damage instantly and slows the player's movement, melee, ranged, and casting speeds by $137664s1%. This effect stacks while standing within the area of frozen blood."
6917,Fist Smash,"Having no spear in hand, Iron Qon smashes the ground violently, inflicting $136147s1 Physical damage to all players every $136146t1 sec for $136146d."
6918,Rising Anger,"Iron Qon becomes increasingly angry, increasing damage done by $136323s1% per stack."
6919,Ignite Cyclone,"Iron Qon ignites a random cyclone, causing it to burn all players for $136925s1 Fire damage every $136159t4 sec."
6920,Freeze Cyclone,"Iron Qon freezes a random cyclone, causing it to entomb players in ice on contact. The player will take damage equal to $136892s2% of their maximum health every $136892t2 sec."
6947,Primordial Strike,"Primordius claws at his current target, inflicting $136037s1 Physical damage to all players in a $136037A1-yard cone."
6948,Malformed Blood,"The heavily-mutated blood within Primordius spreads to his current target, inflicting $136050s2 Nature damage every $136050t2 sec and causing the afflicted player's attacks to Congeal Blood, inflicting additional Nature damage to Living Fluids and Viscous Horrors. This effect lasts $136050d and stacks."
6949,Evolution,"When Primordius is mutated by enough Living Fluids, Mutagenic Pools, and his natural mutation rate, he evolves. Evolution increases all damage dealt by Primordius by $136209s1% and grants him a new mutation. This effect stacks. Primordius can only have 3 mutations at any time.$[!5,6

In Heroic Difficulty, Primordius can have 4 mutations.$]"
6950,Mutation: Ventral Sacs,"Sacs located around Primordius's frill periodically erupt, inflicting $136211s1 Nature damage to all players every $136210t1 sec."
6951,Mutation: Gas Bladder,"A volatile mutation that allows Primordius to spray Caustic Gas, inflicting $136216s2 Nature damage split evenly between all players within a $136216A1-yard radius."
6952,Mutation: Acidic Spines,"Primordius fires Acidic Spines at players every $136218t1 sec, inflicting $136220s1 Nature damage to all players within $136220A1 yards of the targets."
6953,Mutation: Pathogen Glands,"Allows Primordius to spray a Volatile Pathogen at a player, inflicting $136231s1 Nature damage every $136228t1 sec. for $136228d."
6954,Mutation: Metabolic Boost,A hyperactive metabolism allows Primordius to use abilities more often and increases attack speed by $136245s2%.
6955,Mutation: Erupting Pustules,"Pustules erupt every $136246t1 sec, showering the area with corrosive blood that inflicts $136247s1 Nature damage within $136247A1 yards of the impact."
6956,Living Fluid,Living fluid seeps from the pools surrounding Primordius's lair and these oozes slowly make their way to Primordius.
6957,Mutate Primordius,"If a Living Fluid reaches Primordius, it is absorbed, increasing Primordius's current mutation level."
6958,Mutagenic Pool,"When a Living Fluid dies, it leaves behind a Mutagenic Pool that can mutate Primordius or players."
6959,Mutate Primordius,"When Primordius steps on a Mutagenic Pool, it is absorbed, increasing Primordius's current mutation level."
6960,Mutate Player,"When a player steps on a Mutagenic Pool, it is absorbed, inflicting $136178s2 Nature damage and causing a helpful mutation. If $136178s1 mutations are present, the mutation will be a harmful mutation. $[!3,4,5,6

If a mutated player is dispelled, all mutations are removed.$]"
6961,Helpful Mutation: Thick Bones,"The player's bones become thick and powerful, increasing all stats by $136184s1%."
6962,Harmful Mutation: Fragile Bones,"The player's bones become thin and brittle, reducing all stats by $136185s1%."
6963,Helpful Mutation: Clear Mind,"The player's mind becomes clear and focused, increasing Mastery by $136186s1%."
6964,Harmful Mutation: Clouded Mind,"The player's mind becomes clouded and unfocused, reducing Mastery by $136187s1%."
6965,Helpful Mutation: Improved Synapses,"The player's neural synapses fire more quickly, increasing Haste by $136182s1%."
6966,Harmful Mutation: Dulled Synapses,"The player's neural synapses fire more slowly, reducing Haste by $136183s1%."
6967,Helpful Mutation: Keen Eyesight,"The player's eyesight becomes exceptionally keen, increasing Critical Strike chance by $136180s1%."
6968,Harmful Mutation: Impaired Eyesight,"The player's eyesight becomes exceptionally poor, reducing Critical Strike chance by $136181s1%."
6969,Viscous Horror,A heavily-mutated creature made of the same fluid that spawned Primordius.
6970,Black Blood,"The Viscous Horror spreads its mutated blood to its current target, inflicting $137000s2 Nature damage every $137000t2 sec and causing the afflicted player's attacks to coat the enemy in Black Blood, inflicting $137000s1 additional Nature damage to Primordius. This effect lasts $137000d and stacks."
6971,Deadly Mutagen,"If a Viscous Horror gets close to Primordius, the mixture of mutative energies will cause it to explode, inflicting $136995s1 Nature damage to all players."
6972,Molten Inferno,"Ro'shak emits molten flame, inflicting $134664s1 Fire damage to all players. This will relieve Ro'shak of 10 Molten Energy."
6973,Molten Overload,"When he reaches maximum Molten Energy, Ro'shak overloads and combusts, casting Molten Inferno every $137221t1 sec until he is degraded of molten energy. This effect temporarily increases his damage dealt by $137221s2%."
6974,Unleashed Flame,"Ro'shak incinerates the largest cluster of enemies he can find, inflicting $134628s1 Fire damage split evenly among targets within $134628A1 yards. Discharging this flame relieves Ro'shak of 30 Molten Energy.

There must be at least 5 targets clustered in order to get Ro'shak's attention."
6975,Scorched,"Ro'shak's burning talons leave players scorched, increasing Fire damage taken by $134647s1%."
6976,Determined Stab,"Moorabi stabs a player, inflicting Physical damage. This attack cannot be blocked, dodged or parried."
6977,Ground Tremor,"Moorabi causes the ground to tremble, inflicting Physical damage to all players within $55142A1 yards, stunning them for $55142d."
6978,Numbing Shout,"Moorabi unleashes a loud roar, numbing the minds of all players within $55106A1 yards for $55106d. This effect reduces all spell casting speed by $55106s1%."
6979,Mojo Frenzy,"Moorabi enters a frenzy, increasing his spell casting speed proportional to the amount of damage he has taken."
6980,Stage 1: High Prophet of Mam'toth,
6981,State 2: The Avatar of Mam'toth,
6982,Determined Gore,"Moorabi gores a player, knocking them away, and inflicting Physical damage. In addition, the player will bleed for additional Physical damage every 3 seconds for $55102d. This attack cannot be blocked, dodged or parried."
6983,Quake,"Moorabi causes the ground to tremble, inflicting Physical damage to all players within $55101A1 yards, stunning them for $55101d."
6984,Numbing Roar,"Moorabi unleashes a loud roar, numbing the minds of all players within $55100A1 yards for $55100d. This effect reduces all spell casting speed by $55100s1%."
6985,Transformation,"Moorabi attempts to transform into the Avatar of Mam'toth, increasing Physical damage done by $55098s3% and granting immunity to Stun effects."
6986,Stampede,"Gal'darah summons a Rhino Spirit which charges a player, inflicting Physical damage and knocking them into the air."
6987,Whirling Slash,"Gal'darah spins around in a whirlwind of steel, inflicting Physical damage to all players within $55249A1 yards and causing them to bleed for additional Physical damage every $55249t2 sec, for $55250d. While using Whirling Slash, Gal'darah's movement speed is reduced by $55250s2%."
6988,Puncture,"Gal'darah thrusts his spear into a player, bypassing armor and inflicting Physical damage. In addition, the target will bleed for additional Physical damage every $55276t2 sec for $55276d."
6989,Stage 1: High Prophet of Akali,
6990,Stage 2: The Avatar of Akali,
6991,Impaling Charge,"Gal'darah charges a player, knocking them back and inflicting Physical damage."
6992,Enrage,"Gal'darah becomes enraged, increasing his attack speed by $55285s1% for $55285d."
6993,Stomp,"Gal'darah stomps the ground, inflicting Physical damage and knocking all players within 10 yards away."
6994,Eck Bite,"Eck bites down hard, inflicting Physical damage to a player."
6995,Eck Spit,"Eck spits toxic bile at players in a cone in front of him, inflicting $55814s1 Nature damage and draining $55814s2 mana every $55814t1 sec for $55814d."
6996,Eck Spring,Eck leaps at a distant player.
6997,Eck Berserk,"Eck berserks after 90 seconds, increasing his attack speed by $55816s2% and all damage he deals by $55816s1%."
6998,Flaming Head,
7000,Cinders,"Megaera's Flaming Heads use this ability when they are within the Concealing Fog.

Flaming Heads ignite a random player, inflicting $139822s1 Fire damage and an additional $139822s2 Fire damage every $139822t2 sec for $139822d.  In addition, players afflicted with Cinders will cause Icy Ground to melt when they come into contact with it.

When Cinders is removed, a pool of flames is created at the target's location that persist for $139834d. The pool inflicts $139836s2 Fire damage every $139835t1 sec. to all players within $139836A1 yards.$[!5,6

In Heroic Difficulty, Cinders creates a pool of flames at the target's location every 3 seconds.$]"
7001,Ignite Flesh,"Megaera's Flaming Heads breathe flames on all players in front of her, inflicting $137730s1 Fire damage every second for $137729d. Players hit by Ignite Flesh burn for $137731s1 additional Fire damage every second for $137731d. This effect stacks."
7002,Frozen Head,
7004,Venomous Head,
7005,Arcane Head,
7006,"One Body, Many Heads","When one of Megaera's heads is destroyed, her body takes damage equal to the head's maximum health and two heads regrow in its place."
7008,Torrent of Ice,"Megaera's Frozen Heads use this ability when they are within the Concealing Fog.

Megaera's Frozen Heads channel a beam of ice at a random player, inflicting $139889s3 Frost damage at the point of contact every $139890t1 sec. for $139866d. The beam freezes the ground in its wake, creating Icy Ground for $139870d.

In addition, the Torrent of Ice beam will douse any pools of Cinders that it comes into contact with."
7009,Arctic Freeze,"Megaera's Frozen Heads breathe ice on all players in front of her, inflicting $139842s1 Frost damage every second for $139841d. Players hit by Arctic Freeze begin to freeze solid and are stunned for $139844d. if they reach $139843U stacks of Arctic Freeze."
7011,Acid Rain,"Megaera's Venomous Heads use this ability when they are within the Concealing Fog.

Megaera's Venomous Heads spit a globule of acid at a random player, inflicting $139850s1 Nature damage to all players upon impact. The damage of Acid Rain is reduced the farther players are from the point of impact.$[!5,6

In Heroic Difficulty, Megaera's Venomous Heads spit three globules of acid at a time.$]"
7012,Rot Armor,"Megaera's Venomous Heads breathe corrosive gas on all players in front of her, inflicting $139839s1 Nature damage every second for $139838d. Players hit by Rot Armor take $139840s1% increased damage from all sources for $139840d. This effect stacks."
7015,Diffusion,"Megaera's Arcane Heads breathe arcane energy on all players in front of her, inflicting $139992s1 Arcane damage every second for $139991d. Players hit by Diffusion redirect $139993s1% of all healing received to allies within $139994A1 yards that are not afflicted with Diffusion. This effect stacks."
7024,Battle Stance,
7025,Mortal Strike,"General Bjarngrim inflicts Physical damage to a player, leaving them wounded, reducing the effectiveness of any healing received by $16856s2% for $16856d."
7026,Slam,"General Bjarngrim slams a player, causing Physical damage."
7027,Pummel,"General Bjarngrim pummels a player, inflicting Physical damage and interrupting their spell casting for $12555d."
7028,Battle Aura,General Bjarngrim increases his attack speed and the attack speed of all allies within $41106A1 yards by $41106s1%.
7029,Berserker Stance,
7030,Whirlwind,General Bjarngrim attacks all players within $52028A1 yards in a whirlwind of steel that lasts $52027d and inflicts Physical damage on each spin.
7031,Cleave,"General Bjarngrim cleaves a player inflicting Physical damage to them and their nearest allies, affecting up to $15284x1 targets."
7032,Intercept,"General Bjarngrim charges a player, inflicting Physical damage and stunning them for $58747d."
7033,Berserker Aura,General Bjarngrim increases his damage done and the damage done by his allies within $41107A1 yards by $41107s1%.
7034,Defensive Stance,
7035,Ironform,"General Bjarngrim become immune to Bleed, Poison and Disease effects. In addition, he increases his armor by $52022s1% for $52022d."
7036,Knock Away,"General Bjarngrim knocks all players within $52029A1 yards away, inflicting Physical damage to them."
7037,Spell Reflection,General Bjarngrim reflects the next magic spell that he is hit with back at its caster.
7038,Defensive Aura,General Bjarngrim decreases his damage taken and the damage taken by his allies within $41105A1 yards by $41105s1%.
7039,Stormforged Lieutenant,
7040,Arc Weld,"Stormforged Lieutenants attempt to weld a player to the ground, causing them to suffer periodic Nature damage while moving for $59085d."
7041,Renew Steel,"Stormforged Lieutenants repair General Bjarngrim, healing him for $52774s1% of his health every $52774t1 seconds for $52774d."
7042,Heat,"Volkhan heats up a Molten Golem, healing it for $52387s1% of its maximum health."
7043,Temper,"Volkhan strikes his anvil, creating Molten Golems."
7044,Shattering Stomp,"When Volkhan reaches 25% health remaining he stomps the ground, inflicting Physical damage to all players and shatters all Brittle Golems."
7045,Molten Golem,
7046,Immolation Strike,"Molten Golems burn a player, inflicting Fire damage and then additional Fire damage over $52433d."
7047,Frost King Malakk,
7048,Kazra'jin,
7049,Sul the Sandcrawler,
7050,High Priestess Mar'li,
7051,The Spirit of Gara'jal,"The spirit of Gara'jal the Spiritbinder possesses a councillor, empowering their abilities and causing them to generate Dark Energy. The spirit remains in a councillor until they suffer damage equal to 25% of their maximum health.

Once the spirit is forced out, it rushes to inhabit a new councillor, resets Dark Energy to 0, and leaves behind the Lingering Presence effect."
7052,Lingering Presence,"When the Spirit of Gara'jal leaves a councillor, it leaves behind the Lingering Presence effect. This effect increases all damage done by $136467s1% and increases the rate that Dark Energy is generated by $136467s1% for the remainder of the fight. This effect stacks."
7053,Dark Power,Any councillor that reaches 100 Dark Energy will begin to cast Dark Power every second. Dark Power inflicts $136507s1 Shadow damage to all players and increases in damage by 10% with each cast.
7054,Frigid Assault,"Frost King Malakk imbues his weapons with ice, causing his melee attacks to inflict $136911s1 Frost damage. In addition, each melee attack applies the Frigid Assault effect. 

The Frigid Assault effect will stun the target for $136910d if it reaches $136903u stacks."
7055,Biting Cold,"Frost King Malakk shrouds a player in ice, inflicting $136917s1 Frost damage and afflicting them with Biting Cold. 

Biting Cold causes the player to inflict $136991s1 Frost damage to all allies within $136991A1 yards every $136992t1 sec for $136992d."
7056,Frostbite,"Frost King Malakk uses this ability while possessed by the spirit of Gara'jal.

Frost King Malakk shrouds a player in ice, inflicting $136990s1 Frost damage and afflicting them with $136922u stacks of Frostbite. 

Frostbite causes the player to inflict $136922s1 Frost damage per stack of Frostbite to all allies within $136991A1 yards every $136922t1 sec for $136922d.

Stacks of Frostbite are reduced by 2 for each player that stays within $136991A1 yards of the player afflicted with Frostbite. The number of stacks of Frostbite cannot be reduced below one.$[!4,6

In 25-player modes, only 1 stack of Frostbite is removed for each player within $136991A1 yards.$]$[!7

On Raid Finder difficulty, 4 stacks of Frostbite are removed for each player within $136991A1 yards.$]"
7057,Body Heat,"When a player is hit by an ally's Frostbite, they begin to lose Body Heat over $137084d. Once Body Heat expires, the player is Chilled to the Bone and no longer able to contribute to reducing the number of stacks of Frostbite an ally has for $137085d."
7058,Reckless Charge,"Kazra'jin rushes towards a random player's location, inflicting $137133s1 Nature damage to all players in a line to his target and knocking all players within $137122A1 yards back when he lands."
7059,Overload,"Kazra'jin uses this ability after performing a Reckless Charge while possessed by the spirit of Gara'jal.

Kazra'jin becomes electrified, stunning himself for $137149d and reflecting $137149s1% of all damage taken as Nature damage."
7060,Discharge,"Kazra'jin uses this ability after performing a Reckless Charge while possessed by the spirit of Gara'jal.

Kazra'jin becomes electrified, stunning himself for $137166d and reflecting $137166s1% of all damage taken as Nature damage to all players."
7061,Sand Bolt,"Sul the Sandcrawler hurls a bolt of sand at a random player's location, inflicting $136190s1 Nature damage to all players within $136190A1 yards of the targeted location."
7062,Quicksand,"Sul the Sandcrawler summons a pool of Quicksand at a random player's location, afflicting them with Entrapped.

Quicksand inflicts $136860s1 Nature damage every second to all players within 7 yards and causes them to become Ensnared."
7063,Ensnared,"Quicksand pools cause players to gain a stack of Ensnared every second they are inside of it. Ensnared reduces movement speed by $136878s1% per stack.

If Ensnared reaches $136878u stacks, players become Entrapped."
7064,Entrapped,Players at the location of a pool of Quicksand being created or that reach $136878u stacks of Ensnared are rooted in place for $136857d.
7065,Sandstorm,"Sul the Sandcrawler uses this ability while possessed by the spirit of Gara'jal.

Sul the Sandcrawler summons a sandstorm that inflicts $136899s1 Nature damage to all players every second for $136894d, and animates all existing pools of Quicksand, transforming them into Living Sand."
7066,Living Sand,"Living Sand creatures rise from pools of Quicksand whenever a Sandstorm occurs, and remain active until they are killed.

When a Living Sand dies, it creates a new pool of Quicksand at their location."
7067,Fortified,Living Sand that are still active when a sandstorm occurs become fortified. This effect heals the Living Sand to full and increases all damage done by $136864s1% until they are killed. This effect stacks.
7068,Treacherous Ground,"Quicksand pools that overlap with one another will combine into a single pool of proportionately larger size.

Living Sand risen from Quicksand pools that have combined into larger pools have their health and damage increased by $137614s1% for each pool that has combined."
7069,Wrath of the Loa,"High Priestess Mar'li strikes a player with the Wrath of the Loa, inflicting $137344s1 Holy damage."
7070,Blessed Loa Spirit,"High Priestess Mar'li summons a Blessed Loa Spirit at her location. The spirit will move towards Mar'li's ally with the lowest remaining health and heal them for $137303s1% of their maximum health if the spirit is not killed before reaching its target.

If the spirit is still alive after $137287d. it will instantly jump to its target and heal them for $137303s1% of their maximum health."
7071,Wrath of the Loa,"High Priestess Mar'li uses this ability while possessed by the spirit of Gara'jal.

High Priestess Mar'li strikes a player with the Wrath of the Loa, inflicting $137347s1 Shadow damage."
7072,Shadowed Loa Spirit,"High Priestess Mar'li uses this ability while possessed by the spirit of Gara'jal.

High Priestess Mar'li summons a Shadowed Loa Spirit at her location. The spirit fixates on a random player and pursues them for $137395d, instantly killing them if the spirit comes within $137390A1 yards of the player.

If the spirit is still alive after $137395d it will instantly jump to its target and kill them."
7073,Twisted Fate,"High Priestess Mar'li uses this ability while possessed by the spirit of Gara'jal.

High Priestess Mar'li rips the souls from two random players and links them together. Each soul pursues the soul it is linked to and inflicts $137972s1 Shadow damage to all players every $137975t1 sec. The damage of Twisted Fate is reduced the farther each soul is from the other.

When a soul dies, severing the link between the two, the remaining soul begins to inflict $137972s1 Shadow damage every $137986t2 sec."
7074,Soul Fragment,"Every other time the Spirit of Gara'jal is forced out of a councillor, he leaves behind a Soul Fragment.

Soul Fragments possess a random player, inflicting $137641s2 Shadow damage every $137641t2 sec. until the Soul Fragment is passed to another player. In addition, each time the Soul Fragment deals damage, it applies Shadowed Soul to that player.$[!6

In 25-Player Heroic Difficulty, a Soul Fragment is created every time that the Spirit of Gara'jal is forced out of a councillor.$]"
7075,Cool Down,"Molten Golems cool over time, losing 2% of their health per second. As they cool, Molten Golems slow down, reducing their movement speed."
7076,Cool Down,"Molten Golems cool over time, losing 1% of their health per second. As they cool, Molten Golems slow down, reducing their movement speed."
7077,Shatter,"When a Molten Golem reaches 1% health remaining it becomes cooled, rendering it inactive. When Volkhan uses Shattering Stomp, all Cooled Golems will Shatter, inflicting Physical damage to all players within $52429A1 yards."
7078,Triple Puncture,A brutal tri-horned strike that inflicts $136767s1 Physical damage and increases the damage taken from Triple Puncture by $136767s2% for $136767d. This effect stacks.
7079,Double Swipe,"Horridon swings his massive head and tail to and fro, inflicting $136740s1 Physical damage to players in a $136740a1-yard cone in front of and behind himself. This effect happens twice."
7080,Charge,"Horridon charges at a random player, performing a Double Swipe once he reaches their location."
7081,The Farraki,War-God Jalak will first call upon the aid of the Farraki tribe.
7082,The Gurubashi,War-God Jalak will call upon the Gurubashi tribe to enter the arena second.
7083,The Drakkari,War-God Jalak will call upon the Drakkari tribe to enter the arena third.
7084,The Amani,War-God Jalak will call upon the Amani tribe to enter the arena last.
7085,The Zandalari,War-God Jalak and his faithful Zandalari Dinomancers will come to the aid of Horridon during the battle.
7086,Zandalari Dinomancer,Zandalari Dinomancers will jump down into the arena periodically.
7087,War-God Jalak,"After all four tribes have been called, or when Horridon has been damaged below 30% health, War-God Jalak himself will enter the arena."
7088,Bestial Cry,"War-God Jalak unleashes a savage cry, inflicting $136817s1 Physical damage to all players and increasing damage dealt by War-God Jalak by $136817s2%. This effect stacks."
