ID,EffectDescription_lang,AuraDescription_lang
441,Inflicts $s@effectindex Shadowflame damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.
442,Inflicts $s@effectindex Shadowflame damage to all enemies in front of the caster.,
443,Inflicts $s@effectindex Shadowflame damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.
444,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Shadow damage.,Absorbs $s@effectindex Shadow damage.
445,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Physical damage.,Absorbs $s@effectindex Physical damage.
446,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex of all damage.,Absorbs $s@effectindex damage.
447,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Nature damage.,Absorbs $s@effectindex Nature damage.
448,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Holy damage.,Absorbs $s@effectindex Holy damage.
449,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Frost damage.,Absorbs $s@effectindex Frost damage.
450,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Fire damage.,Absorbs $s@effectindex Fire damage.
451,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Arcane damage.,Absorbs $s@effectindex Arcane damage.
452,Increases the caster's attack speed by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
460,Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health.,
461,Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health.,
462,Transfers health from the caster to the target every $t@effectindex sec.,Transfers health every $t@effectindex sec.
464,Causes the caster to inflict $s@effectindex% increased Fire damage.,Fire damage done increased by $s@effectindex%.
465,Causes the caster to inflict $s@effectindex% increased Holy damage.,Holy damage done increased by $s@effectindex%.
466,Causes the caster to inflict $s@effectindex% increased Nature damage.,Nature damage done increased by $s@effectindex%.
467,Causes the caster to inflict $s@effectindex% increased Frost damage.,Frost damage done increased by $s@effectindex%.
468,Causes the caster to inflict $s@effectindex% increased Shadow damage.,Shadow damage done increased by $s@effectindex%.
469,Causes the caster to inflict $s@effectindex% increased Arcane damage.,Arcane damage done increased by $s@effectindex%.
470,Reduces the healing received of an enemy by $s@effectindex% for $d.,Healing received reduced by $s@effectindex%.
471,Causes an enemy to inflict $s@effectindex% decreased Arcane damage.,Arcane damage done decreased by $s@effectindex%.
472,Causes an enemy to inflict $s@effectindex% decreased Shadow damage.,Shadow damage done decreased by $s@effectindex%.
473,Causes an enemy to inflict $s@effectindex% decreased Frost damage.,Frost damage done decreased by $s@effectindex%.
474,Causes an enemy to inflict $s@effectindex% decreased Nature damage.,Nature damage done decreased by $s@effectindex%.
475,Causes an enemy to inflict $s@effectindex% decreased Fire damage.,Fire damage done decreased by $s@effectindex%.
476,Causes an enemy to inflict $s@effectindex% decreased Holy damage.,Holy damage done decreased by $s@effectindex%.
477,Causes an enemy to inflict $s@effectindex% decreased Physical damage.,Physical damage done decreased by $s@effectindex%.
478,Causes the caster to inflict $s@effectindex% increased Physical damage.,Physical damage done increased by $s@effectindex%.
479,"Stuns the caster, rendering it unable to move or attack for $d.",Stunned.
480,Reduces the healing received of all enemies in a cone in front of the caster by $s@effectindex% for $d.,Healing received reduced by $s@effectindex%.
481,Reduces the movement speed of the target by $s@effectindex% for $d.,Movement speed reduced by $s@effectindex%.
482,Chance to dodge attacks increased by $s@effectindex% for $d.,Dodge chance increased by $s@effectindex%.
483,Chance to resist harmful spells increased by $s@effectindex% for $d.,Chance to resist harmful spells increased by $s@effectindex%.
484,Causes all enemies within $A@effectindex yards of the impact to inflict $s@effectindex% reduced damage for $d.,Damage done reduced by $s@effectindex%.
485,Causes all enemies within $A@effectindex yards to inflict $s@effectindex% reduced damage for $d.,Damage done reduced by $s@effectindex%.
486,Increases the max health of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.
487,Increases the max health of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.
488,Increases the max health of all allies in front of the caster by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.
489,Increases the max health of the target by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.
490,Increases the attack speed of the target by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
491,Increases the attack speed of all allies in front of the caster by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
492,Increases the attack speed of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
493,Increases the attack speed of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
494,Increases the caster's attack speed by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.
495,Reduces attack speed by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.
498,Reduces attack speed by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.
499,Decreases the attack speed of all enemies in front of the caster by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.
500,Decreases the attack speed of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.
501,Decreases the attack speed of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.
502,Decreases the casting speed of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Casting speed decreased by $s@effectindex%.
503,Decreases the casting speed of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Casting speed decreased by $s@effectindex%.
504,Decreases the casting speed of all enemies in front of the caster by $s@effectindex% for $d.,Casting speed decreased by $s@effectindex%.
505,Reduces casting speed by $s@effectindex% for $d.,Casting speed reduced by $s@effectindex%.
506,Reduces casting speed by $s@effectindex% for $d.,Casting speed reduced by $s@effectindex%.
507,Increases the casting speed of all allies in front of the caster by $s@effectindex% for $d.,Casting speed increased by $s@effectindex%.
508,Increases the casting speed of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Casting speed increased by $s@effectindex%.
509,Increases the casting speed of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Casting speed increased by $s@effectindex%.
510,Increases the casting speed of the target by $s@effectindex% for $d.,Casting speed increased by $s@effectindex%.
511,Increases the caster's casting speed by $s@effectindex% for $d.,Casting speed increased by $s@effectindex%.
512,Increases Arcane damage taken by $s@effectindex% for $d.,Arcane damage taken increased by $s@effectindex%.
513,Causes all enemies within $A@effectindex yards to miss $s@effectindex% of attacks for $d.,Chance to hit reduced by $s@effectindex%.
514,Causes all enemies within $A@effectindex yards to miss $s@effectindex% of spells for $d.,Chance to hit with spells reduced by $s@effectindex%.
515,Heals an ally for $s@effectindex% of their maximum health every $T@effectindex sec for $D.,Healing for $s@effectindex% of maximum health every $T@effectindex sec.
516,Causes the caster to take $s@effectindex% reduced Physical damage for $d.,Physical damage taken reduced by $s@effectindex%.
517,"Stuns all enemies in front of the caster, rendering them unable to move or attack for $d.",Stunned.
518,"Stuns an enemy, rendering it unable to move or attack for $d.",Stunned.
519,"Stuns the caster, rendering it unable to move or attack for $d.",Stunned.
520,"Stuns all enemies within $A@effectindex yards, rendering them unable to move or attack for $d.",Stunned.
521,"Stuns all enemies within $A@effectindex yards of the impact, rendering them unable to move or attack for $d.",Stunned.
522,Inflicts $s@effectindex Flamestrike damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.
523,Inflicts $s@effectindex Flamestrike damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.
524,Inflicts $s@effectindex Flamestrike damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.
525,Inflicts $s@effectindex Flamestrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.
526,Inflicts $s@effectindex Flamestrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.
527,Inflicts $s@effectindex Shadowstrike damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.
528,Inflicts $s@effectindex Shadowstrike damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.
529,Inflicts $s@effectindex Shadowstrike damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.
530,Inflicts $s@effectindex Shadowstrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.
531,Inflicts $s@effectindex Shadowstrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.
532,Immobilizes an enemy for up to $d.,Immobilized.
533,Immobilizes all enemies within $A@effectindex yards of the caster for $d.,Immobilized.
534,Immobilizes all enemies within $A@effectindex yards of the impact for $d.,Immobilized.
535,Immobilizes all enemies in front of the caster for $d.,Immobilized.
536,Immobilizes an enemy for up to $d.,Immobilized.
537,Increases the movement speed of the caster by $s@effectindex% for $d.,Movement speed increased by $s@effectindex%.
538,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
539,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
540,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
541,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
542,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
543,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
544,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.
545,Inflicts $s@effectindex Cosmic damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.
546,Inflicts $s@effectindex Cosmic damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.
547,Inflicts $s@effectindex Cosmic damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.
548,Inflicts $s@effectindex Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.
549,Inflicts $s@effectindex Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.
550,Pacifies an enemy preventing attacks for $d.,Unable to attack.
551,"Pacifies all enemies within $A@effectindex yards, preventing them from attacking for $d.",Unable to attack.
552,Silences and pacifies an enemy preventing attacking and spellcasting for $d.,Unable to attack or cast spells.
553,"Silences and pacifies all enemies within $A@effectindex yards, preventing them from attacking or spellcasting for $d.",Unable to attack or cast spells.
554,Silences an enemy preventing spellcasting for $d.,Unable to cast spells.
555,Pacifies an enemy preventing attacks for $d.,Unable to attack.
556,Silences and pacifies an enemy preventing attacking and spellcasting for $d.,Unable to attack or cast spells.
557,Inflicts $s@effectindex Shadowflame damage to an enemy.,
558,Inflicts Shadowflame damage to all enemies in a cone in front of the caster.,
559,Inflicts Shadowflame damage to enemies within $A@effectindex yards of the impact.,
560,Inflicts Shadowflame damage to all enemies in front of the caster.,
561,Inflicts Shadowflame damage to all enemies within $A@effectindex yards.,
562,Inflicts Shadowflame damage to all enemies within $A@effectindex yards of the impact.,
563,Inflicts Shadowflame damage to an enemy.,
564,Inflicts $s@effectindex% of maximum health as Shadowflame damage to an enemy every $t@effectindex sec for $d.,$s@effectindex% of maximum health inflicted as Shadowflame damage inflicted every $t@effectindex sec.
565,Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.
566,Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.
567,Causes an enemy to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.
568,Causes an enemy to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.
569,Causes an enemy to inflict $s@effectindex% decreased Shadowflame damage.,Shadowflame damage done decreased by $s@effectindex%.
570,Causes the caster to inflict $s@effectindex% increased Shadowflame damage.,Shadowflame damage done increased by $s@effectindex%.
571,Inflicts Shadowflame damage to all enemies in front of the caster every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.
572,Inflicts Shadowflame damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.
573,Causes all enemies within $A@effectindex yards of the impact to take Shadowflame damage every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.
574,Inflicts Shadowflame damage to an enemy every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.
575,Inflicts Shadowflame damage to an enemy every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.
576,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Shadowflame damage.,Absorbs $s@effectindex Shadowflame damage.
577,Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Shadowflame damage.,Absorbs $s@effectindex Shadowflame damage.
578,Inflicts Frost damage to enemies within $A@effectindex yards of the impact.,
579,Inflicts $s@effectindex Cosmic damage to all enemies in front of the caster.,
580,Inflicts $s@effectindex Cosmic damage to enemies within $A@effectindex yards.,
581,Inflicts $s@effectindex Cosmic damage to enemies within $A@effectindex yards of the impact.,
582,Inflicts $s@effectindex Cosmic damage to an enemy.,
583,Inflicts $s@effectindex Cosmic damage to an enemy.,
584,Inflicts Cosmic damage to all enemies in a cone in front of the caster.,
585,Inflicts Cosmic damage to enemies within $A@effectindex yards of the impact.,
586,Inflicts Cosmic damage to all enemies in front of the caster.,
587,Inflicts Cosmic damage to all enemies within $A@effectindex yards.,
588,Inflicts Cosmic damage to all enemies within $A@effectindex yards of the impact.,
589,Inflicts Cosmic damage to an enemy.,
590,Inflicts $s@effectindex% of maximum health as Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex% of maximum health inflicted as Cosmic damage inflicted every $t@effectindex sec.
591,Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.
592,Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.
593,Causes an enemy to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.
594,Causes an enemy to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.
595,Causes an enemy to inflict $s@effectindex% decreased Cosmic damage.,Cosmic damage done decreased by $s@effectindex%.
596,Causes the caster to inflict $s@effectindex% increased Cosmic damage.,Cosmic damage done increased by $s@effectindex%.
597,Inflicts Cosmic damage to all enemies in front of the caster every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.
598,Inflicts Cosmic damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.
599,Causes all enemies within $A@effectindex yards of the impact to take Cosmic damage every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.
600,Inflicts Cosmic damage to an enemy every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.
601,Inflicts Cosmic damage to an enemy every $t@effectindex sec for $d.,Cosmic damage inflicted every $t@effectindex sec.
602,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Cosmic damage.,Absorbs $s@effectindex Cosmic damage.
603,Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Cosmic damage.,Absorbs $s@effectindex Cosmic damage.
604,Inflicts Shadow damage to enemies within $A@effectindex yards of the impact.,
605,Inflicts Shadow damage to an enemy every $t@effectindex sec for $d.,Shadow damage inflicted every $t@effectindex sec.
