ID,Name_lang,Description_lang,ToastDescription_lang
395,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's ninth row of Soulbind traits.,Heirmir Soulbind Row Unlocked
396,Soulbind Upgrade: Emeni,You may access Emeni's ninth row of Soulbind traits.,Emeni Soulbind Row Unlocked
397,Elite World Quest Anima Rewards,The amount of anima received from Elite World Quest Rewards is increased.,Elite World Quest Anima Increased
398,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
399,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's ninth row of Soulbind traits.,Marileth Soulbind Row Unlocked
400,Chains of Domination: The Last Sigil,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
401,,,Flying Mount Acquired
402,Soulbind Upgrade: Emeni,You may access Emeni's tenth row of Soulbind traits.,Emeni Soulbind Row Unlocked
403,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
404,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's tenth row of Soulbind traits.,Marileth Soulbind Row Unlocked
405,Chains of Domination: An Army of Bone and Steel,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
406,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's tenth row of Soulbind traits.,Heirmir Soulbind Row Unlocked
407,,,A Tiny Vial of Slime Acquired
408,Soulbind Upgrade: Emeni,You may access Emeni's eleventh row of Soulbind traits.,Emeni Soulbind Row Unlocked
409,Chains of Domination: The Unseen Guests,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
410,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's eleventh row of Soulbind traits.,Marileth Soulbind Row Unlocked
411,Chains of Domination: The Power of Night,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
412,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
413,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's eleventh row of Soulbind traits.,Heirmir Soulbind Row Unlocked
414,Soulbind Upgrade: Emeni,You may access Emeni's twelfth row of Soulbind traits.,Emeni Soulbind Row Unlocked
415,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's twelfth row of Soulbind traits.,Marileth Soulbind Row Unlocked
416,Chains of Domination: A New Path,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
417,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's twelfth row of Soulbind traits.,Heirmir Soulbind Row Unlocked
418,Oribos Quest Anima Rewards,The amount of anima received from weekly dungeon and PvP quests in Oribos is increased.,Weekly Dungeon and PvP Quest Anima Rewards Increased
419,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
420,Chains of Domination: What Lies Ahead,The final chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
421,,"Your connection with the Necrolord grows, increasing Movement Speed by 1%.",Movement Speed Increased
422,Soulbind Upgrade: Emeni,Emeni's first row of conduits is enhanced.,Emeni Soulbind Row Unlocked
423,Unrated PvP Item Level,"You and the Necrolords continue to impress Cartel Zo, allowing you to further upgrade your Season 2 Unrated PvP equipment to Rank 7.",Unrated PvP Max Rank Increase Available
424,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's first row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
425,Soulbind Upgrade: Marileth,Plague Deviser Marileth's first row of conduits is enhanced.,Marileth Soulbind Row Unlocked
426,Soulbind Upgrade: Emeni,Emeni's second row of conduits is enhanced.,Emeni Soulbind Row Unlocked
427,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
428,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's second row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
429,Soulbind Upgrade: Marileth,Plague Deviser Marileth's second row of conduits is enhanced.,Marileth Soulbind Row Unlocked
430,Soulbind Upgrade: Emeni,Emeni's third row of conduits is enhanced.,Emeni Soulbind Row Unlocked
431,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
432,Soulbind Upgrade: Marileth,Plague Deviser Marileth's third row of conduits is enhanced.,Marileth Soulbind Row Unlocked
433,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's third row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
434,Soulbind Upgrade: Emeni,Emeni's fourth row of conduits is enhanced.,Emeni Soulbind Row Unlocked
435,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's fourth row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
436,,You may speak with Merick Feldscar to recruit this adventurer.,New Adventurer Available
437,Soulbind Upgrade: Marileth,Plague Deviser Marileth's fourth row of conduits is enhanced.,Marileth Soulbind Row Unlocked
438,Soulbind Upgrade: Marileth,Plague Deviser Marileth's fifth row of conduits is enhanced.,Marileth Soulbind Row Unlocked
439,,"Your connection with the Necrolords grows, increasing Movement Speed by 1%.",Movement Speed Increased
440,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's fifth row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
441,Soulbind Upgrade: Emeni,Emeni's fifth row of conduits is enhanced.,Emeni Soulbind Row Unlocked
442,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
443,Soulbind Upgrade: Heirmir,Bonesmith Heirmir's sixth row of conduits is enhanced.,Heirmir Soulbind Row Unlocked
444,Soulbind Upgrade: Marileth,Plague Deviser Marileth's sixth row of conduits is enhanced.,Marileth Soulbind Row Unlocked
445,Soulbind Upgrade: Emeni,Emeni's sixth row of conduits is enhanced.,Emeni Soulbind Row Unlocked
446,,,Title Unlocked
447,Chains of Domination: An Army of Bone and Steel,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
448,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
449,Soulbind Upgrade: Nadjia,You may access Nadjia's tenth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
450,,,Flying Mount Acquired
451,Soulbind Upgrade: Theotar,You may access Theotar's tenth row of Soulbind traits.,Theotar Soulbind Row Unlocked
452,Chains of Domination: The Last Sigil,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
453,Soulbind Upgrade: Nadjia,You may access Nadjia's ninth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
454,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
455,Elite World Quest Anima Rewards,The amount of anima received from Elite World Quest Rewards is increased.,Elite World Quest Anima Increased
456,Soulbind Upgrade: Theotar,You may access Theotar's ninth row of Soulbind traits.,Theotar Soulbind Row Unlocked
457,Soulbind Upgrade: Draven,You may access Draven's ninth row of Soulbind traits.,Draven Soulbind Row Unlocked
458,Chains of Domination: A New Path,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
459,Soulbind Upgrade: Nadjia,You may access Nadjia's twelfth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
460,Soulbind Upgrade: Theotar,You may access Theotar's twelfth row of Soulbind traits.,Theotar Soulbind Row Unlocked
461,Soulbind Upgrade: Draven,You may access Draven's eleventh row of Soulbind traits.,Draven Soulbind Row Unlocked
462,Chains of Domination: The Power of Night,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
463,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
464,Soulbind Upgrade: Nadjia,You may access Nadjia's eleventh row of Soulbind traits.,Nadjia Soulbind Row Unlocked
465,Chains of Domination: The Unseen Guests,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
466,Soulbind Upgrade: Theotar,You may access Theotar's eleventh row of Soulbind traits.,Theotar Soulbind Row Unlocked
467,Soulbind Upgrade: Draven,You may access Draven's tenth row of Soulbind traits.,Draven Soulbind Row Unlocked
468,,,A Tiny Sinstone Acquired
469,Soulbind Upgrade: Theotar,Theotar's second row of conduits is enhanced.,Theotar Soulbind Row Unlocked
470,Soulbind Upgrade: Nadjia,Nadjia's first row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
471,Soulbind Upgrade: Draven,Draven's first row of conduits is enhanced.,Draven Soulbind Row Unlocked
472,Unrated PvP Item Level,"You and the Venthyr continue to impress Cartel Zo, allowing you to further upgrade your Season 2 Unrated PvP equipment to Rank 7.",Unrated PvP Max Rank Increase Available
473,Soulbind Upgrade: Theotar,Theotar's first row of conduits is enhanced.,Theotar Soulbind Row Unlocked
474,,"Your connection with the Venthyr grows, increasing Movement Speed by 1%.",Movement Speed Increased
475,Chains of Domination: What Lies Ahead,The final chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
476,Oribos Quest Anima Rewards,The amount of anima received from weekly dungeon and PvP quests in Oribos is increased.,Weekly Dungeon and PvP Quest Anima Rewards Increased
477,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
478,Soulbind Upgrade: Draven,You may access Draven's twelfth row of Soulbind traits.,Draven Soulbind Row Unlocked
479,Soulbind Upgrade: Draven,Draven's fourth row of conduits is enhanced.,Draven Soulbind Row Unlocked
480,,You may speak with Tactician Sakaa to recruit this adventurer.,New Adventurer Available
481,Soulbind Upgrade: Theotar,Theotar's fourth row of conduits is enhanced.,Theotar Soulbind Row Unlocked
482,Soulbind Upgrade: Draven,Draven's third row of conduits is enhanced.,Draven Soulbind Row Unlocked
483,Soulbind Upgrade: Nadjia,Nadjia's third row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
484,Soulbind Upgrade: Theotar,Theotar's third row of conduits is enhanced.,Theotar Soulbind Row Unlocked
485,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
486,Soulbind Upgrade: Nadjia,Nadjia's second row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
487,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
488,Soulbind Upgrade: Draven,Draven's second row of conduits is enhanced.,Draven Soulbind Row Unlocked
489,,,Title Unlocked
490,Soulbind Upgrade: Theotar,Theotar's sixth row of conduits is enhanced.,Theotar Soulbind Row Unlocked
491,Soulbind Upgrade: Nadjia,Nadjia's sixth row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
492,Soulbind Upgrade: Draven,Draven's sixth row of conduits is enhanced.,Draven Soulbind Row Unlocked
493,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
494,Soulbind Upgrade: Theotar,Theotar's fifth row of conduits is enhanced.,Theotar Soulbind Row Unlocked
495,Soulbind Upgrade: Draven,Draven's fifth row of conduits is enhanced.,Draven Soulbind Row Unlocked
496,,"Your connection with the Venthyr grows, increasing Movement Speed by 1%.",Movement Speed Increased
497,Soulbind Upgrade: Nadjia,Nadjia's fifth row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
498,Soulbind Upgrade: Nadjia,Nadjia's fourth row of conduits is enhanced.,Nadjia Soulbind Row Unlocked
499,,,A Tiny Pair of Wings Acquired
500,Chains of Domination: An Army of Bone and Steel,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
501,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
502,Soulbind Upgrade: Kleia,You may access Kleia's tenth row of Soulbind traits.,Kleia Soulbind Row Unlocked
503,,,Flying Mount Acquired
504,Chains of Domination: The Last Sigil,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
505,Soulbind Upgrade: Pelagos,You may access Pelagos's ninth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
506,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
507,Soulbind Upgrade: Kleia,You may access Kleia's ninth row of Soulbind traits.,Kleia Soulbind Row Unlocked
508,Elite World Quest Anima Rewards,The amount of anima received from Elite World Quest Rewards is increased.,Elite World Quest Anima Increased
509,Chains of Domination: A New Path,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
510,Soulbind Upgrade: Pelagos,You may access Pelagos's twelfth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
511,Soulbind Upgrade: Kleia,You may access Kleia's twelfth row of Soulbind traits.,Kleia Soulbind Row Unlocked
512,Soulbind Upgrade: Mikanikos,You may access Mikanikos's eleventh row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
513,Chains of Domination: The Power of Night,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
514,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
515,Soulbind Upgrade: Pelagos,You may access Pelagos's eleventh row of Soulbind traits.,Pelagos Soulbind Row Unlocked
516,Chains of Domination: The Unseen Guests,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
517,Soulbind Upgrade: Kleia,You may access Kleia's eleventh row of Soulbind traits.,Kleia Soulbind Row Unlocked
518,Soulbind Upgrade: Mikanikos,You may access Mikanikos's tenth row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
519,Soulbind Upgrade: Kleia,Kleia's second row of conduits is enhanced.,Kleia Soulbind Row Unlocked
520,Soulbind Upgrade: Pelagos,Pelagos's first row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
521,Soulbind Upgrade: Mikanikos,Mikanikos's first row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
522,Unrated PvP Item Level,"You and the Kyrian continue to impress Cartel Zo, allowing you to further upgrade your Season 2 Unrated PvP equipment to Rank 7.",Unrated PvP Max Rank Increase Available
523,Soulbind Upgrade: Kleia,Kleia's first row of conduits is enhanced.,Kleia Soulbind Row Unlocked
524,,"Your connection with the Kyrian grows, increasing Movement Speed by 1%.",Movement Speed Increased
525,Chains of Domination: What Lies Ahead,The final chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
526,Oribos Quest Anima Rewards,The amount of anima received from weekly dungeon and PvP quests in Oribos is increased.,Weekly Dungeon and PvP Quest Anima Rewards Increased
527,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
528,Soulbind Upgrade: Mikanikos,You may access Mikanikos's twelfth row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
529,,You may speak with Koros to recruit this adventurer.,New Adventurer Available
530,Soulbind Upgrade: Kleia,Kleia's fourth row of conduits is enhanced.,Kleia Soulbind Row Unlocked
531,Soulbind Upgrade: Mikanikos,Mikanikos's third row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
532,Soulbind Upgrade: Pelagos,Pelagos's third row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
533,Soulbind Upgrade: Kleia,Kleia's third row of conduits is enhanced.,Kleia Soulbind Row Unlocked
534,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
535,Soulbind Upgrade: Pelagos,Pelagos's second row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
536,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
537,Soulbind Upgrade: Mikanikos,Mikanikos's second row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
538,Soulbind Upgrade: Mikanikos,Mikanikos's sixth row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
539,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
540,Soulbind Upgrade: Kleia,Kleia's fifth row of conduits is enhanced.,Kleia Soulbind Row Unlocked
541,Soulbind Upgrade: Mikanikos,Mikanikos's fifth row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
542,,"Your connection with the Kyrian grows, increasing Movement Speed by 1%.",Movement Speed Increased
543,Soulbind Upgrade: Pelagos,Pelagos's fifth row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
544,Soulbind Upgrade: Pelagos,Pelagos's fourth row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
545,Soulbind Upgrade: Mikanikos,Mikanikos's fourth row of conduits is enhanced.,Mikanikos Soulbind Row Unlocked
546,,,Title Unlocked
547,Soulbind Upgrade: Kleia,Kleia's sixth row of conduits is enhanced.,Kleia Soulbind Row Unlocked
548,Soulbind Upgrade: Pelagos,Pelagos's sixth row of conduits is enhanced.,Pelagos Soulbind Row Unlocked
549,Unrated PvP Item Level,"The Kyrian will make inroads with Cartel Zo of Oribos, allowing you to upgrade Season 2 Unrated PvP equipment to Rank 5.",Unrated PvP Max Rank Increase Available
550,Unrated PvP Item Level,"The Necrolords will make inroads with Cartel Zo of Oribos, allowing you to upgrade Unrated PvP equipment to Rank 5.",Unrated PvP Max Rank Increase Available
551,Unrated PvP Item Level,"The Night Fae will make inroads with Cartel Zo of Oribos, allowing you to upgrade Season 2 Unrated PvP equipment to Rank 5.",Unrated PvP Max Rank Increase Available
552,Unrated PvP Item Level,"The Venthyr will make inroads with Cartel Zo of Oribos, allowing you to upgrade Season 2 Unrated PvP equipment to Rank 5.",Unrated PvP Max Rank Increase Available
553,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
554,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
555,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
556,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
557,,You will acquire this Ensemble.,New Appearances Acquired
558,,You will acquire this Ensemble.,New Appearances Acquired
559,,You will acquire this Ensemble.,New Appearances Acquired
560,,You will acquire this Ensemble.,New Appearances Acquired
561,,,New Appearances Available
562,,,New Appearances Available
563,,,New Appearances Available
564,,,New Appearances Available
565,,,New Recovered Memory Acquired
566,,,New Recovered Memory Acquired
567,,,New Recovered Memory Acquired
568,,,New Recovered Memory Acquired
569,,,New Recovered Memory Acquired
570,,,New Recovered Memory Acquired
571,,,New Recovered Memory Acquired
572,,,New Recovered Memory Acquired
573,,,New Recovered Memory Acquired
574,,,New Recovered Memory Acquired
575,,,New Recovered Memory Acquired
576,,,New Recovered Memory Acquired
577,,,New Recovered Memory Acquired
578,,,New Recovered Memory Acquired
579,,,New Recovered Memory Acquired
580,,,New Recovered Memory Acquired
581,,,New Recovered Memory Acquired
582,,,New Recovered Memory Acquired
583,,,New Recovered Memory Acquired
584,,,New Recovered Memory Acquired
585,,,New Recovered Memory Acquired
586,,,New Recovered Memory Acquired
587,,,New Recovered Memory Acquired
588,,,New Recovered Memory Acquired
589,,,New Recovered Memory Acquired
590,,,New Recovered Memory Acquired
591,,,New Recovered Memory Acquired
592,,,New Recovered Memory Acquired
593,,,New Recovered Memory Acquired
594,,,New Recovered Memory Acquired
595,,,New Recovered Memory Acquired
596,,,New Recovered Memory Acquired
597,,,New Recovered Memory Acquired
598,,,New Recovered Memory Acquired
599,,,New Recovered Memory Acquired
600,,,New Recovered Memory Acquired
601,,,New Recovered Memory Acquired
602,,,New Recovered Memory Acquired
603,,,New Recovered Memory Acquired
604,,,New Recovered Memory Acquired
605,,,New Recovered Memory Acquired
606,,,New Recovered Memory Acquired
607,,,New Recovered Memory Acquired
608,,,New Recovered Memory Acquired
609,,,New Recovered Memory Acquired
610,,,New Recovered Memory Acquired
611,,,New Recovered Memory Acquired
612,,,New Recovered Memory Acquired
613,,,New Appearances Available
614,,,New Appearances Available
615,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
616,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
617,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
618,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
619,Soulbind Upgrade: Mikanikos,You may access Mikanikos's ninth row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
620,Soulbind Upgrade: Pelagos,You may access Pelagos's tenth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
621,Among the Maruuk Centaur,You have joined forces with the Maruuk Centaurs on the Ohn'ahran Plains.,Maruuk Centaur Renown Unlocked
622,Centaur Hunting Trophies,You may find Centaur Hunting Trophies from unique beasts and treasures to increase your standing with the Maruuk Centaurs.,Maruuk Reputation Treasures Unlocked
623,Centaur Furnishings,"You may acquire the toys Maruuk Cooking Pot, Very Comfortable Pelt, and Comfortable Pile of Pelts from Quartermaster Huseng in Maruukai.",Centaur Toys Unlocked
624,Call of the Plains,"The Aylaag Nomads will welcome you into their camp, wherever it happens to be.",Centaur Nomads Unlocked
625,Call of the Hunt II,"You may recruit a companion while hunting alongside the Maruuk Centaurs, chosen at Trainer Frodrum in Maruukai.",Hunt Companion Unlocked
626,The Dragonscale Expedition,You have begun your adventures with the Dragonscale Expedition!,Dragonscale Expedition Renown Unlocked
627,Expedition Scout Packs,You may now find Expedition Scout packs around the Dragon Isles. Speak with Pathfinder Jeb in the Dragonscale Basecamp for more details.,Expedition Scout Pack Treasures Unlocked
628,Expedition Climbers,You may unlock the challenge of rock climbing in the Dragon Isles. Doc Nanners at the Dragonscale Basecamp will help you get started. (Requires World Quests Unlocked),Climbing World Quests Unlocked
629,Ancient Waygates II,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to a third Ancient Waygate.,Additional Waygate Node Unlocked
630,Simple Expedition Tools,"You may acquire the cosmetic weapon appearances Excavator's Mallet, Excavator's Punch, Excavator's Chisel, and Excavator's Trowel from Rae'ana at the Dragonscale Basecamp.",Expedition Tool Appearances Unlocked
631,Expedition Equipment I,You may acquire a pair of useful combat Expedition gloves (item level 376) from Pathfinder Jeb at the Dragonscale Basecamp.,Glove Armor Unlocked
632,Magical Treasure Chests,You may now find magical treasure chests in the caves and ruins of the Dragon Isles. Speak with Rae'ana in the Dragonscale Basecamp for more information.,Magical Treasure Chests Unlocked
635,Ancient Waygates III,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to a fourth Ancient Waygate.,Additional Waygate Node Unlocked
636,Cataloging the Expedition,Unlock access to the Cataloging Expeditions across the Dragon Isles. Doc Nanners at the Dragonscale Basecamp will help you get started. (Requires World Quests Unlocked),Cataloging World Quests Unlocked
637,Buried Treasures,You may use your Expedition Shovel to find and dig through Disturbed Dirt mounds. A shovel can be purchased from Pathfinder Jeb at the Dragonscale Basecamp.,Disturbed Dirt Treasures Unlocked
639,Expedition Blacksmithing,You may acquire Plans: Enduring Shovel from Boss Magor at the Dragonscale Basecamp.,Blacksmithing Recipe Unlocked
640,Bonus Supplies,You gain a 25% chance to get additional Dragon Isles Supplies from treasure chests on the Dragon Isles.,Extra Supplies Unlocked
641,Wayfinder's Compass,Receive the Wayfinder's Compass Toy from Pathfinder Jeb at the Dragonscale Basecamp.,Toy Unlocked
643,Animal Specialist,You may acquire the Gray Marmoni and Black Skitterbug battle pets from Granpap Whiskers at the Dragonscale Basecamp.,Pets Unlocked
644,Expedition Inscription III,You may acquire Technique: Illusion Parchment: Magma Missile from Boss Magor at the Dragonscale Basecamp.,Inscription Recipe Unlocked
646,Expedition Jewelcrafting I,"You may acquire Design: Radiant Malygite, Design: Energized Malygite, Design: Sensei's Neltharite, and Design: Keen Neltharite from Boss Magor at the Dragonscale Basecamp.",Jewelcrafting Recipes Unlocked
647,Expedition Jewelcrafting II,You may acquire Design: Idol of the Earth-Warder and Design: Idol of the Life-Binder from Boss Magor at the Dragonscale Basecamp.,Jewelcrafting Recipes Unlocked
649,Dragonscale Expedition Ensembles,You may acquire cosmetic Dragonscale Expedition Ensembles from Pathfinder Jeb at the Dragonscale Basecamp.,Expedition Ensembles Unlocked
650,Quack-E Quack Modulator,"You may acquire the Quack-E Voice Modulator, a crucial component of a Quack-E mechanical companion, from Pathfinder Jeb at the Dragonscale Basecamp.",Pet Reagent Unlocked
652,Ancient Waygates IV,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to a fifth Ancient Waygate.,Additional Waygate Node Unlocked
653,Expedition Tailoring I,"You may acquire Pattern: Master's Wildercloth Fishing Cap, Pattern: Master's Wildercloth Chef's Hat, Pattern: Explorer's Banner of Herbology, and Pattern: Explorer's Banner of Geology from Boss Magor at the Dragonscale Basecamp.",Tailoring Recipes Unlocked
654,Expedition Tailoring II,You may acquire the Pattern: Cold Cushion and Pattern: Dragonscale Expedition's Expedition Tent from Boss Magor at the Dragonscale Basecamp.,Tailoring Recipes Unlocked
655,Researching in Comfort,"You may acquire the toys Soft Purple Pillow, Skinny Reliquary Pillow, and Small Triangular Pillow from Rae'na at the Dragonscale Basecamp.",Pillow Toys Unlocked
656,Explosive Archaeology,You may acquire Expedition Explosives from Pathfinder Jeb at the Dragonscale Basecamp.,Outdoor Consumable Unlocked
658,Ancient Waygates V,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to a sixth Ancient Waygate.,Additional Waygate Node Unlocked
659,Bonus Supplies II,"You gain an additional +25% chance to get additional Dragon Isles Supplies from treasure chests, for a total of +50%.",Extra Supplies Unlocked
661,Expedition Tailoring III,You may acquire Pattern: Azureweave Expedition Pack from Boss Magor at the Dragonscale Basecamp.,Tailoring Recipe Unlocked
663,Ancient Waygates VI,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to a seventh Ancient Waygate.,Additional Waygate Node Unlocked
664,Expedition Inscription II,You may acquire Technique: Dragonscale Expedition Contract from Boss Magor at the Dragonscale Basecamp.,Inscription Recipe Unlocked
665,Dragonscale Expedition Tabard,Unlock the Dragonscale Expedition Tabard from Cataloger Jakes at the Dragonscale Basecamp.,Tabard Appearance Unlocked
669,Ancient Waygates VII,Seek out Thaelin Darkanvil at the Rubyscale Outpost up the hill from the Dragonscale Basecamp to pursue access to the eighth Ancient Waygate.,Additional Waygate Node Unlocked
670,Skitterflying,"You may acquire two skitterfly mounts (Tamed Skitterfly, Azure Skitterfly) from Granpap Whiskers at the Dragonscale Basecamp.",Skitterfly Mount Unlocked
673,Drakewatcher Manuscripts I,"You may acquire four new Drakewatcher Manuscripts for your Renewed Proto-Drake (Spined Brow, Maned Crest, Spiked Jaw, Brown Hair) from Rae'ana at the Dragonscale Basecamp.",New Drakewatcher Manuscripts Unlocked
674,Expedition Engineering I,You may acquire Schematic: Gravitational Displacer and Schematic: Primal Deconstruction Charge from Boss Magor at the Dragonscale Basecamp.,Engineering Recipe Unlocked
675,Expedition Jewelcrafting III,You may acquire Design: Magnificent Margin Magnifier from Boss Magor at the Dragonscale Basecamp.,Jewelcrafting Recipe Unlocked
676,Expedition Engineering II,You may acquire Schematic: Bottomless Mireslush Ore Satchel and Schematic: Spring-Loaded Khaz'gorite Fabric Cutters from Boss Magor at the Dragonscale Basecamp.,Engineering Recipes Unlocked
677,Expedition Inscription I,You may acquire Technique: Renewed Proto-Drake: Spined Crest Manuscript from Boss Magor at the Dragonscale Basecamp.,Inscription Recipe Unlocked
678,Drakewatcher Manuscripts II,"You may acquire four new Drakewatcher Manuscripts for your Renewed Proto-Drake (Spiked Club Tail, Swept Horns, Harrier Pattern, Curved Spiked Brow) from Rae'ana at the Dragonscale Basecamp.",New Drakewatcher Manuscripts Unlocked
679,Drakewatcher Manuscripts III,"You may acquire three new Drakewatcher Manuscripts to provide Red Scales to your Windborne Velocidrake, Highland Drake, and/or Cliffside Wylderdrake from Rae'ana at the Dragonscale Basecamp.",New Drakewatcher Manuscripts Unlocked
680,Expedition Engineering III,You may acquire Schematic: Quack-E from Boss Magor at the Dragonscale Basecamp.,Engineering Recipes Unlocked
681,Banners of the United Factions,You may acquire the banners for both the Reliquary and Explorers' League (now that they are united in the Dragonscale Expedition) from Cataloger Jakes at the Dragonscale Basecamp.,Banner Toys Unlocked
682,Expedition Tailoring IV,You may acquire Pattern: Duck-Stuffed Duck Lovie from Boss Magor at the Dragonscale Basecamp.,Tailoring Recipe Unlocked
