ID,Description_lang,Title_lang,Reward_lang
8784,Find all of the lost pandaren artifacts on the Timeless Isle.,Timeless Legends,
8789,"Complete the trials of all four Celestials, besting them each in combat on the Timeless Isle, while in a raid with at least 8 guild members.",Celestial Challenge Guild Run,
8790,"Defeat Ordos, Fire-God of the Yaungol, atop the Timeless Isle, while in a raid with at least 8 guild members.",Ordos Guild Run,
8791,Achieved Tyrannical Gladiator title.,Tyrannical Gladiator,
8793,Proud owner of Murkalot from the 2013 BlizzCon.,Murkalot,
8794,Obtain an Emerald Hippogryph mount through the Recruit-a-Friend program.,Friends In Places Even Higher Than That,
8795,Owner of the Diablo III: Reaper of Souls Collector's Edition Treasure Goblin pet.,Collector's Edition: Treasure Goblin,
8812,"Successfully completed any of the Level 90 Basic (Gold) trials at the Proving Grounds, while in a specialization not suited for it.",You're Really Doing It Wrong (Level 90),
8820,Logged in during WoW's 10th Anniversary.,WoW's 10th Anniversary,Pet: Molten Corgi
8843,Defeat High Sage Viryx in Skyreach.,Skyreach,
8844,Defeat High Sage Viryx in Skyreach on Heroic difficulty.,Heroic: Skyreach,
8845,Complete the Shadowmoon Valley storylines listed below.,As I Walk Through the Valley of the Shadow of Moon,"Unlock: ""Treasure Map: Shadowmoon Valley"""
8871,Complete the Skyreach Challenge Mode.,Skyreach Challenger,
8872,Complete the Skyreach Challenge Mode with a rating of Bronze or better.,Skyreach: Bronze,
8873,Complete the Skyreach Challenge Mode with a rating of Silver or better.,Skyreach: Silver,
8874,Complete the Skyreach Challenge Mode with a rating of Gold.,Skyreach: Gold,Max Level Unlock: Teleport to Skyreach
8875,Complete the Bloodmaul Slag Mines Challenge Mode.,Bloodmaul Slag Mines Challenger,
8876,Complete the Bloodmaul Slag Mines Challenge Mode with a rating of Bronze or better.,Bloodmaul Slag Mines: Bronze,
8877,Complete the Bloodmaul Slag Mines Challenge Mode with a rating of Silver or better.,Bloodmaul Slag Mines: Silver,
8878,Complete the Bloodmaul Slag Mines Challenge Mode with a rating of Gold.,Bloodmaul Slag Mines: Gold,Max Level Unlock: Teleport to Bloodmaul Slag Mines
8879,Complete the Auchindoun Challenge Mode.,Auchindoun Challenger,
8880,Complete the Auchindoun Challenge Mode with a rating of Bronze or better.,Auchindoun: Bronze,
8881,Complete the Auchindoun Challenge Mode with a rating of Silver or better.,Auchindoun: Silver,
8882,Complete the Auchindoun Challenge Mode with a rating of Gold.,Auchindoun: Gold,Max Level Unlock: Teleport to Auchindoun
8883,Complete the Shadowmoon Burial Grounds Challenge Mode.,Shadowmoon Burial Grounds Challenger,
8884,Complete the Shadowmoon Burial Grounds Challenge Mode with a rating of Bronze or better.,Shadowmoon Burial Grounds: Bronze,
8885,Complete the Shadowmoon Burial Grounds Challenge Mode with a rating of Silver or better.,Shadowmoon Burial Grounds: Silver,
8886,Complete the Shadowmoon Burial Grounds Challenge Mode with a rating of Gold.,Shadowmoon Burial Grounds: Gold,Max Level Unlock: Teleport to Shadowmoon Burial Grounds
8887,Complete the Grimrail Depot Challenge Mode.,Grimrail Depot Challenger,
8888,Complete the Grimrail Depot Challenge Mode with a rating of Bronze or better.,Grimrail Depot: Bronze,
8889,Complete the Grimrail Depot Challenge Mode with a rating of Silver or better.,Grimrail Depot: Silver,
8890,Complete the Grimrail Depot Challenge Mode with a rating of Gold.,Grimrail Depot: Gold,Max Level Unlock: Teleport to Grimrail Depot
8891,Complete the Upper Blackrock Spire Challenge Mode.,Upper Blackrock Spire Challenger,
8892,Complete the Upper Blackrock Spire Challenge Mode with a rating of Bronze or better.,Upper Blackrock Spire: Bronze,
8893,Complete the Upper Blackrock Spire Challenge Mode with a rating of Silver or better.,Upper Blackrock Spire: Silver,
8894,Complete the Upper Blackrock Spire Challenge Mode with a rating of Gold.,Upper Blackrock Spire: Gold,Max Level Unlock: Teleport to Upper Blackrock Spire
8895,Complete every Challenge Mode dungeon from the Warlords of Draenor expansion.,Challenge Warlord,
8897,Complete every Challenge Mode dungeon from the Warlords of Draenor expansion with a rating of Bronze or better.,Challenge Warlord: Bronze,Title: The Indomitable
8898,Complete every Challenge Mode dungeon from the Warlords of Draenor expansion with a rating of Silver or better.,Challenge Warlord: Silver,Mount: Challenger's War Yeti
8899,Complete every Challenge Mode dungeon from the Warlords of Draenor expansion with a rating of Gold.,Challenge Warlord: Gold,Character Unlock: Set of cosmetic weapon appearances
8903,Attained one or more realm-best times during the Mists of Pandaria Challenge Mode season.,Mistwalker,Title: Mistwalker
8916,Owner of the Warlords of Draenor Collector's Edition Dread Raven mount.,Collector's Edition: Dread Raven,
8917,Owner of the Warlords of Draenor Collector's Edition Dread Hatchling pet.,Collector's Edition: Dread Hatchling,
8919,Complete the Talador storylines listed below.,Don't Let the Tala-door Hit You on the Way Out,"Unlock: ""Treasure Map: Talador"""
8920,Complete the Talador storylines listed below.,Don't Let the Tala-door Hit You on the Way Out,"Unlock: ""Treasure Map: Talador"""
8921,Complete the Assault on the Dark Portal.,Welcome to Draenor,
8922,Complete the Assault on the Dark Portal.,Welcome to Draenor,
8923,Complete the Gorgrond storylines listed below.,Putting the Gore in Gorgrond,"Unlock: ""Treasure Map: Gorgrond"""
8924,Complete the Gorgrond storylines listed below.,Putting the Gore in Gorgrond,"Unlock: ""Treasure Map: Gorgrond"""
8925,Complete the Spires of Arak storylines listed below.,Between Arak and a Hard Place,"Unlock: ""Treasure Map: Spires of Arak"""
8926,Complete the Spires of Arak storylines listed below.,Between Arak and a Hard Place,"Unlock: ""Treasure Map: Spires of Arak"""
8927,Complete the Nagrand storylines listed below.,Nagrandeur,"Unlock: ""Treasure Map: Nagrand"""
8928,Complete the Nagrand storylines listed below.,Nagrandeur,"Unlock: ""Treasure Map: Nagrand"""
8929,Defeat Flamebender Ka'graz in Blackrock Foundry without killing Aknor Steelbringer on Normal difficulty or higher after securing your garrison.,The Steel Has Been Brought,Follower: Aknor Steelbringer
8930,"Complete the Blast Furnace encounter in Blackrock Foundry after defeating all four Primal Elementalists within 10 seconds of each other, on Normal difficulty or higher.","Ya, We've Got Time...",
8932,Defeat Flamebender Ka'graz in Blackrock Foundry on Mythic difficulty.,Mythic: Flamebender Ka'graz,
8933,Relieve yourself in the garrison outhouse.,Staying Regular,
8935,Explore the regions of Draenor.,Draenor Explorer,
8937,"Explore Frostfire Ridge, revealing the covered areas of the world map.",Explore Frostfire Ridge,
8938,"Explore Shadowmoon Valley, revealing the covered areas of the world map.",Explore Shadowmoon Valley,
8939,"Explore Gorgrond, revealing the covered areas of the world map.",Explore Gorgrond,
8940,"Explore Talador, revealing the covered areas of the world map.",Explore Talador,
8941,"Explore Spires of Arak, revealing the covered areas of the world map.",Explore Spires of Arak,
8942,"Explore Nagrand, revealing the covered areas of the world map.",Explore Nagrand,
8947,Cause the Butcher in Highmaul to slay 6 Maggots before defeating him on Normal difficulty or higher.,"Hurry Up, Maggot!",
8948,Defeat Kargath Bladefist in Highmaul without destroying any Fire Pillars on Normal difficulty or higher.,Flame On!,
8949,Defeat Kargath Bladefist in Highmaul on Mythic difficulty.,Mythic: Kargath Bladefist,
8952,Defeat Blackhand in Blackrock Foundry after catching 20 Falling Ashes on Normal difficulty or higher.,"Ashes, Ashes...",
8956,Defeat Beastlord Darmac in Blackrock Foundry on Mythic difficulty.,Mythic: Beastlord Darmac,
8958,Defeat the Twin Ogron in Highmaul without their Disposition ever exceeding 30% on Normal difficulty or higher.,Brothers in Arms,
8960,Defeat The Butcher in Highmaul on Mythic difficulty.,Mythic: The Butcher,
8961,Defeat Tectus in Highmaul on Mythic difficulty.,Mythic: Tectus,
8962,Defeat Brackenspore in Highmaul on Mythic difficulty.,Mythic: Brackenspore,
8963,Defeat the Twin Ogron in Highmaul on Mythic difficulty.,Mythic: Twin Ogron,
8964,Defeat Ko'ragh in Highmaul on Mythic difficulty.,Mythic: Ko'ragh,
8965,Complete the Imperator Mar'gok encounter in Highmaul on Mythic difficulty.,Mythic: Imperator's Fall,Title: Empire's Twilight
8966,Defeat Gruul in Blackrock Foundry on Mythic difficulty.,Mythic: Gruul,
8967,Defeat Oregorger in Blackrock Foundry on Mythic difficulty.,Mythic: Oregorger,
8968,Defeat Hans'gar and Franzok in Blackrock Foundry on Mythic difficulty.,Mythic: Hans'gar and Franzok,
8969,Defeat Operator Thogar in Blackrock Foundry on Mythic difficulty.,Mythic: Operator Thogar,
8970,Complete the Blast Furnace encounter in Blackrock Foundry on Mythic difficulty.,Mythic: Blast Furnace,
8971,Defeat Kromog in Blackrock Foundry on Mythic difficulty.,Mythic: Kromog,
8972,Defeat the Iron Maidens in Blackrock Foundry on Mythic difficulty.,Mythic: Iron Maidens,
8973,Defeat Warlord Blackhand in Blackrock Foundry on Mythic difficulty.,Mythic: Blackhand's Crucible,Title: Ironbane
8974,Defeat Tectus in Highmaul by destroying all eight Motes of Tectus within 10 seconds of each other on Normal difficulty or higher.,More Like Wrecked-us,
8975,Gain 15 stacks of Burning Infusion and then defeat Brackenspore in Highmaul on Normal difficulty or higher.,A Fungus Among Us,
8976,"Defeat Ko'ragh in Highmaul with fewer than 15 Overflowing Energy orbs touching the ground or players without Nullification Barrier, on Normal difficulty or higher.",Pair Annihilation,
8977,Empower and defeat a Fortified Replicating Gorian Warmage and then defeat Imperator Mar'gok in Highmaul on Normal difficulty or higher.,Lineage of Power,
8978,Collect 3 Pristine True Iron Ores and then defeat Gruul in Blackrock Foundry in Normal difficulty or higher.,The Iron Price,
8979,"Deposit the Volatile Ore in the Ore Grinder, and then defeat Oregorger in Blackrock Foundry on Normal difficulty or higher.","He Shoots, He Ores",
8980,Defeat Hans'gar and Franzok in Blackrock Foundry without any raid member being crushed by a stamping press on Normal difficulty or higher.,Stamp Stamp Revolution,
8981,Defeat Beastlord Darmac in Blackrock Foundry on Normal difficulty or higher after causing him to mount each beast first:,Fain Would Lie Down,
8982,Engineer the ironic demise of an Exulting Wind-Up Train Wrecker in Blackrock Foundry on Normal difficulty or higher.,There's Always a Bigger Train,
8983,Defeat 10 Grasping Earth hands within 5 seconds and then defeat Kromog in Blackrock Foundry on Normal difficulty or higher.,Would You Give Me a Hand?,
8984,Defeat the Iron Maidens within 10 seconds of each other in Blackrock Foundry on Normal difficulty or higher.,Be Quick or Be Dead,
8985,Complete the Draenor raid achievements listed below.,Glory of the Draenor Raider,Mount: Gorestrider Gronnling
8986,Defeat the bosses in the city section at the base of Highmaul.,The Walled City,
8987,Defeat the bosses barring the way from the beach into the interior of the Arcane Sanctum in Highmaul.,Arcane Sanctum,
8988,Defeat Imperator Mar'gok atop his citadel in Highmaul.,Imperator's Fall,
8989,Defeat the bosses in the Slagworks in Blackrock Foundry.,Slagworks,
8990,Defeat the bosses in the Black Forge in Blackrock Foundry.,Black Forge,
8991,Defeat the bosses in the Iron Assembly in Blackrock Foundry.,Iron Assembly,
8992,Defeat Blackhand in Blackrock Foundry.,Blackhand's Crucible,
8993,Defeat Magmolatus while Calamity and Ruination are still alive in Bloodmaul Slag Mines on Heroic difficulty.,A Gift of Earth and Fire,
8997,Complete the Iron Docks Challenge Mode.,Iron Docks Challenger,
8998,Complete the Iron Docks Challenge Mode with a rating of Bronze or better.,Iron Docks: Bronze,
8999,Complete the Iron Docks Challenge Mode with a rating of Silver or better.,Iron Docks: Silver,
9000,Complete the Iron Docks Challenge Mode with a rating of Gold.,Iron Docks: Gold,Max Level Unlock: Teleport to Iron Docks
9001,Complete the Everbloom Challenge Mode.,The Everbloom Challenger,
9002,Complete the Everbloom Challenge Mode with a rating of Bronze or better.,The Everbloom: Bronze,
9003,Complete the Everbloom Challenge Mode with a rating of Silver or better.,The Everbloom: Silver,
9004,Complete the Everbloom Challenge Mode with a rating of Gold.,The Everbloom: Gold,Max Level Unlock: Teleport to The Everbloom
9005,Defeat Gug'rokk alongside Croman the Barbarian after finding his sword in Bloodmaul Slag Mines on Heroic difficulty.,Come With Me If You Want to Live,
9007,Defeat Nitrogg Thundertower after abruptly removing 20 enemies from the Grimrail in Grimrail Depot on Heroic difficulty.,No Ticket,
9008,Defeat Gug'rokk without killing any Unstable Slag in Bloodmaul Slag Mines on Heroic difficulty.,Is Draenor on Fire?,
9016,Defeated Kanrethad Ebonlocke and gained command over fel energy before the expedition to Draenor set out.,Breaker of the Black Harvest,Title: Of the Black Harvest
9017,Defeat Witherbark without allowing him to replenish any of his Aqueous Energy in The Everbloom on Heroic difficulty.,Water Management,
9018,Defeat Sadana Bloodfury while only having the runes that correspond to her active lunar cycle lit in Shadowmoon Burial Grounds on Heroic difficulty.,What's Your Sign?,
9023,Defeat Soulbinder Nyami after defeating 12 fallen Auchenai protectors within 3 seconds in Auchindoun on Heroic difficulty.,...They All Fall Down,
9024,Defeat Railmaster Rocketspark and Borka the Brute after destroying all of the Priceless Paraphernalia in Grimrail Depot on Heroic difficulty.,This Is Why We Can't Have Nice Things,
9025,Defeat Bonemaw after having fed him 25 Corpse Skitterlings in Shadowmoon Burial Grounds on Heroic difficulty.,Icky Ichors,
9026,Defeat Ner'zhul after slaying 2 Ritual of Bones skeletons within 5 seconds of each other in Shadowmoon Burial Grounds on Heroic difficulty.,Souls of the Lost,
9033,"Defeat Ranjit without taking damage from any of the following abilities in Skyreach on Heroic difficulty: Spinning Blade, Windwall, Four Winds, Lens Flare.",Ready for Raiding IV,
9034,Defeat the Empowered Construct in Skyreach on Heroic difficulty.,Magnify... Enhance,
9035,Cause three Piles of Ash to form Solar Flares at the same time during the Rukhran encounter in Skyreach on Heroic difficulty.,I Saw Solis,
9036,Defeat High Sage Viryx without killing any of the Shield Constructs in Skyreach on Heroic difficulty.,Monomania,
9037,Defeat Gug'rokk in the Bloodmaul Slag Mines.,Bloodmaul Slag Mines,
9038,Defeat Skulloc in the Iron Docks.,Iron Docks,
9039,Defeat Teron'gor in Auchindoun.,Auchindoun,
9041,Defeat Ner'zhul in Shadowmoon Burial Grounds.,Shadowmoon Burial Grounds,
9042,Defeat Warlord Zaela in Upper Blackrock Spire.,Upper Blackrock Spire,
9043,Defeat Skylord Tovra in Grimrail Depot.,Grimrail Depot,
9044,Defeat Yalnu in The Everbloom.,The Everbloom,
9045,Defeat Orebender Gor'ashan without allowing him to cast Thundering Cacophony 4 times in Upper Blackrock Spire on Heroic difficulty.,"Magnets, How Do They Work?",
9046,Defeat Gug'rokk in the Bloodmaul Slag Mines on Heroic difficulty.,Heroic: Bloodmaul Slag Mines,
9047,Defeat Skulloc in the Iron Docks on Heroic difficulty.,Heroic: Iron Docks,
9049,Defeat Teron'gor in Auchindoun on Heroic difficulty.,Heroic: Auchindoun,
9052,Defeat Skylord Tovra in Grimrail Depot on Heroic difficulty.,Heroic: Grimrail Depot,
9053,Defeat Yalnu in The Everbloom on Heroic difficulty.,Heroic: The Everbloom,
9054,Defeat Ner'zhul in Shadowmoon Burial Grounds on Heroic difficulty.,Heroic: Shadowmoon Burial Grounds,
9055,Defeat Warlord Zaela in Upper Blackrock Spire on Heroic difficulty.,Heroic: Upper Blackrock Spire,
9056,Kill 20 Ragewing Whelps in 10 seconds while fighting Ragewing the Untamed in Upper Blackrock Spire on Heroic difficulty.,Bridge Over Troubled Fire,
9057,Kill 5 Emberscale Ironflight before defeating Warlord Zaela in Upper Blackrock Spire on Heroic difficulty.,Dragonmaw? More Like Dragonfall!,
9058,Assist Leeroy Jenkins in recovering his Devout shoulders in Upper Blackrock Spire on Heroic difficulty.,Leeeeeeeeeeeeeroy...?,Title: Jenkins
9060,Reached level 100 prior to the Shadowlands expansion.,Level 100 (Legacy),
9069,Defeat the following trainers with an Elekk Plushie on your team.,An Awfully Big Adventure,Pet: Trunks
9070,Raise an Elekk Plushie to level 25.,Overstuffed,
9071,Acquire the following decoded messages from Blingtron 5000.,Inspector Gadgetzan,
9072,Complete the Terokk's Legacy storyline and earn Exalted status with the Arakkoa Outcasts.,Mantle of the Talon King,Title: Talon King/Queen
9076,Place 10 Work Orders at the Lumber Mill.,Choppin' Some Logs,
9077,Place 50 Work Orders at the Lumber Mill.,Choppin' Some More Logs,Title: Lumberjack
9078,Place 100 Work Orders at the Lumber Mill.,Choppin' Even More Logs,Title: the Commandojack
9080,Place 100 Work Orders at the Lumber Mill.,Choppin' Even More Logs,Title: Timber Lord
9081,Slay 4 Ogron Laborers that are not in combat using a single Iron Star in Iron Docks on Heroic Difficulty.,Expert Timing,
9082,Defeat Skulloc in Iron Docks on Heroic difficulty without any players getting hit by Cannon Barrage or Backdraft.,Take Cover!,
9083,"Defeat Fleshrender Nok'gar in Iron Docks on Heroic difficulty, while Siegemaster Olugar, Pitwarden Gwarnok, and Champion Druna remain alive and in the fight.","Militaristic, Expansionist",
9087,"Raise all primary professions to 100 skill points in the ""Draenor"" category.",Draenor Master of All,
9094,Complete the garrison building achievements listed below.,Garrison Architect,Title: Architect
9095,Upgrade all the buildings on your garrison plots to level 2.,Builder,
9096,Upgrade all the buildings on your garrison plots to level 3.,Master Builder,
9097,Construct all the preset buildings listed below.,Keepin' Busy,
9098,Upgrade any garrison building to level 3.,Movin' On Up,
9099,Upgrade any garrison building to level 2.,Time for an Upgrade,
9100,Upgrade your garrison to tier 2.,More Plots,
9101,Upgrade your garrison to tier 3.,Even More Plots,
9102,Kill the opposing faction Commander while controlling all points on the Road of Glory.,Ashran Victory,
9103,Loot all the following off Alliance player corpses:,Bounty Hunter,
9104,Loot all the following off Horde player corpses:,Bounty Hunter,
9105,Complete each PvP Event at the following areas listed below.,Tour of Duty,
9106,Activate a Class Specific Book Epic Item found within Ashran.,Just for Me,
9107,Recruit 5 followers.,Follow the Leader,
9108,Recruit 10 followers.,"Where You Go, They Will Follow",
9109,Recruit 25 followers.,Fearless Leader,
9110,Raise a follower to level 40.,Following Up,
9111,Raise 10 garrison followers to level 40.,Raising the Bar,
9125,Learn 20 garrison blueprints.,Draftsman,
9126,Learn 40 garrison blueprints.,Master Draftsman,
9128,Learn 60 garrison blueprints.,Grand Master Draftsman,
9129,Raise 20 garrison followers to level 40.,Filling the Ranks,"Unlock: Dwarven Bunker/War Mill, Level 3 Blueprint"
9130,Recruit a Rare follower.,A Rare Friend,
9131,Recruit an Epic follower.,An Epic Buddy,
9132,Visit a friend's garrison and /wave.,Garrison Buddies,
9133,Complete 10 garrison missions.,On a Mission,
9134,Complete 50 garrison missions.,On a Few Missions,
9138,Complete 100 garrison missions.,On a Lot of Missions,
9139,Complete 500 garrison missions.,On a Massive Number of Missions,
9140,Complete 1000 garrison missions.,On a Metric Ton of Missions,
9141,Complete a Rare garrison mission.,A Rare Mission,
9142,Complete 50 Rare garrison missions.,Keeping It Rare,
9143,Complete 300 Rare garrison missions.,The Rarer the Better,
9145,Complete a garrison treasure mission.,Treasure Mission Specialist,
9146,Complete a garrison patrol mission.,Patrol Mission Specialist,
9147,Complete the Mission Specialist achievements listed below.,Mission Specialist,
9150,Complete a garrison exploration mission.,Exploration Mission Specialist,
9152,Successfully complete a garrison invasion.,It's an Invasion!,
9162,Successfully complete a garrison invasion with a Bronze rating or better.,Bronze Defender,
9164,Successfully complete a garrison invasion with a Silver rating or better.,Silver Defender,
9165,Successfully complete a garrison invasion with a Gold rating or better.,Golden Defender,
9167,Successfully complete 10 garrison invasions.,Invasion Specialist,
9168,Win a brawl during the Draenor campaign.,You Are Not Your $#*@! Legplates (Season 2),
9169,Reach Rank 4 with Bizmo's Brawlpub during the Draenor campaign.,The Second Rule of Brawler's Guild (Season 2),Item Reward: Brawler's Pass
9170,Reach Rank 8 with Bizmo's Brawlpub during the Draenor campaign.,Brawlin' and Shot Callin' (Season 2),Title: Brawler
9171,Defeat the following rare brawl bosses during the Draenor campaign.,Now You're Just Showing Off (Season 2),
9172,Win a brawl during the Draenor campaign.,You Are Not Your $#*@! Legplates (Season 2),
9173,Reach Rank 4 with Brawl'gar Arena during the Draenor campaign.,The Second Rule of Brawler's Guild (Season 2),Item Reward: Brawler's Pass
9174,Reach Rank 8 with Brawl'gar Arena during the Draenor campaign.,Brawlin' and Shot Callin' (Season 2),Title: Brawler
9175,Defeat the following rare brawl bosses during the Draenor campaign.,Now You're Just Showing Off (Season 2),
9176,Defeat the following Brawler's Guild bosses during the Draenor campaign.,Deck Your Collection (Season 2),Reward: Wraps of the Blood-Soaked Brawler
9177,Defeat the following Brawler's Guild bosses during the Draenor campaign.,Deck Your Collection (Season 2),Reward: Wraps of the Blood-Soaked Brawler
9181,Complete the invasions listed below without letting any buildings get destroyed.,Save Those Buildings!,
9203,Successfully complete a Shadow Council garrison invasion.,Shadow Council Invasion,
9204,Successfully complete an Ogre garrison invasion.,Ogre Invasion,
9205,Successfully complete an Iron Horde garrison invasion.,Iron Horde Invasion,
9206,Successfully complete a Shadowmoon Clan garrison invasion.,Shadowmoon Clan Invasion,
9207,Successfully complete a Goren garrison invasion.,Goren Invasion,
9208,Successfully complete a Botani garrison invasion.,Botani Invasion,
9209,Earn a Gold rating in each max-level invasion.,Master Defender,
9210,Visit a friend's garrison and /wave.,Garrison Buddies,
9211,Raise a follower's power level to 625.,My Item Level Is Higher than Yours,
9212,Raise a follower's power level to 650.,My Item Level Is Way Higher than Yours,
9213,Raise 10 followers' power level to 650.,Item Level Army,
9214,Gain exalted reputation with Wrynn's Vanguard.,Hero of Stormshield,
9215,Gain exalted reputation with Vol'jin's Spear.,Hero of Warspear,
9216,Defeat all of the creatures within Ashran listed below.,High-value Targets,
9217,Defeat Fangraal within 8 minutes of it being summoned by the Alliance.,Operation Counterattack,
9218,Loot 100 Artifact Fragments from enemy players.,"Grand Theft, 1st Degree",
9219,Loot 500 Artifact Fragments from enemy players.,"Grand Theft, 2nd Degree",
9220,Loot 1000 Artifact Fragments from enemy players.,"Grand Theft, 3rd Degree",
9222,Kill 5000 enemy players anywhere outside the Road of Glory within Ashran.,Divide and Conquer,
9223,Defeat Yalnu without any Kirin Tor Battle-Mages dying in The Everbloom on Heroic difficulty.,Weed Whacker,
9224,Defeat all of the Alliance Captains listed below within The Road of Glory.,Take Them Out,
9225,Defeat all of the Horde Captains listed below within The Road of Glory.,Take Them Out,
9228,Kill Elliott Van Rook before he remembers how to use Ice Block.,Down Goes Van Rook,
9229,Obtain the Primal Gladiator's Felblood Gronnling from Warlords of Draenor Arena Season 1,Primal Gladiator's Felblood Gronnling,
9230,End Warlords PvP season 1 in the top 0.5% of the rated battleground ladder (requires 50 games won in Warlords Season 1).,Hero of the Alliance: Primal,
9231,End Warlords PvP season 1 in the top 0.5% of the rated battleground ladder (requires 50 games won in Warlords Season 1).,Hero of the Horde: Primal,
9232,End Warlords PvP season 1 in the top 0.1% of the arena ladder (requires 50 games won in Warlords Season 1).,Primal Gladiator: Warlords Season 1,Seasonal Character Title: Primal Gladiator
9233,"Earn 27,000 Conquest Points in Warlords Season 1.",Primal Conquest,
9234,"Earn 27,000 Conquest Points in Warlords Season 1.",Primal Conquest,
9236,Win 100 Arena (3v3) or 40 Rated Battlegrounds in Warlords Season 1,Primal Combatant,Mount Reward: Vicious Saddle
9238,Win 100 Arena (3v3) or 40 Rated Battlegrounds in Warlords Season 1,Primal Combatant,Mount Reward: Vicious Saddle
9239,End Warlords PvP season 1 in the top 0.5% of the arena ladder (requires 50 games won in Warlords Season 1).,Gladiator: Warlords Season 1,Seasonal Character Title: Gladiator
9240,End Warlords PvP season 1 in the top 3% of the arena ladder (requires 50 games won in Warlords Season 1).,Duelist: Warlords Season 1,Seasonal Character Title: Duelist
9241,End Warlords PvP season 1 in the top 10% of the arena ladder (requires 50 games won in Warlords Season 1).,Rival: Warlords Season 1,Seasonal Character Title: Rival
9242,End Warlords PvP season 1 in the top 35% of the arena ladder (requires 50 games won in Warlords Season 1).,Challenger: Warlords Season 1,Seasonal Character Title: Challenger
9243,Raise 20 followers' power level to 650.,Item Level Force,
9244,Successfully complete a garrison invasion in a party of 3 players.,Invasions Are Better with Friends,
9246,Craft 50 Epic items from Draenor.,Master Draenor Crafter,Reward: Garrison Monument
9248,Get 5000 honorable kills in Draenor.,Defender of Draenor,Reward: Garrison Monument
9250,Collect 10 Blazing Rings in one flight session of Firebird's Challenge.,Flying High,
9251,Collect 25 Blazing Rings in one flight session of Firebird's Challenge.,Ringmaster,
9252,Collect 50 Blazing Rings in one flight session of Firebird's Challenge.,Brood of Alysrazor,
9255,Complete the Mythic raiding achievements listed below.,Mythic Draenor Raider,Reward: Garrison Monument
9256,Release the following captured prisoners from the Horde Prison:,Rescue Operation,
9257,Release the following captured prisoners from the Alliance Prison:,Rescue Operation,
9258,,Gug'rokk kills (Bloodmaul Slag Mines),
9259,,Gug'rokk kills (Heroic Bloodmaul Slag Mines),
9260,,Skulloc kills (Iron Docks),
9261,,Skulloc kills (Heroic Iron Docks),
9262,,Teron'gor kills (Auchindoun),
9263,,Teron'gor kills (Heroic Auchindoun),
9264,Win 2000 pet battles in Draenor.,Draenor Pet Brawler,Reward: Garrison Monument
9265,"Collect 100,000 Apexis Crystals.",Master of Apexis,Reward: Garrison Monument
9266,,High Sage Viryx kills (Skyreach),
9267,,High Sage Viryx kills (Heroic Skyreach),
9268,,Skylord Tovra kills (Grimrail Depot),
9269,,Skylord Tovra kills (Heroic Grimrail Depot),
9271,,Yalnu kills (The Everbloom),
9272,,Yalnu kills (Heroic The Everbloom),
9273,,Ner'zhul kills (Shadowmoon Burial Grounds),
9274,,Ner'zhul kills (Heroic Shadowmoon Burial Grounds),
9275,,Warlord Zaela kills (Upper Blackrock Spire),
9276,,Warlord Zaela kills (Heroic Upper Blackrock Spire),
9277,,Drov the Ruiner kills (Gorgrond),
9278,,Tarlna the Ageless kills (Gorgrond),
9279,,Rukhmar kills (Spires of Arak),
9280,,Kargath Bladefist defeats (Raid Finder Highmaul),
9282,,Kargath Bladefist defeats (Normal Highmaul),
9284,,Kargath Bladefist defeats (Heroic Highmaul),
9285,,Kargath Bladefist defeats (Mythic Highmaul),
9286,,The Butcher kills (Raid Finder Highmaul),
9287,,The Butcher kills (Normal Highmaul),
9288,,The Butcher kills (Heroic Highmaul),
9289,,The Butcher kills (Mythic Highmaul),
9290,,Tectus kills (Raid Finder Highmaul),
9292,,Tectus kills (Normal Highmaul),
9293,,Tectus kills (Heroic Highmaul),
9294,,Tectus kills (Mythic Highmaul),
9295,,Brackenspore kills (Raid Finder Highmaul),
9297,,Brackenspore kills (Normal Highmaul),
9298,,Brackenspore kills (Heroic Highmaul),
9300,,Brackenspore kills (Mythic Highmaul),
9301,,Twin Ogron kills (Raid Finder Highmaul),
9302,,Twin Ogron kills (Normal Highmaul),
9303,,Twin Ogron kills (Heroic Highmaul),
9304,,Twin Ogron kills (Mythic Highmaul),
9306,,Ko'ragh kills (Raid Finder Highmaul),
9308,,Ko'ragh kills (Normal Highmaul),
9310,,Ko'ragh kills (Heroic Highmaul),
9311,,Ko'ragh kills (Mythic Highmaul),
9312,,Imperator Mar'gok kills (Raid Finder Highmaul),
9313,,Imperator Mar'gok kills (Normal Highmaul),
9314,,Imperator Mar'gok kills (Heroic Highmaul),
9315,,Imperator Mar'gok kills (Mythic Highmaul),
9316,,Gruul kills (Raid Finder Blackrock Foundry),
9317,,Gruul kills (Normal Blackrock Foundry),
9318,,Gruul kills (Heroic Blackrock Foundry),
9319,,Gruul kills (Mythic Blackrock Foundry),
9320,,Oregorger kills (Raid Finder Blackrock Foundry),
9321,,Oregorger kills (Normal Blackrock Foundry),
9322,,Oregorger kills (Heroic Blackrock Foundry),
9323,,Oregorger kills (Mythic Blackrock Foundry),
9324,,Hans'gar and Franzok kills (Raid Finder Blackrock Foundry),
9327,,Hans'gar and Franzok kills (Normal Blackrock Foundry),
9328,,Hans'gar and Franzok kills (Heroic Blackrock Foundry),
9329,,Hans'gar and Franzok kills (Mythic Blackrock Foundry),
9330,,Flamebender Ka'graz kills (Raid Finder Blackrock Foundry),
