ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang
326,Brawl: Eye of the Horn,No mount? No problem. Grab a goat and head into mounted combat.,Start Quest,,
327,Brawl: Packed House,Up to 30 players clash in this packed Arena match.,Start Quest,,
328,Brawl: Southshore vs Tarren Mill,Harken back to the early days in an epic tug-of-war battle.,Start Quest,,
329,Brawl: Shado-Pan Showdown,Your 5-man arena team gets a sixth addition in the form of a boss. Defeat the enemies first to win!,Start Quest,,
331,Moonkin Festival,A wonderful celebration of all things Moonkin is happening today in Moonglade. Stop by and see what you can learn!,,,
332,Trial of Style,Dust off those pauldrons and compete in a fashion competition of Azerothian proportions! Speak to a transmogrifier NPC in any major city to participate in the Trial of Style!,,,
333,The Great Gnomeregan Run,"Join the Gnomes as they celebrate their unrelenting moxie! Race across the Eastern Kingdoms, from Gnomeregan down to Booty Bay!",,,
334,Auction House Dance Party,The main auction houses in Orgrimmar and Stormwind have been cleaned out and turned into Dance Parties for the day! Crowd on in and show some faction pride!,,,
335,Kirin Tor Tavern Crawl,"The mages of Azeroth like to relax, too. Hop into a portal at your local watering hole and join the Tavern Crawl!",,,
336,Call of the Scarab,"On this date, the Scarab Gong was rung, opening the gates of Ahn'Qiraj. Represent your faction by gathering supplies or by slaying Twilight and Qiraji forces. The winning faction gets to fly their banner next to the Scarab Gong for the rest of the year!",,,
337,Glowcap Festival,"Today, the sporelings of Sporeggar in Zangarmarsh hold their annual mushroom festival. Help them keep the great Fshoo alive as long as possible!",,,
338,Hatching of the Hippogryphs,Today is the day that the Frayfeather hippogryphs hatch.  Head to Frayfeather Highlands in Feralas to witness the spectacle firsthand!,,,
339,March of the Tadpoles,"Today, the baby Winterfin murlocs of Borean Tundra complete their trip across the Westrift.",,,
340,Spring Balloon Festival,"The skies are clear, the wind is calm... it's a great day for hot air ballooning. Hop into a hot air balloon, enjoy the scenery, and make some new friends!",,,
341,Thousand Boat Bash,The citizens of Azeroth need a break. Let's go boating in Thousand Needles!,,,
342,Un'Goro Madness,The dinosaurs in Un'goro are getting restless. Time to go pay them a visit!,,,
343,Volunteer Guard Day,"Today, the denizens of Azeroth and Draenor take some time to celebrate the hard work that their guards perform. /salute a guard to show you care!",,,
348,Brawl: Deep Six,Group size shrinks down to an intimate 6v6 in selected battlegrounds,Start Quest,,
349,Raid Finder: Seat of the Pantheon,Lead the Army of the Light into battle against the Burning Legion in their hallowed capital to destroy them once and for all!,Join Raid,,
350,"Antorus, the Burning Throne",Lead the Army of the Light into battle against the Burning Legion in their hallowed capital to destroy them once and for all!,Find Group,,
351,Seat of the Triumvirate,"Join Alleria Windrunner in the ancient eredar seat of power where Prophet Velen, Archimonde, and Kil'jaeden once ruled to dispel the looming void threat.",Find Group,,
352,Seat of the Triumvirate,"Join Alleria Windrunner in the ancient eredar seat of power where Prophet Velen, Archimonde, and Kil'jaeden once ruled to dispel the looming void threat.",Join Group,,
353,Argus: The Hand of Fate,Answer Prophet Velen's call to take the war against the Legion to Argus.,Start Quest,,
354,Argus: The Hand of Fate,Answer Prophet Velen's call to take the war against the Legion to Argus.,Start Quest,,
355,Argus: The Speaker Calls,Magni has uncovered information that may help the war effort and requires your assistance.,Start Quest,,
356,Argus: We Have a Problem,Prophet Velen and members of the Army of the Light are behind enemy lines. High Exarch Turalyon needs your help to save them.,Start Quest,,
357,Argus: The Speaker Listens,Magni has uncovered new information and has called you to speak with him once more.,Start Quest,,
358,Argus: The Speaker Seeks,Preparations have been made to begin the assault on Antorus. Meet with Magni before leading the charge.,Start Quest,,
360,Raid Finder: Forbidden Descent,Lead the Army of the Light into battle against the Burning Legion in their hallowed capital to destroy them once and for all!,Join Raid,,
361,Raid Finder: Hope's End,Lead the Army of the Light into battle against the Burning Legion in their hallowed capital to destroy them once and for all!,Join Raid,,
362,Raid Finder: Light's Breach,Lead the Army of the Light into battle against the Burning Legion in their hallowed capital to destroy them once and for all!,Join Raid,,
363,Black Temple Timewalking,Return to the classic Outland raid to defeat Illidan Stormrage.,Find Group,,
365,Bonus Event: Dungeons,Complete War Within Heroic or Mythic dungeons for the duration of this bonus event!,Start Quest,,
366,Bonus Event: Timewalking,Timewalk through Wrath of the Lich King dungeons for the duration of this Bonus Event!,Start Quest,,
367,Bonus Event: Timewalking,Timewalk through Cataclysm dungeons for the duration of this Bonus Event!,Start Quest,,
368,Bonus Event: Timewalking,Timewalk through Burning Crusade dungeons for the duration of this Bonus Event!,Start Quest,,
369,Bonus Event: Timewalking,Timewalk through Mists of Pandaria dungeons for the duration of this Bonus Event!,Start Quest,,
370,Ulduar Timewalking,Return to the classic Wrath of the Lich King raid to defeat Yogg-Saron.,Find Group,,
371,The Seething Shore,Participate in the battle for the Seething Shore.,Start Quest,,
372,The Seething Shore,Participate in the battle for the Seething Shore.,Start Quest,,
473,Raid Finder: Heart of Corruption,"In foul pits, far beneath the halls of Uldir, the source of the corruption that has befallen Zandalar awaits.",Join Raid,,
474,Raid Finder: Crimson Descent,"The remnants of old experiments gone awry litter the lower halls of Uldir, as a dark power stirs within the depths.",Join Raid,,
475,Raid Finder: Halls of Containment,The doors of this ancient titan research facility open for the first time in millennia. What remains of the horrors sealed away?,Join Raid,,
476,Uldir,The doors of this ancient titan research facility open for the first time in millennia. What remains of the horrors sealed away?,Find Group,,
477,Heroic Dungeon,Run Battle for Azeroth Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
478,Random Dungeon,Run a random Battle for Azeroth dungeon to upgrade your character's gear!,Join Group,,
479,Mythic Keystones,Use a Mythic Keystone at the entrance to a Mythic Dungeon for even greater challenges and rewards!,Find Group,,
480,Battle for Stromgarde,Our war effort was successful. Report to the Port of Zandalar to launch the attack on Stromgarde! For the Horde!,,,
481,Battle for Stromgarde,Our war effort was successful. Report to Boralus Harbor for transport to the warfront. Your mission is to take back Stromgarde and rebuild it to it's former glory! For the Alliance!,,,
482,Island Expeditions,Adventure awaits! Explore the islands around Kul Tiras and Zuldazar for Azerite and treasure. Report to the Port of Zandalar to ship out!,,,
483,Island Expeditions,Adventure awaits! Explore the islands around Kul Tiras and Zuldazar for Azerite and treasure. Report to Boralus Harbor to ship out!,,,
484,Mythic Dungeon,Run a Battle for Azeroth dungeon in Mythic difficulty to test your skill and receive improved rewards!,Find Group,,
485,Kul Tiras Scouting Map,You can return to the Scouting Map in Boralus to choose to aid the Kul Tirans in different zones.,,,
486,Kul Tiras Scouting Map,You can return to the Scouting Map in Boralus to choose to aid the Kul Tirans in different zones.,,,
487,Kul Tiras Scouting Map,You can return to the Scouting Map in Boralus to choose to aid the Kul Tirans in different zones.,,,
488,Zandalar Scouting Map,You can return to the Scouting Map in Dazar'alor to choose to aid the Zandalari in different zones.,,,
489,Zandalar Scouting Map,You can return to the Scouting Map in Dazar'alor to choose to aid the Zandalari in different zones.,,,
490,Zandalar Scouting Map,You can return to the Scouting Map in Dazar'alor to choose to aid the Zandalari in different zones.,,,
491,Battle for Darkshore,The war effort intensifies. Report to the Port of Zandalar to depart to the front. Make the Alliance regret their return to Darkshore! For the Horde!,,,
492,Battle for Darkshore,The war effort intensifies. Report to Boralus Harbor for transport to the warfront. Save Darkshore from the ravages of the Horde! For the Alliance!,,,
493,Battle of Dazar'alor,The Alliance brings the war into the heart of the Zandalari Empire and the Horde must do all in its power to stop the attack.,Find Group,,
494,Raid Finder: Siege of Dazar'alor,"With the bulk of Rastakhan's forces lured into Nazmir, the time has come to storm the city.",Join Raid,,
495,Raid Finder: Empire's Fall,"Ancient treasures lie deep within the halls of the palace. But beware, for they are guarded by the wrath of the loa.",Join Raid,,
496,Raid Finder: Might of the Alliance,Witness the Horde's savagery as they strike at the valiant heroes of the Alliance.,Join Raid,,
497,Raid Finder: Defense of Dazar'alor,"The city faces a cowardly Alliance attack, and the Horde's brave champions are the only ones who can break the siege.",Join Raid,,
498,Raid Finder: Death's Bargain,Witness King Rastakhan's defiant stand against the bloodthirsty Alliance invaders.,Join Raid,,
499,Raid Finder: Victory or Death,"King Rastakhan has been slain, and those responsible must be brought to justice before they can escape.",Join Raid,,
501,Dwarf Heritage Armor,Go to the Stormwind Embassy and delve into the history of the Bronzebeard clan!,,,
502,Blood Elf Heritage Armor,Go to the Orgrimmar Embassy to take part in a historical sin'dorei ceremony.,,,
503,Bonus Event: Timewalking,Timewalk through Warlords of Draenor dungeons for the duration of this Bonus Event!,Join Group,,
504,Bonus Event: Timewalking,Timewalk through Warlords of Draenor dungeons for the duration of this Bonus Event!,Start Quest,,
505,Raid Finder: Crucible of Storms,A dark power has awakened beneath the Shrine of the Storm that and seeks to engulf all of Zandalar and Kul Tiras.,Join Raid,,
506,Crucible of Storms,A dark power has awakened beneath the Shrine of the Storm that and seeks to engulf all of Zandalar and Kul Tiras.,Find Group,,
507,Wanderer's Festival,Join our Pandaren allies on the shores of Krasarang Wilds as they honor those that led them to adventure!,,,
508,Free T-Shirt Day,Who doesn't love free t-shirts? T-shirt enthusiasts have set up shop all over Azeroth giving them away for free!,,,
509,Luminous Luminaries,"Special bioluminescent creatures flock to Vash'jir once a year, and its up to you to help conduct research on them!",,,
510,Brawl: Arathi Basin Comp Stomp,Face off against NPC champions from the other faction on the fields of Arathi Basin!,Start Quest,,
511,Azshara's Eternal Palace,Queen Azshara is ready to receive you. What horrors lurk in the depths of her ancient palace?,Find Group,,
512,Operation: Mechagon,Explore the wonders of this vast mythic-only megadungeon. Can you stop the mad king from eradicating the Curse of Flesh?,Join Group,,
513,Gnome Heritage Armor,The gnome nation faces troggaggedon! Travel to the Stormwind Embassy and join Captain Sparknozzle's cause.,,,
514,Tauren Heritage Armor,The spirit realm is in turmoil. Travel to the Orgrimmar Embassy to help the Spiritwalkers restore peace.,,,
515,Heroic: Battle for Stromgarde,"Champions, report to Boralus Harbor! Prepare to engage the enemy in a new Heroic difficulty warfront. For the Alliance!",,,
516,Heroic: Battle for Stromgarde,"Champions, report to the Port of Zandalar! Prepare to engage the enemy in a new Heroic difficulty warfront. For the Horde!",,,
517,Raid Finder: The Grand Reception,Queen Azshara is ready to receive you. What horrors lurk in the depths of her ancient palace?,Find Group,,
518,Raid Finder: Depths of the Devoted,Queen Azshara is ready to receive you. What horrors lurk in the depths of her ancient palace?,Find Group,,
519,Raid Finder: The Circle of Stars,Queen Azshara is ready to receive you. What horrors lurk in the depths of her ancient palace?,Find Group,,
520,Firelands Timewalking,Return to the classic Cataclysm raid to defeat Ragnaros.,Find Group,,
521,World of Warcraft Anniversary,Travel to the Caverns of Time to participate in World of Warcraft's Anniversary festivities!,,,
522,Korrak's Revenge,Experience Alterac Valley as it used to be 15 years ago!,,,
523,Worgen Heritage Armor,Princess Tess Greymane's messenger awaits you at the Stormwind Embassy.,,,
524,Goblin Heritage Armor,Old friends and new opportunities await you at the Orgrimmar Embassy!,,,
525,Heroic: Battle for Darkshore,"Champions of the Horde, report to the Port of Zandalar! Prepare to return to Darkshore for a new Heroic difficulty warfront. For the Horde!",,,
526,Heroic: Battle for Darkshore,"Champions of the Alliance, report to Boralus Harbor! Prepare to return to Darkshore for a new Heroic difficulty warfront. For the Alliance!",,,
527,"Ny'alotha, the Waking City","To cleanse the world of N'Zoth's corruption, heroes from the Horde and Alliance must invade the heart of the Black Empire. What horrors await them in this realm of nightmares?",Find Group,,
528,Raid Finder: Vision of Destiny,"From his dark throne, N'Zoth concocts visions of a future where Azeroth has fallen, and none are left to resist his empire.",Join Raid,,
529,Raid Finder: Halls of Devotion,"Within their black halls, N'Zoth's devoted perform profane rituals to bring about the end of the world.",Join Raid,,
530,Raid Finder: Gift of Flesh,"Buried deep within a fissure of twisted flesh, Il'gynoth's corruption continues to spread from this realm into the next.",Join Raid,,
531,Raid Finder: The Waking Dream,"Deep within his monument of filth, lies the corruptor, and the final confrontation that will determine the fate of Azeroth.",Join Raid,,
532,Random Dungeon,Run a random Shadowlands dungeon to upgrade your character's gear!,Join Group,,
533,Heroic Dungeon,Run Shadowlands Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
534,Mythic Keystones,Use a Mythic Keystone at the entrance to a Mythic Dungeon for even greater challenges and rewards!,Find Group,,
535,Castle Nathria,"With the fate of the Shadowlands hanging by a thread, Prince Renathal prepares a desperate mission to unseat the malevolent Sire Denathrius.",Find Group,,
536,Raid Finder: The Leeching Vaults,"Like an open wound, anima bleeds from Castle Nathria's vaults. The hemorrhaging must be stopped before Revendreth is drained.",Join Raid,,
537,Raid Finder: Revendreth's Last Dance,"With the aristocracy reveling in victory, heroes must crash their party and dismantle their power base.",Join Raid,,
538,Raid Finder: Blood from Stone,"Denathrius' Stoneborn Generals lie in wait, preparing a trap that will destroy the rebellion once and for all.",Join Raid,,
539,Mythic Dungeon,Run a Shadowlands dungeon in Mythic difficulty to test your skill and receive improved rewards!,Find Group,,
540,"Torghast, Tower of the Damned","Save souls, seek power, and defeat the Jailer's forces.",Enter Torghast,,
541,Raid Finder: An Audience with Arrogance,Denathrius eagerly awaits the heroes in his tower for the final confrontation to decide the fate of Revendreth.,Join Raid,,
542,Timewalking Campaign,Visit Chromie in Stormwind to choose a storyline for your next adventure.,Start Quest,,
543,Timewalking Campaign,Visit Chromie in Orgrimmar to choose a storyline for your next adventure.,Start Quest,,
555,Sanctum of Domination,"With Oribos on the brink of destruction, Bolvar launches a daring mission to strike at the heart of the Jailer.",Find Group,,
556,Raid Finder: The Jailer's Vanguard,The Jailer's vanguard stands ready to repel any attack. Their lines must be broken to breech the tower.,Join Raid,,
557,Raid Finder: The Dark Bastille,Screams of the tormented fuel the Jailer's army. End their suffering and deprive the Maw of its most precious resource.,Join Raid,,
558,Raid Finder: Shackles of Fate,The soul river ends at the tower's peak. Destroy those feeding off it to free the countless souls deprived of their afterlife.,Join Raid,,
559,Raid Finder: The Reckoning,"Atop the Tower, Sylvanas Windrunner awaits. Here, the final confrontation for the fate of the cosmos will take place.",Join Raid,,
560,"Tazavesh, the Veiled Market","The ruthless cartel boss So'leah launches a heist to claim forbidden Progenitor knowledge. Racing against time, Al'dalil and his ragtag crew form a plan to ensure these secrets remain undiscovered.",Join Group,,
561,Bonus Event: Timewalking,Timewalk through Legion dungeons for the duration of this Bonus Event!,Join Group,,
562,Bonus Event: Timewalking,Timewalk through Legion dungeons for the duration of this Bonus Event!,Start Quest,,
563,Raid Finder: Cornerstone of Creation,"Lihuvim fights a losing battle against domination. Unless saved, the keeper's power will become the Jailer's.",Join Raid,,
564,Raid Finder: Ephemeral Plains,"The essence of creation is being devoured. If left unchecked, reality will collapse.",Join Raid,,
565,Raid Finder: Domination's Grasp,Zovaal's greatest followers have destroyed millions of civilations. Will they now unmake the universe?,Join Raid,,
566,Raid Finder: The Grand Design,"Zovaal sits on the cusp of ultimate victory. Unless stopped, the cosmos will succumb to his power.",Join Raid,,
567,Sepulcher of the First Ones,"With Zovaal breaching the Sepulcher of the First Ones, the champions of Azeroth charge into the unknown to save the cosmos.",Find Group,,
568,Solo Shuffle,Embark on a solo mission and prove yourself during six 3v3 arena rounds. Teams are shuffled at the end of each round.,Start Quest,,
569,Solo Shuffle,Battle other players inside 6 rounds of 3v3 Arena. Teams are shuffled at the end of each round.,Join the Fight!,,
570,Raid Finder: The Primal Bulwark,The Primal Council bolsters their defenses within the mountain. Their ranks must be broken to stop the Incarnates' release.,Join Raid,,
571,Raid Finder: Caverns of Infusion,Kurog Grimtotem prepares to unleash monstrous elementals to bring about the destruction of any who oppose him.,Join Raid,,
572,Raid Finder: Vault of the Incarnates,"Raszageth's fury threatens to destroy her siblings' prison. If she succeeds, the Incarnates will wreak havoc across Azeroth.",Join Raid,,
573,Vault of the Incarnates,"Within the Titan prison, Raszageth performs a foul ritual to free her siblings. Unless the Primalist forces can be broken, all realms will be condemned to the Incarnates' reign of fire and blood.",Find Group,,
574,Heroic Dungeon,Run Dragonflight Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
575,Random Dungeon,Run a random Dragonflight dungeon to upgrade your character's gear!,Join Group,,
576,Mythic Dungeon,Run a Dragonflight dungeon in Mythic difficulty to test your skill and receive improved rewards!,Find Group,,
577,Mythic Keystones,Use a Mythic Keystone at the entrance to a Mythic Dungeon for even greater challenges and rewards!,Find Group,,
578,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
579,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
580,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
581,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
582,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
583,Community Feast,"Help the tuskarr of Iskaara with their Community Feast, and they will show their gratitude! Keep an eye on your map - the feast happens every 1.5 hours in Iskaara, on the coast of the Azure Span.",,,
584,Grand Hunts,Clan Shikaar is out on the hunt. Successful hunts may yield great rewards!,,,
585,Grand Hunts,Clan Shikaar is out on the hunt. Successful hunts may yield great rewards!,,,
586,Grand Hunts,Clan Shikaar is out on the hunt. Successful hunts may yield great rewards!,,,
587,Siege on Dragonbane Keep,"Assist the Obsidian Outcasts with retaking Dragonbane Keep, and their strongbox can be yours.",,,
588,Relic Recovery: Legacy of Tyr,Theldren in Valdrakken wants you to retrieve a lost relic from the Uldaman dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
589,Relic Recovery: Neltharus,Theldren in Valdrakken wants you to retrieve a lost relic from the Neltharus dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
590,Relic Recovery: Ruby Life Pools,Theldren in Valdrakken wants you to retrieve a lost relic from the Ruby Life Pools dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
591,Relic Recovery: The Nokhud Offensive,Theldren in Valdrakken wants you to retrieve a lost relic from the Nokhud Offensive dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
592,Relic Recovery: Brackenhide Hollow,Theldren in Valdrakken wants you to retrieve a lost relic from the Brackenhide Hollow dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
593,Relic Recovery: The Azure Vault,Theldren in Valdrakken wants you to retrieve a lost relic from the Azure Vault dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
594,Relic Recovery: Halls of Infusion,Theldren in Valdrakken wants you to retrieve a lost relic from the Halls of Infusion dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
595,Relic Recovery: Algeth'ar Academy,Theldren in Valdrakken wants you to retrieve a lost relic from the Algeth'ar Academy dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
596,Preserving the Past: Legacy of Tyr,Kemora in Valdrakken wants you to search for forgotten lore in the Uldaman dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
597,Preserving the Past: Neltharus,Kemora in Valdrakken wants you to search for forgotten lore in the Neltharus dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
598,Preserving the Past: Ruby Life Pools,Kemora in Valdrakken wants you to search for forgotten lore in the Ruby Life Pools dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
599,Preserving the Past: The Nokhud Offensive,Kemora in Valdrakken wants you to search for forgotten lore in the Nokhud Offensive dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
600,Preserving the Past: Brackenhide Hollow,Kemora in Valdrakken wants you to search for forgotten lore in the Brackenhide Hollow dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
601,Preserving the Past: The Azure Vault,Kemora in Valdrakken wants you to search for forgotten lore in the Azure Vault dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
602,Preserving the Past: Halls of Infusion,Kemora in Valdrakken wants you to search for forgotten lore in the Halls of Infusion dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
603,Preserving the Past: Algeth'ar Academy,Kemora in Valdrakken wants you to search for forgotten lore in the Algeth'ar Academy dungeon.,Accept Quest,Success will grant you renown with the Dragonflight faction of your choice!,
604,Sparks of Life: The Waking Shores,Ailith Stonebreeze in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
605,Sparks of Life: Ohn'ahran Plains,Ailith Stonebreeze in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
606,Sparks of Life: The Azure Span,Keenu in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
607,Sparks of Life: Thaldraszus,Seknar in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
608,Just For Fun,An unusually large number of players have been dueling in front of the gates of Orgrimmar today! Join in to test your mettle in 1-on-1 combat!,,,
609,Just For Fun,An unusually large number of players have been dueling in front of the gates of Stormwind today! Join in to test your mettle in 1-on-1 combat!,,,
610,Just For Fun,"Every few hours, Short John Mithril leaves a treasure chest out for grabs in the middle of the Stranglethorn Arena, but only one player can claim the prize. Think you have what it takes?",,,
611,Just For Fun,Gold burning a hole in your pocket? Go visit an auction house in your capital city and see what other adventurers are selling! You never know what you might find...,,,
612,Just For Fun,"Looking for something so rare, it's basically illegal? Check out the Black Market Auction House by the Petitioner's Concourse, west of Valdrakken. They have everything you never knew you needed.",,,
613,Just For Fun,There's a rumour going around that YOU can't form the longest Conga line. Care to prove them wrong?,,,
614,Just For Fun,Did you know that there's a weekly fishing contest every Sunday at 2PM? Head to Booty Bay in the Cape of Stranglethorn to out-angle your fellow fishers!,,,
615,Just For Fun,"Today seems like a good day to take your pets out for a walk, or - if you're feeling up to it - into some PvP pet battles!",,,
616,Just For Fun,"Did you know that some battle pets, like the Snowy Owl, only appear during certain seasons?",,,
617,Just For Fun,Holidays like Brewfest and events like the Running of the Gnomes are happening all the time in Azeroth. Open up your calendar to see what's happening soon... or maybe even today!,,,
618,Just For Fun,"Chromie needs you to save her from uncertain death...s! Head to the Broken Isles, establish your class order hall, and then look for an Image of Chromie in Dalaran. Save Chromie, and you may end up as a full-fledged Timelord!",,,
619,Just For Fun,Fancy yourself a master pet tamer? Then seek out the Celestial Tournament on the Timeless Isle in Pandaria to achieve the pinnacle of pet prestige! Beginners need not apply.,,,
620,Just For Fun,"Is your look a little dated? For a small fee, the miracle workers at the Barbershop will be happy to fix up your hair, face, or body type! Look for them in any major city.",,,
621,Just For Fun,"Rumors have been swirling about exceedingly rare mounts, such as the ""Lucid Nightmare"" and ""The Hivemind"". Ask other adventurers and members of the community where you might find them!",,,
622,Just For Fun,"Rumors have been swirling about exceedingly rare pets, with names like ""Baa'l"", ""Uuna"", and ""Jenafur"". Ask other adventurers and members of the community where you might find them!",,,
623,Just For Fun,"Rumors have been swirling about an exceedingly rare belt, known as the ""Waist of Time"". Ask other adventurers and members of the community where you might find it!",,,
624,Just For Fun,Still wearing last year's fashion? A transmogrifier can change your gear's appearance from drab to fab. We hear that spikes are in this year.,,,
625,Copper Coin,There appears to be a single copper coin tucked into your Adventure Guide.,"Sweet, free money!",,
626,Silver Coin,There appears to be a single silver coin tucked into your Adventure Guide.,"Sweet, free money!",,
627,Gold Coin,There appears to be a single gold coin tucked into your Adventure Guide.,"Sweet, free money!",,
628,Bag of Coins,There appears to be a bag of coins tucked into your Adventure Guide.,"Sweet, free money!",,
629,Mysterious Coin,There appears to be an unusual coin tucked into your Adventure Guide.,"Sweet, free money?",,
630,Field of Ferocity,Gather some friends (or whoever's nearby) and complete the Field of Ferocity questline in Ohn'ahran Plains!,,Completing this questline will unlock an additional world quest.,
631,Engine of Innovation,Complete the Engine of Innovation questline that starts in Valdrakken to earn Sparks of Ingenuity. Sparks of Ingenuity are used to make extremely powerful crafted items!,,Sparks of Ingenuity can be used to create items at item level 382 and higher. Sample item:,
632,Revival Catalyst,Speak with Antuka near the Great Vault in Valdrakken to unlock the Revival Catalyst. The Revival Catalyst can imbue your weapons and armor with the wisdom and might of Tyr himself!,,,
634,Event: The Storm's Fury,Aid the Timewalker Resistance within the Primalist Future in their battle against the Primalists for epic rewards.,Start Quest,,
635,Event: The Storm's Fury,Aid the Timewalker Resistance within the Primalist Future in their battle against the Primalists for rewards.,,,
636,Event: The Storm's Fury,Aid the Timewalker Resistance within the Primalist Future in their battle against the Primalists for epic rewards.,,,
637,Sparks of Life: The Forbidden Reach,Kazure in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
638,"Trading Post, Collector's Cache",Tender is ready for collection at the Trading Post.,,,
639,"Trading Post, Open for Business",Visit the T&W Trading Post in Stormwind to browse the exotic goods and learn how you can earn them.,Accept Quest,,
640,"Trading Post, Open for Business",Visit the Zen'kala Trading Post in Orgrimmar to browse the exotic goods and learn how you can earn them.,Accept Quest,,
641,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
642,"Trading Post, Open for Business","Visit Stormwind or Orgrimmar to see a multitude of mystical, magical items that are available to purchase this month. Be sure to review your Traveler's Log to see this month's activities.",,,
643,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
644,Hidden Legacies,Delve into the mysteries of the dracthyr left behind during their escape.,Accept Quest,,
645,Orc Heritage Armor,"Help Eitrigg restore the Kosh'harg festival from old Draenor, and prove yourself a true champion of your people!",Accept Quest,,
646,Human Heritage Armor,The SI:7 and an unlikely ally need your help unraveling the mystery of a stolen artifact! Meet Master Mathias Shaw behind Stormwind Keep in search of clues...,Accept Quest,,
647,Academic Assistance,"Learn to understand, and eventually speak, the language of the Winterpelt furbolg as you help Sonova Snowden crack their peculiar dialect and earn their trust.",Accept Quest,,
649,Zskera Vault: Az,Delve into Neltharion's lost vaults in search of answers... and treasure!,Accept Quest,,
650,Zskera Vault: Ur,Delve into Neltharion's lost vaults in search of answers... and treasure!,Accept Quest,,
651,Zskera Vault: Ix,Delve into Neltharion's lost vaults in search of answers... and treasure!,Accept Quest,,
652,Zskera Vault: Kx,Delve into Neltharion's lost vaults in search of answers... and treasure!,Accept Quest,,
653,Zskera Vault,Delve into Neltharion's lost vaults in search of answers... and treasure!,Accept Quest,,
654,Old Hatreds,"Mayla Highmountain is worried about Baine, who has travelled alone to the Ohn'ahran Plains in search of a missing friend. Seek out Mayla in Valdrakken to learn more.",,,
655,Sparks of Life:  Zaralek Cavern,Bram  in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
656,Old Hatreds,"Mayla Highmountain is worried about Baine, who has travelled alone to the Ohn'ahran Plains in search of a missing friend. Seek out Mayla in Valdrakken to learn more.",,,
657,Old Hatreds,"Mayla Highmountain is worried about Baine, who has travelled alone to the Ohn'ahran Plains in search of a missing friend. Seek out Mayla in Valdrakken to learn more.",,,
658,"Aberrus, the Shadowed Crucible",Forces seeking to claim Neltharion's legacy have raided his laboratory in search for power. Heroes must venture into the darkness and ensure the crucible's experiments don't fall into the wrong hands.,Find Group,,
659,Raid Finder: Discarded Works,"Neglected for millenia, Neltharion's creations have twisted into something monstrous. If left unchecked, they could bring unfathomable destruction to the Dragon Isles.",Join Raid,,
660,Raid Finder: Fury of the Giants,The Zaqali warband has launched a devastating assault on the crucible in order to find and free their missing Elder.,Join Raid,,
661,Raid Finder: Neltharion's Shadow,Something stirs in the dark that once corrupted the Earth-Warder... and it is eager to claim new victims.,Join Raid,,
662,Raid Finder: Edge of the Void,"Sarkareth stands at the edge of the abyss, seeking to claim power, and what's left of Neltharion's legacy.",Join Raid,,
663,Dawn of the Infinite,The Infinite Dragonflight has invaded the Bronze Temple. Help Nozdormu and Chromie take back the Timeways!,Join Group,,
664,Blue Dragons,Meet with Kalecgos to help reunite the Blue Dragons.,Accept Quest,,
665,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
