ID,Name_lang,SourceText_lang,Description_lang
372,Wooly White Rhino,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,"Captured by Toby ""Mother Goose"" Ironbolt on the Borean Tundra, this shaggy beast carries an enormous grudge after being bridled by a gnome."
373,Vashj'ir Seahorse,|cFFFFD200Quest: |rThe Abyssal Ride|n|cFFFFD200Zone: |rKelp'thar Forest,"Stubborn until broken, these underwater mounts provide the swiftest means of travel around the depths of Vashj'ir."
375,Frosty Flying Carpet,|cFFFFD200Profession: |rTailoring,"""I remember my first flying carpet... yeti hair and burlap.  Not nearly as nice as this one here."" - Frozo the Renowned"
376,Celestial Steed,|cFFFFD200Trading Post|r,A beacon of hope; a guiding light in the darkness.
382,X-53 Touring Rocket,|cFFFFD200Recruit-a-Friend |r,Riding a giant cylinder filled with highly explosive goblin rocket fuel all by yourself is just crazy...so bring a friend.
386,Fossilized Raptor,|cFFFFD200Profession: |rArchaeology,Legends tell of a spell placed upon a hunting raptor who dared to snarl at young Tyrande Whisperwind as she bathed in a jungle pool. The beast is cursed to wander Azeroth -  until it apologizes.
388,Goblin Trike,|cFFFFD200Vendor: |rKall Worthaton|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"A compilation of nuts, bolts, gears, and treated wood paneling make for an unusually smooth ride."
389,Goblin Turbo-Trike,|cFFFFD200Vendor: |rKall Worthaton|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The turbo trike's tri-wheel design adds superior stability and a smaller turn radius over its two wheeled cousins.
391,Volcanic Stone Drake,|cFFFFD200Achievement: |rGlory of the Cataclysm Hero|n|cFFFFD200Category: |rDungeons & Raids,"Fire can transform stone in exciting ways, but never let the Stonemother know I said that. -Earthcaller Yevaa"
392,Drake of the East Wind,|cFFFFD200Achievement: |rGlory of the Cataclysm Raider|n|cFFFFD200Category: |rDungeons & Raids,"In Deathwing's mad quest to forge new dragons, he ignored amazing breeds never before seen on Azeroth. -Thrall"
393,Phosphorescent Stone Drake,|cFFFFD200Drop:|r Aeonaxx|n|cFFFFD200Location:|r Deepholm|n,"The Stonemother has shown little concern for the rebellious Aeonaxx, even allowing his spawn to be taken from her realm."
394,Drake of the West Wind,|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Exalted,"Harnessing the elemental powers of the storm, these majestic beasts crackle like lightning and roar like thunder."
395,Drake of the North Wind,|cFFFFD200Drop: |rAltairus|n|cFFFFD200Zone: |rThe Vortex Pinnacle,They sicken of the calm who know the storm.
396,Drake of the South Wind,|cFFFFD200Drop: |rAl'Akir|n|cFFFFD200Zone: |rThrone of the Four Winds,"Gentle as a summer breeze, but that says little considering where it came from. -Itesh"
397,Vitreous Stone Drake,|cFFFFD200Drop: |rSlabhide|n|cFFFFD200Zone: |rThe Stonecore,"Those would be perfect in a pendant, and that would make a fantastic ring. Let me know if this thing sheds or molts or whatever. -Kalinda"
398,Brown Riding Camel,|cFFFFD200Vendor: |rBlacksmith Abasi|n|cFFFFD200Zone: |rUldum|n|cFFFFD200Faction: |rRamkahen - Exalted|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Fennimore Quigley is credited with milking the first camel and breaking the record for ""longest unintentional flight,"" all in the same afternoon."
399,Tan Riding Camel,|cFFFFD200Vendor: |rBlacksmith Abasi|n|cFFFFD200Zone: |rUldum|n|cFFFFD200Faction: |rRamkahen - Exalted|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Fennimore Quigley is credited with milking the first camel and breaking the record for ""longest unintentional flight,"" all in the same afternoon."
400,Grey Riding Camel,|cFFFFD200Drop: |rDormus the Camel-Hoarder|n|cFFFFD200Zone: |rFeralas,"Fennimore Quigley is credited with milking the first camel and breaking the record for ""longest unintentional flight,"" all in the same afternoon."
401,Dark Phoenix,|cFFFFD200Vendor: |rGuild Vendors|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Despite their name, Dark Phoenixes are known to have a warm and cheerful disposition."
403,Golden King,|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Don't let the saddle fool you, he's wild, not a tame lion."
404,Ultramarine Qiraji Battle Tank,|cFFFFD200Profession: |rArchaeology,The Tol'vir sorcerer Azj'Aqir was said to possess a scepter that would allow him to control a Qiraj battle tank outside of its Silithus home.
405,Spectral Steed,|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Exalted|n|cFFFFD200Cost: |r165|Hcurrency:391|h|Tinterface\icons\achievement_zone_tolbarad.blp:0|t|h,Dark spirits flee before the radiance of its presence.
406,Spectral Wolf,|cFFFFD200Vendor: |rPogg|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rHellscream's Reach - Exalted|n|cFFFFD200Cost: |r165|Hcurrency:391|h|TInterface\ICONS\Achievement_Zone_TolBarad.blp:0|t|h,Fears only fire.
407,Sandstone Drake,|cFFFFD200Profession: |rAlchemy,Sandstone Drakes were studied in great detail long ago by the famed alchemist Walleye Sprysprocket. It has even been said that Walleye developed potions to mimic the drakes' physiology.
408,Mottled Drake,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay|n,I thought the thing was ill until it took to the air. It flies as true as any of my own. -Alexstrasza
409,Kor'kron Annihilator,|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Vicious in battle and surprisingly loyal, this battle scorpion serves only those who show true commitment to a powerful guild."
410,Armored Razzashi Raptor,|cFFFFD200Drop: |rBloodlord Mandokir|n|cFFFFD200Zone: |rZul'Gurub,"The purebred royal raptors of Zul'Gurub, these mounts have become a rare sight in Stranglethorn Vale. The Gurubashi have been known to fly into a rage at the sight of any non-troll riding one of their precious beasts."
411,Swift Zulian Panther,|cFFFFD200Drop: |rHigh Priestess Kilnara|n|cFFFFD200Zone: |rZul'Gurub,"The jungle trolls have long coveted panther fangs, using them for rituals or as ingredients in mojos."
412,Amani Dragonhawk,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,Dragonhawks liberated from troll enslavement are considered among the most loyal of all their kin.
413,Flameward Hippogryph,|cFFFFD200Achievement: |rThe Molten Front Offensive|n|cFFFFD200Category: |rCataclysm,"Flameward Hippogryphs revel in the defeat of Ragnaros, Lord of Fire."
415,Pureblood Fire Hawk,|cFFFFD200Drop: |rRagnaros|n|cFFFFD200Zone: |rFirelands,Legends state that the Pureblood line may be traced back to the very creation of the Firelands.
416,Felfire Hawk,|cFFFFD200Achievement:|r Mountacular|n|n,"Felfire is deadly to the touch.  Luckily, the hawk can suppress the flames, choosing not to incinerate its rider in an emerald effigy."
417,Corrupted Fire Hawk,|cFFFFD200Achievement: |rGlory of the Firelands Raider|n|cFFFFD200Category: |rDungeons & Raids,Millagazor was a fire hawk loyal to Ragnaros. At this time it is unknown how many of Millagazor's eggs were corrupted.
418,Savage Raptor,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay|n,"One-time companion of Kanga the Primal, the fallen troll hero. The raptor's name is unknown, for Kanga only spoke to it in bear form."
419,Amani Battle Bear,|cFFFFD200Drop:|r Kasha's Bag,The Amani trolls decorate these ferocious mounts in magic amulets and ceremonial masks as a way to venerate the bear god Nalorakk.
420,Subdued Seahorse,|cFFFFD200Drop: |rPoseidus|n|cFFFFD200Zone: |rVashj'ir,"""One has not truly lived until they have felt the tidal current rushing through their hair while atop a majestic seahorse,"" said no one.  Ever."
421,Winged Guardian,|cFFFFD200In-Game Shop|r,"Unearthed recently in an ancient tomb, this mighty winged lion may have once served one of the ancient Tol'vir princes."
422,Vicious War Steed,|cFFFFD200Achievement: |rVeteran of the Alliance II|n|cFFFFD200Category: |rRated Battleground,Armored to withstand collisions in battle.
423,Vicious War Wolf,|cFFFFD200Achievement: |rVeteran of the Horde II|n|cFFFFD200Category: |rRated Battleground,"At Warchief Hellscream's command, Horde trainers began raising wolves to thrive in the shock and ferocity of sustained combat."
424,Vicious Gladiator's Twilight Drake,|cFFFFD200Legacy|r,Heroes who proved their might in the gladiatorial arenas during the Cataclysm were awarded the most exceptional of the twilight drake broods.
425,Flametalon of Alysrazor,|cFFFFD200Drop: |rAlysrazor|n|cFFFFD200Zone: |rFirelands,"As with their matriarch, Alysrazor, the fury and fervor of these elemental avians are unquenchable."
426,Swift Shorestrider,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,"A rarity amongst the tallstrider breeds of Kalimdor, but easily recognized by its pungent dead seaweed aroma."
428,Ruthless Gladiator's Twilight Drake,|cFFFFD200Legacy|r,Heroes who proved their might in the gladiatorial arenas during the Cataclysm were awarded the most exceptional of the twilight drake broods.
429,Swift Forest Strider,|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r180 |Hcurrency:515|h|Tinterface\icons\inv_misc_ticket_darkmoon_01.blp:0|t|h|n,This vibrant breed can only be found in the forests of Darkmoon Island.
430,Swift Springstrider,"|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Zone: |rDurotar, Eversong Woods, Mulgore, Tirisfal Glades, Azuremyst Isle, |nDun Morogh, Elwynn Forest, Teldrassil|n|cFFFFD200Cost: |r500|Hitem:44791|h|TINTERFACE\ICONS\ACHIEVEMENT_NOBLEGARDEN_CHOCOLATE_EGG.BLP:0|t|h|n","The joys of Noblegarden are best when celebrated with this loyal, loving, and blandly-colored freak of nature."
431,Swift Lovebird,|cFFFFD200World Event:|r Love is in the Air|n|n|cFFFFD200Vendor: |rLovely Merchant (Alliance)|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r270|Hitem:49927|h|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|h|n|n|cFFFFD200Vendor: |rLovely Merchant (Horde)|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r270|Hitem:49927|h|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|h,It's like red but not quite.
432,White Riding Camel,|cFFFFD200Vendor:|r Landro Longshot|n|cFFFFD200Location:|r Booty Bay|n,"Fennimore Quigley is credited with milking the first camel and breaking the record for ""longest unintentional flight,"" all in the same afternoon."
433,Corrupted Hippogryph,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,It is a sad fact that even the wise and majestic hippogryph may fall prey to corruption.
434,Darkmoon Dancing Bear,|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r180|Hcurrency:515|h|TINTERFACE\ICONS\INV_Misc_Ticket_Darkmoon_01.blp:0|t|h|n|n,"These fearsome mounts have a habit of suddenly breaking out into dance amid battle, much to the annoyance of their riders."
435,Mountain Horse,|cFFFFD200Vendor: |rAstrid Langstrump|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Images of this breed are often found on kegs of watered-down dwarven brew.
436,Swift Mountain Horse,|cFFFFD200Vendor: |rAstrid Langstrump|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Longs for the day it may return to its home in Gilneas.
439,Tyrael's Charger,|cFFFFD200Trading Post|r,A symbol of justice throughout all known realms.
440,Spectral Gryphon,|cFFFFD200Promotion:|r Scroll of Resurrection|n,"When you said an old friend was coming back, this was not quite what I expected. -Bralla Cloudwing"
441,Spectral Wind Rider,|cFFFFD200Promotion:|r Scroll of Resurrection|n,How do you not fall right through that thing? -Maztha
442,Blazing Drake,|cFFFFD200Drop:|r Elementium Fragment|n|cFFFFD200Location:|r Dragon Soul,"Blazing Drakes exhibit a boundless passion for life, and are considered by many to be among the most loyal mounts on Azeroth."
443,Twilight Harbinger,|cFFFFD200Achievement: |rGlory of the Dragon Soul Raider|n|cFFFFD200Category: |rDungeons & Raids,Whatever dark magic once compelled the Twilight Harbinger is now broken... or is it?
444,Life-Binder's Handmaiden,|cFFFFD200Drop:|r Elementium Fragment|n|cFFFFD200Location:|r Dragon Soul|n|n,"Alexstrasza, the former dragon Aspect of Life, is known to be a kind and patient mentor. Under her tutelage, only the most dedicated pupils acquire the title of ""Life-Binder's Handmaiden."""
445,Experiment 12-B,|cFFFFD200Drop:|r Lesser Cache of the Aspects|n|cFFFFD200Location:|r Dragon Soul|n,"Some believe Experiment 12-B is the result of a covert SI-7 initiative, others consider it the outcome of embyronic tinkering by goblin scientists. No matter the case, this much is certain: given its strength, speed and agility, Experiment 12-B was a success!"
446,Heart of the Aspects,|cFFFFD200In-Game Shop|r,"You are Azeroth's true guardians and the future of this world is in your hands, for the dawning of the age of mortals has begun. - Alexstrasza"
447,Feldrake,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,"Fighting the Burning Legion millennia ago, this valiant drake fell to corruption after its body was infused with raw demonic magic."
448,Jade Cloud Serpent,|cFFFFD200Quest: |rRiding the Skies|n|cFFFFD200Zone: |rThe Jade Forest,Jade Cloud Serpents are light and agile; quick and deadly.
449,Azure Water Strider,|cFFFFD200Vendor: |rNat Pagle|n|cFFFFD200Zone: |rKrasarang Wilds|n|cFFFFD200Faction: |rThe Anglers - Exalted|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Normally bugs are for bait, but how could you look into its eyes and even think that?"" -Nat Pagle"
450,Pandaren Kite,|cFFFFD200Achievement: |rPandaren Ambassador|n|cFFFFD200Category: |rPandaria,"This ""mount,"" awarded by the Lorewalkers of Pandaria, is a reward to the hero of their organization."
451,Jeweled Onyx Panther,|cFFFFD200Profession:|r Jewelcrafting|n,Trade Prince Gallywix recently ordered dozens of these glittering jewel-encrusted mounts to roam the grounds of his pleasure palace.
452,Green Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
453,Great Red Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Packaged upgrades include; dual-lantern fog lights, emergency brew keg, and genuine Tanji leather seat.""  - Turtlemaster Odai"
454,Cindermane Charger,|cFFFFD200Recruit-a-Friend|r,Formed by Ragnaros himself as a gift for the daughter he never had.
455,Obsidian Nightwing,|cFFFFD200Recruit-a-Friend|r ,"When you can't run, you crawl, and when you can't crawl you find someone to carry you."
456,Sapphire Panther,|cFFFFD200Profession: |rJewelcrafting,Legends say that an ancient pandaren emperor crafted the first jeweled panther for his son after the boy's twin brother died of an illness.
457,Jade Panther,|cFFFFD200Profession:|r Jewelcrafting|n,Legends say that an ancient pandaren emperor crafted the first jeweled panther for his son after the boy's twin brother died of an illness.
458,Ruby Panther,|cFFFFD200Profession: |rJewelcrafting,Legends say that an ancient pandaren emperor crafted the first jeweled panther for his son after the boy's twin brother died of an illness.
459,Sunstone Panther,|cFFFFD200Profession: |rJewelcrafting,Legends say that an ancient pandaren emperor crafted the first jeweled panther for his son after the boy's twin brother died of an illness.
460,Grand Expedition Yak,|cFFFFD200Vendor: |rUncle Bigpocket|n|cFFFFD200Zone: |rKun-Lai Summit|n|cFFFFD200Cost: |r120000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,These beasts of burden are known to carry over five times their own weight and to be capable of lasting several days without food or water.
462,Kafa Yak,|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria,It's unclear whether grummles named this yak after its color or purpose.
463,Amber Scorpion,|cFFFFD200Vendor: |rAmbersmith Zikk|n|cFFFFD200Zone: |rDread Wastes|n|cFFFFD200Faction: |rThe Klaxxi - Exalted|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The Klaxxi ride massive scorpions into battle against their enemies.  A carapace hardened by amber provides superior protection while on the battlefield.
464,Azure Cloud Serpent,|cFFFFD200Quest: |rRiding the Skies|n|cFFFFD200Zone: |rThe Jade Forest,Azure Cloud Serpents are believed by the Pandaren to be harbingers of good fortune.
465,Golden Cloud Serpent,|cFFFFD200Quest: |rRiding the Skies|n|cFFFFD200Zone: |rThe Jade Forest,Golden Cloud Serpents are a treasure to be enjoyed by all who visit the continent of Pandaria.
466,Thundering Jade Cloud Serpent,|cFFFFD200Vendor: |rShay Pressler (Alliance)|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rGoram (Horde)|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"From their infancy, Thundering Cloud Serpents are drawn to storms. They have been known to chase lightning through the blackened, roiling clouds, and to bathe in the pouring rain."
467,Cataclysmic Gladiator's Twilight Drake,|cFFFFD200Legacy|r,Heroes who proved their might in the gladiatorial arenas during the Cataclysm were awarded the most exceptional of the twilight drake broods.
468,Imperial Quilen,|cFFFFD200Promotion:|r Mists of Pandaria Collector's Edition,"Favorite pets of the ancient Mogu princes, Quilen make loyal and fearless companions and mounts."
469,Depleted-Kyparium Rocket,|cFFFFD200Profession: |rEngineering,When Kyparite is depleted of its amber essence it becomes fairly resistant to the corrosion from rocket fuel.
470,Geosynchronous World Spinner,|cFFFFD200Profession: |rEngineering,This rocket was originally designed to speed up the rotation of the world making for shorter nights.  Gnomes with insomnia can have lofty goals.
471,Onyx Cloud Serpent,|cFFFFD200Quest:|r Surprise Attack!|n|cFFFFD200Location:|r Townlong Steppes|n,"Onyx Cloud serpents are known to be more aggressive and daring than their cousins, the Heavenly Onyx Cloud Serpents."
472,Crimson Cloud Serpent,|cFFFFD200Achievement: |rGlory of the Pandaria Hero|n|cFFFFD200Category: |rDungeons & Raids,"Crimson Cloud Serpents are given to flights of fancy, striking out on a whim for seemingly random journeys, sometimes for days at a time."
473,Heavenly Onyx Cloud Serpent,|cFFFFD200Drop:|r Sha of Anger|n|cFFFFD200Location:|r Kun-Lai Summit,"Heavenly Onyx Cloud Serpents are born with violet scales covering the entirety of their body. Over time, these scales darken to the color of onyx."
474,Heavenly Crimson Cloud Serpent,|cFFFFD200Achievement: |rGlory of the Pandaria Raider|n|cFFFFD200Category: |rDungeons & Raids,Heavenly Crimson Cloud Serpents are considered to be among the noblest of dragons.
475,Heavenly Golden Cloud Serpent,|cFFFFD200Vendor: |rMistweaver Ku|n|cFFFFD200Zone: |rTimeless Isle|n|cFFFFD200Faction: |rEmperor Shaohao - Exalted,"Warmth and hope emanate from this great creature, which glows like a sunrise over the mountains."
476,"Yu'lei, Daughter of Jade",|cFFFFD200Vendor: |rMistweaver Xia|n|cFFFFD200Zone: |rTimeless Isle|n|cFFFFD200Cost: |r5000|Hcurrency:1166|h|TInterface\Icons\pvecurrency-justice.BLP:0|t|h,"Warmth and wisdom emanate from this great creature, which glows like moonlight passing through the finest jade."
477,Heavenly Azure Cloud Serpent,|cFFFFD200Achievement: |rLord of the Reins|n|cFFFFD200Category: |rMounts,"Warmth and serenity emanate from this great creature, which glows like the cloudless sky of a summer afternoon."
478,Astral Cloud Serpent,|cFFFFD200Drop:|r Cache of Pure Energy,It is believed that Astral Cloud Serpents possess answers to some of life's greatest mysteries. Pity they can't talk.
479,Azure Riding Crane,|cFFFFD200Vendor: |rJaluu the Generous|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n|cFFFFD200Faction: |rGolden Lotus - Exalted|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The majestic crane is a treasured friend of the pandaren.
480,Golden Riding Crane,|cFFFFD200Vendor: |rJaluu the Generous|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n|cFFFFD200Faction: |rGolden Lotus - Exalted|n|cFFFFD200Cost: |r2500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The crane is a symbol of wisdom and nobility, their ability to carry us into the skies is nothing short of miraculous. - Jaluu the Generous"
481,Regal Riding Crane,|cFFFFD200Vendor: |rJaluu the Generous|n|cFFFFD200Zone: |rVale of Eternal Blossoms|n|cFFFFD200Faction: |rGolden Lotus - Exalted|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The crane is a symbol of wisdom and nobility. Their ability to carry us into the skies is nothing short of miraculous. - Jaluu the Generous
482,Jungle Riding Crane,|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria,"A beloved mount in southern Pandaria, the jungle crane is known for its speed and agility honed over a lifetime of avoiding Krasari tigers."
484,Black Riding Yak,|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria,"Grummles traveling Kun-Lai Summit by night prefer to ride this dark-haired yak to remain unseen, though they remove the bells from its caparison first."
485,Modest Expedition Yak,|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria,"Unlike its burden-bearing kin, this yak prefers to travel light and go no more than a mile at a time."
486,Grey Riding Yak,|cFFFFD200Vendor: |rUncle Bigpocket|n|cFFFFD200Zone: |rKun-Lai Summit|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Riding Yaks are bred to be slimmer and more agile than their kin.
487,Blonde Riding Yak,|cFFFFD200Vendor: |rUncle Bigpocket|n|cFFFFD200Zone: |rKun-Lai Summit|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Riding Yaks are bred to be slimmer and more agile than their kin.
488,Crimson Water Strider,|cFFFFD200Vendor: |rNat Pagle|n|cFFFFD200Zone: |rGarrison: Fishing Shack|n|cFFFFD200Faction: |rNat Pagle - Honored|n|cFFFFD200Cost: |r100|Hitem:117397|h|TINTERFACE\ICONS\INV_Misc_Coin_19.blp:0|t|h,"""Normally bugs are for bait, but how could you look into its eyes and even think that?"" -Nat Pagle"
492,Black Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
493,Blue Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
494,Brown Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
495,Purple Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
496,Red Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren."
497,Great Green Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Packaged upgrades include; dual-lantern fog lights, emergency brew keg, and genuine Tanji leather seat.""  - Turtlemaster Odai"
498,Great Black Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Packaged upgrades include; dual-lantern fog lights, emergency brew keg, and genuine Tanji leather seat.""  - Turtlemaster Odai"
499,Great Blue Dragon Turtle,|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""Packaged upgrades include; dual-lantern fog lights, emergency brew keg, and genuine Tanji leather seat.""  - Turtlemaster Odai"
