ID,Name_lang,Location_lang,Description_lang
566,Strait and Narrow,[ph],An enemy carrier has seized control of the Darktide Strait. Losing that waterway would hurt Horde shipping concerns worldwide. Our course is clear.
567,Back in My Day...,[ph],A true warrior would only hunt a sub in bad weather. Barefoot. In arctic waters. Against the current. Both ways.
568,"One, Two... Plenty",[ph],"Outmanned thirty to one. Alliance weaklings would call this a risky fight. In the Horde, we call it a target-rich environment."
569,Luck Is Also a Skill,[ph],"Battleship counters destroyer, but carrier counters battleship. Sub counters carrier, but destroyer counters sub. In short, luck will decide this fight."
570,Fools and Their Gold,[ph],"The city of Elodor houses the draenei's leaders, who are allied with the Alliance. Teach both groups a lesson: seize one of their gold shipments."
571,The Shimmer Moor,[ph],"The so-called dragons living here are fragile mounts, but foolish draenei pay well for them. Divert their latest cargo of gold to a better cause: ours."
572,Do You Feel Lucky?,[ph],"When Alliance forces sailed to Shadowmoon, their ship arrived intact. Maybe draenei aren't as cursed as we thought. Maybe they even brought gold with them."
573,"Skulls, Spikes, Everything Nice",[ph],The mail armor in this vessel's cargo hold will serve us well once we spice it up a bit.
574,Look Good in Leather,[ph],This vessel is taking a cargo full of leather armor to Alliance fighters in Zeth'Kur. Leather shouldn't be wasted on them. Isn't lace more their thing?
575,"A Journey, Not a Destination",[ph],This Alliance carrier is heading for Stormshield with fresh troops and supplies. But it's a long journey between Shadowmoon Valley and Ashran.
576,Far From Home,[ph],Cowardly Alliance dogs have begun targeting our carriers even when they are far from Shadowmoon waters. Show them what a true threat looks like.
577,With Their Boots On,[ph],"The waters around Shadowmoon Valley are regularly patrolled by Alliance subs, but these two are far from shore. They look lonely. Let's send them company."
578,Made for Walking,[ph],"If we steal Alliance-bound boots, and a barefoot Alliance mage trips and dies, would that count as a Horde victory? Why, yes. Plus, hey, new boots."
579,Mayhem by the Moonlit Shore,[ph],Horde vessels wanted for Alliance raid. Must love plunder and long walks on the beach. High tolerance for the colors blue and violet a plus.
580,By Our Bootstraps,[ph],"Alliance forces in Shadowmoon have an easy life. Lush forests, mild weather, supply shipments... maybe even fresh bacon. Make those bastards pay."
581,"Mail Delivery, Rain or Shine",[ph],"The Earthen Ring kindly requests that all plundered mail armor be divided equally among those who wear it. Otherwise, the elements might become displeased."
582,"Steel Fist, Silk Glove",[ph],"A shipment of tailored goods from Shadowmoon Valley is headed for our enemies in Stormshield. Intercept it, and share in the spoils."
583,Say No to Southern Exposure,[ph],"Draenei-crafted plate is just as sturdy as Horde-crafted plate. Tell your soldiers they will seize and wear this cargo, or they will go naked into battle."
584,Circle of Life,[ph],"Another day, another Alliance shipment to Ashran. Are they trying to be stealthy, heading so far east before circling back to Stormshield? Pathetic."
585,The Tanaan Channel,[ph],"An enemy carrier guards the channel entrance. If we take it out, we can storm Scuttler's Coast to the north, and cut off Alliance shipments to the south."
586,Alakazam,[ph],"With Archmage Khadgar elsewhere on business, an enemy vessel has secured the eastern passage into Zangarra. They expect a fight. Let's not disappoint them."
587,"If It Shines, It's Mine",[ph],This vessel is carrying plenty of plate armor; Alliance soldiers just happen to be wearing it. Why are you letting Alliance scum wear your armor?
588,It's a Trap,[ph],This destroyer looks to be disabled far from land. But our scouts report this is just an act: a submarine is circling in the waters below.
589,Heart of the Sea,[ph],These radiant and perilous waters absorbed their magical properties from precious stones lining the sea floor. Such a gem would make a powerful necklace.
590,The Cerulean Lagoon,[ph],"The name sounds peaceful, but your crew should bring gas masks. The atmosphere here tends to be toxic, which is doubtless why the Horde sent a sub."
591,Bring Home the Bacon,[ph],Frostboar Point is tactically worthless; it hardly merits a carrier patrol. Somehow the Horde has discovered our plans to export the area's boars.
592,Spring Is Never Coming,[ph],The orcs who named the Coldsnap Coast didn't mean that its weather was a temporary cold spell. They meant the cold would snap most people in two.
593,The Stonefury Cliffs,[ph],"Bloodmaul ogres live here alongside their ogron masters, who constantly hammer the ground with boulders. All in all, it's a fun getaway spot."
594,Tastes Like Chicken,[ph],Frostangler Bay is a virtual cornucopia of disgusting-looking marine life. But it's palatable enough if you cook it properly. Bring back a fat haul.
595,Come Fel or High Water,[ph],"Horde forces plan to attack the Icescar Boneyard. If they fail, their deaths will only fuel the Shadow Council's foul sorcery. Stop the Horde, whatever it takes."
596,Zangar Shore,[ph],"Several races on Draenor offer excellent pay for these giant mushrooms. That said, the shortsighted Horde will quickly wipe them out if we don't intervene."
597,The Burning Glacier,[ph],"Yes, it's constantly snowing here, but it also has volcanic activity. No, it's never a comfortable temperature. Look, you're not going ashore anyway."
598,Cold Shoulder,[ph],"This far north, Horde forces seem to think themselves safe from our ships. But then thinking never was their strong suit."
599,Mind Over Metal,[ph],"Battleship counters destroyer, but carrier counters battleship. Sub counters carrier, but destroyer counters sub. Thus, skill will be this fight's deciding factor."
600,You Pull a Gun,[ph],"Driven by bloodlust, orc animals target our carriers even when they're far from Frostfire waters. We won't meekly endure this aggression. Strike back."
601,Dead Orcs Don't Need Boots,[ph],Stop complaining. You never know: they might not smell that bad.
602,Far Too Many Notes,[ph],"Our spies have noted regular supply shipments to Wor'gol via the Southwind Cliffs. The Horde hasn't noted our noting them. We've noted that, too."
603,Pedal to the Metal,[ph],"These Horde vessels are rounding Highmaul on their way north. If ogres don't seize their cargo of plate armor, it will soon outfit our enemies. Stop them."
604,Glacier Bay,[ph],"When Horde forces sailed to Frostfire, their ship arrived mostly intact. Perhaps orcs aren't witless brutes. Unless they left behind valuable cargo."
605,Hand-Me-Downs,[ph],Pretend you're getting them from a big brother or sister. But give them a thorough scrubbing before you put them on. Just in case.
606,"The Touch, the Feel",[ph],The orcs of Throm'var are supplying the Horde with fine furs and supple leather. Such a pity they'll be used to garb our boorish foes.
607,Heavy Metal,[ph],"These battleships are so overburdened with cargo, their sailors hardly need to swab the decks. Teach them the value of caution, and lighten their load."
608,Take up the Gauntlet,[ph],Hellscream's forces have recently grown scarce along the Orunai Coast. Now the Horde dares to use it as drop-off point for cargo.
609,Razorfin Grin,[ph],"Take out that enemy supply ship, but act quickly if anyone goes overboard. The orcs don't call it Frostbite Deep for nothing."
610,The Lernaean Shore,[ph],"Procuring quality leather can be tedious, but the Horde plans to shell the hydras here and skin them. Exhausting work. Perfect setup for a lucrative win."
611,Death Metal,[ph],Shipments for Wor'gol must first pass through the Pale Cove's treacherous currents and jagged rocks. That will be the perfect time for us to strike.
612,It's All the Rage,[ph],"Orcish cloth armor is just as soft and comfortable as ours. Tell your magi they will seize and wear this cargo. No exceptions, gnomes. Make it work."
613,"Finders, Keepers",[ph],A Horde warrior bound for Frostfire Ridge clumsily dropped a magic necklace overboard. Put him and his vessel out of their misery.
614,[ph],[ph],[ph]
615,"It's a Boat, It's a Plane, It's... Just a Riverbeast.",[ph],"The Iron Horde swooped in when they identified a rogue submarine closing in on their stronghold.  Unfortunately for them, it was just a riverbeast."
616,The Wave Mistress,[ph],The deep waters of Draenor's oceans have seen many deaths and precious little peace. This ship and its crew are doomed to wander the seas for eternity.
617,On the Rocks,[ph],"This ghost ship lies in wait, attacking unwary sailors who approach the treacherous shoals off Gorgrond's eastern coast."
618,"Blood, Gold, and Regret",[ph],"Seizing a fortune proved this destroyer's undoing. Its crew turned on each other, only to become cursed ghosts, unable to spend the gold they gave their lives for."
619,Orphaned Aquatic Animal Rescue,[ph],A young shark has been abandoned in a storm off the coast of Nagrand.  Defend it from the Iron Horde and it will likely follow you home.
620,Gold in Their Holds,[ph],"Uncharted waters proved deadly to these sailors, who still roam the area as murderous ghosts. That said, they were well paid before their deaths."
621,Unafraid of Ghosts,[ph],"On the one hand, great riches. On the other hand, furious walking corpses. Oh, come now. We all know what choice you're going to make."
622,Nothing Gold Can Stay,[ph],"Sabotaged by spies, these carriers sank on their way to battle. Denied a glorious death in battle, their ghostly crews sink other ships out of bitterness."
623,How to Pierce Thick Armor,[ph],"The hulls of destroyers are so thick, it's impossible to pierce it with normal ammunition.  We've crafted battleships with the sole purpose of penetrating destroyer armor."
624,Transport Escort,[ph],Transport ships are required to deliver troops to battle or to load up valuable cargo.  Take a transport on this training mission and ensure it reaches its destination intact.
625,Sneaking.  Sea Style.,[ph],We designed submarines specifically to sneak up on unsuspecting carriers.  We've set up a carrier in the bay. See if you can sneak up on it.
626,Bomber Target Practice,[ph],The best way to take out battleships is by air.  Take a carrier out and have your ace bomber pilots put some holes into it.
627,[ph],[ph],[ph]
628,Fine Tuning Depth Charges,Evanescent Sea,We've set up submarines at different depths off the coast of Shadowmoon Valley.  Take a destroyer out and train them in the art of sub hunting.
629,How to Pierce Thick Armor,Evanescent Sea,"The hulls of destroyers are so thick, it's impossible to pierce it with normal ammunition.  We've crafted battleships with the sole purpose of penetrating destroyer armor."
630,Bomber Target Practice,Evanescent Sea,The best way to take out battleships is by air.  Take a carrier out and have your ace bomber pilots put some holes into it.
631,Weapons Test,Evanescent Sea,[ph]
632,Air Assault,Evanescent Sea,[ph]
633,Stalking the Master,The Barrier Sea,Capture Ironfist Harbor and interrogate prisoners as to the whereabouts of Gul'dan's flagship.
634,Giving Chase,The Briny Depths,Captured prisoners indicated that Gul'dan's flagship was last seen in this area of dangerous shoals.
635,Test Mission Anders,A Place,"Should give you a huge success chance boost, if it's the first mission of the day. Also should give you a cool item!"
636,A Little Combat,Tanaan Channel,A Horde sub has been spotted spying around our base.  Take your new destroyer out and end it.
637,A Supply Pickup,Ironhold Harbor,Our forward outpost has additional blueprints drafted up and a prototype ship.  Take the transport out and load up the shipment.
638,A Little Combat,Zangar Sea,An Alliance sub has been spotted spying around our base.  Take your new destroyer out and end it.
639,A Supply Pickup,Zangar Sea,Our forward outpost has additional blueprints drafted up and a prototype ship.  Take the transport out and load up the shipment.
640,Test Communication,Evanescent Sea,[ph]
641,High and Low,Evanescent Sea,[ph]
642,Hotter Than Fel,[ph],"Countless munitions are created in Blackrock Foundry, then infused with fel energies in Hellfire Citadel. It's vital that we intercept or destroy whatever we can."
643,All Fel Breaks Loose,[ph],"Keeping the Iron Reaver in good repair is a full-time job, and it requires a steady supply of parts from Blackrock Foundry. Disrupt that supply."
644,War Is Fel,[ph],"Blackrock Foundry regularly ships newly forged cannons to Tanaan, where they bolster Hellfire Citadel's defenses. Every ship we sink saves thousands of lives."
645,Hunting the Pillars,Azsuna,There is someone out here who knows about the Pillars of Creation. We must find them.
646,Brothers in Arms,Azsuna - Illidari Stand,We need the most fearless Illidari to join our cause if we are to have any chance of defeating the Legion.
647,Black Market Journal,[ph],A waterlogged crate has washed up on shore.  Break through the Iron Horde and pick it up.
648,Finding a Gateway,Azsuna,"If we can find a usable Legion gateway, we can launch an assault on one of their worlds and take it as our own."
649,For Hate's Sake,[ph],"Vhaka the Vile and her crew once terrorized Draenor's seas, killing and plundering without remorse. Cursed for their evil deeds, they lash out at the living."
650,The House Always Wins,[ph],"Although his surprise attacks were legend, Giras the Guileful was just as infamous for his gambling addiction. Even now he's said to enjoy wagering on cards or dice."
651,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
652,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
653,[ph],[ph],[ph]
654,[ph],[ph],[ph]
655,[ph],[ph],[ph]
656,[ph],[ph],[ph]
657,[ph],[ph],[ph]
658,[ph],[ph],[ph]
659,Transport Escort,[ph],Transport ships are required to deliver troops to battle or to load up valuable cargo.  Take a transport on this training mission and ensure it reaches its destination intact.
660,[ph],[ph],[ph]
661,[ph],[ph],[ph]
662,[ph],Evanescent Sea,[ph]
663,Swamplighter Honey,Shadowmoon Valley,"The sticky, sweet liquid inside of swamplighter hives is highly combustible. Extract some and we can use it as a crude oil substitute."
664,Abyssal Core,Talador,"The white-hot cores of the abyssals assaulting Shattrath could be useful as a compressed fuel source, if we can obtain a few."
665,Poundface,Gorgrond,Poundface has cornered a small group of our allies bringing oil from the Blackrock Foundry. Help them get the oil back to our garrison.
666,Restless Dead,Nagrand,An elder Warsong shaman's spirit has been disturbed by unrest in Nagrand. The ogres would be willing to trade some supplies with us if we can put it to rest.
667,Not The Bees!,Spires of Arak,Our allies in Spires of Arak have requested our aid against a large swarm of ravager wasps threatening their oil-pumping operations.
668,Crystal Power,Auchindoun,"Deep within Auchindoun, Draenei power crystals still hum with life. We can surely use them as a source of fuel."
669,Watery Woes,The Everbloom,Two enormous watery monsters guard a strange oil-producing plant deep in the Everbloom. We should investigate.
670,Super Slag Siblings,Bloodmaul Slag Mines,Two powerful ogres have taken over a portion of the mines containing a shipment of valuable fuel.
671,Visions of the Void,Shadowmoon Burial Grounds,Terrible void creatures are coming from a deep chasm in the burial grounds. There may be other valuables down there as well.
672,Eye of the Beast,Blackrock Mountain,A master of beasts has been seen escorting a shipment of oil to Blackrock Mountain. Stop him!
673,Every Rose,Gorgrond,"A group of podlings has been spotted near some recently-formed tar pits in Gorgrond. If we defeat them, we can extract the fuel."
674,Foul Feeders,Spires of Arak,The corrupting blood in Spires of Arak has turned the carrion-consuming species into undead monstrosities.
675,Resources at the Ridge,Frostfire Ridge,"A decrepit ogre caravan was spotted in Frostfire, surrounded by hostile wildlife. It looks like they were hauling oil."
676,Vile Bloods,Shadowmoon Valley,The void's effect on Draenor has become more pronounced. Vile bloods of the land are emerging.
677,Death's Bite Again?,Talador,"A powerful spider named Death's Bite has returned as an undead, and terrorizes Talador yet again."
678,Fiery Friends,Blackrock Foundry,"A group of tiny fiery puppies was spotted deep within Blackrock Foundry. If we save them, we may be able to raise them."
679,Breaker Two,Gorgrond,Two enormous breakers have been spotted out on Gorgrond. What better way to test our might?
680,Burning Blademasters,Nagrand,A group of burning blademaster spirits has been roused by the activities in Nagrand. We should investigate.
681,Arakkoa Ancestry,Spires of Arak,Some ancient artifacts containing untold knowledge are being jealously guarded by arakkoa out in Spires of Arak.
682,Ogrecoming Adversity,Frostfire Ridge,The ogres found a huge supply cache out in Frostfire Ridge. Who's up for some ogre hunting?
683,Blizzard Convention,Frostfire Ridge,A group of frost furies has gathered in the snowy wastes of Frostfire Ridge and laid waste to a caravan carrying valuable weaponry.
684,Eldritch Horrors,Talador,Rumors abound of terrible demons near Shattrath that could drive a follower insane by just looking at them.
685,Monstrous Menagerie,Tanaan Jungle,"Tanaan Jungle is a harsh landscape, home to some of the most powerful beasts on this world."
686,The Consuming Void,Shadowmoon Burial Grounds,"A deep chasm, filled with blackness, was found deep within the burial grounds. Who knows what horrors await us there?"
687,The Botani Stirr,Shadowmoon Valley,"The botani of Shadowmoon have regrown, stonger than ever. Let us show them our might and test ourselves in the process."
688,A Convenient Truth,[ph],A local privateer has offered their service attacking the Alliance around Shadowmoon.  All you have to do is smuggle some goods past the Iron Horde blockade in the South Sea.
689,A Convenient Truth,[ph],A local privateer has offered their service attacking the Alliance around Shadowmoon.  All you have to do is smuggle some goods past the Iron Horde blockade in the South Sea.
690,A Convenient Truth,[ph],A local privateer has offered their service attacking the Horde around Frostfire.  All you have to do is smuggle some goods past the Iron Horde blockade in the South Sea.
691,A Convenient Truth,[ph],A local privateer has offered their service attacking the Horde around Frostfire.  All you have to do is smuggle some goods past the Iron Horde blockade in the South Sea.
692,It's Not a Gravy Boat...,[ph],"Captain Thokash found himself outgunned by a host of Alliance ships.  If you assist, he will deploy to the north to increase the experience gain of your fleet."
693,It's Not a Gravy Boat...,[ph],"Captain Reania found herself outgunned by a host of Horde ships.  If you assist, she will deploy to the north east to increase the experience gain of your fleet."
694,Kraken the Whip,[ph],"A Kraken is floating face down, surrounded by a fleet of Iron Horde ships.  Free it from the Iron Horde grasp and it may be willing to help."
695,Kraken the Whip,[ph],"A Kraken is floating face down, surrounded by a fleet of Iron Horde ships.  Free it from the Iron Horde grasp and it may be willing to help."
696,The Neutralizer,[ph],"The Iron Horde discovered an abandoned airship base south of Nagrand.  If we defend the base, we can launch air support for Tanaan."
697,The Neutralizer,[ph],"The Iron Horde discovered an abandoned airship base south of Nagrand.  If we defend the base, we can launch air support for Tanaan."
698,Enterprising Solutions,[ph],"An Iron Horde shipment containing maps to treasure, hidden under the sea in Nagrand, is headed through the Tanaan Sea.  If you intercept it, you can use the maps for yourself."
699,Enterprising Solutions,[ph],"An Iron Horde shipment containing maps to treasure, hidden under the sea in Nagrand, is headed through the Tanaan Sea.  If you intercept it, you can use the maps for yourself."
701,Hotter Than Fel,[ph],"Countless munitions are created in Blackrock Foundry, then infused with fel energies in Hellfire Citadel. It's vital that we intercept or destroy whatever we can."
702,Hotter Than Fel,[ph],"Countless munitions are created in Blackrock Foundry, then infused with fel energies in Hellfire Citadel. It's vital that we intercept or destroy whatever we can."
703,Hotter Than Fel,[ph],"Countless munitions are created in Blackrock Foundry, then infused with fel energies in Hellfire Citadel. It's vital that we intercept or destroy whatever we can."
704,Hotter Than Fel,[ph],"Countless munitions are created in Blackrock Foundry, then infused with fel energies in Hellfire Citadel. It's vital that we intercept or destroy whatever we can."
705,All Fel Breaks Loose,[ph],"Keeping the Iron Reaver in good repair is a full-time job, and it requires a steady supply of parts from Blackrock Foundry. Disrupt that supply."
706,All Fel Breaks Loose,[ph],"Keeping the Iron Reaver in good repair is a full-time job, and it requires a steady supply of parts from Blackrock Foundry. Disrupt that supply."
707,All Fel Breaks Loose,[ph],"Keeping the Iron Reaver in good repair is a full-time job, and it requires a steady supply of parts from Blackrock Foundry. Disrupt that supply."
708,All Fel Breaks Loose,[ph],"Keeping the Iron Reaver in good repair is a full-time job, and it requires a steady supply of parts from Blackrock Foundry. Disrupt that supply."
709,War Is Fel,[ph],"Blackrock Foundry regularly ships newly forged cannons to Tanaan, where they bolster Hellfire Citadel's defenses. Every ship we sink saves thousands of lives."
710,War Is Fel,[ph],"Blackrock Foundry regularly ships newly forged cannons to Tanaan, where they bolster Hellfire Citadel's defenses. Every ship we sink saves thousands of lives."
711,War Is Fel,[ph],"Blackrock Foundry regularly ships newly forged cannons to Tanaan, where they bolster Hellfire Citadel's defenses. Every ship we sink saves thousands of lives."
712,War Is Fel,[ph],"Blackrock Foundry regularly ships newly forged cannons to Tanaan, where they bolster Hellfire Citadel's defenses. Every ship we sink saves thousands of lives."
713,To Fel and Back,[ph],Kilrogg Deadeye has made his choice. Now his Bleeding Hollow orcs travel to Hellfire Citadel and return to Tanaan empowered by demonic blood.
714,To Fel and Back,[ph],Kilrogg Deadeye has made his choice. Now his Bleeding Hollow orcs travel to Hellfire Citadel and return to Tanaan empowered by demonic blood.
715,To Fel and Back,[ph],Kilrogg Deadeye has made his choice. Now his Bleeding Hollow orcs travel to Hellfire Citadel and return to Tanaan empowered by demonic blood.
716,To Fel and Back,[ph],Kilrogg Deadeye has made his choice. Now his Bleeding Hollow orcs travel to Hellfire Citadel and return to Tanaan empowered by demonic blood.
717,Blockade: Zangar Sea,Zangar Sea,The Horde have set up a blockade around their garrison.  Break through and you can raid the Horde navy.
718,Blockade: Zangar Sea,Zangar Sea,The Horde have set up a blockade around their garrison.  Break through and you can raid the Horde navy.
719,Blockade: Zangar Sea,Zangar Sea,The Horde have set up a blockade around their garrison.  Break through and you can raid the Horde navy.
720,Blockade: Zangar Sea,Zangar Sea,The Horde have set up a blockade around their garrison.  Break through and you can raid the Horde navy.
721,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
722,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
723,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
724,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
725,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
726,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
727,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
728,Blockade: Barrier Sea,Barrier Sea,Assault the Iron Horde defense in the Barrier Sea to unlock access to the waters around Tanaan.  Success grants access to Hellfire Citadel naval missions.
729,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
730,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
731,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
732,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
733,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
734,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
735,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
736,Blockade: South Sea,The South Sea,Push the Iron Horde out of the South Seas by defeating their blockade.  Success grants access to the primal resources around Nagrand.
737,Blockade: Evanescent Sea,Evanescent Sea,The Alliance have set up a blockade around their garrison.  Break through to raid and plunder.
738,Blockade: Evanescent Sea,Evanescent Sea,The Alliance have set up a blockade around their garrison.  Break through to raid and plunder.
739,Blockade: Evanescent Sea,Evanescent Sea,The Alliance have set up a blockade around their garrison.  Break through to raid and plunder.
740,Blockade: Evanescent Sea,Evanescent Sea,The Alliance have set up a blockade around their garrison.  Break through to raid and plunder.
741,It's Not a Gravy Boat...,[ph],"Captain Reania found herself outgunned by a host of Horde ships.  If you assist, she will deploy to the north east to increase the experience gain of your fleet."
742,It's Not a Gravy Boat...,[ph],"Captain Thokash found himself outgunned by a host of Alliance ships.  If you assist, he will deploy to the north to increase the experience gain of your fleet."
745,Oil Rig: Pickup Location,[ph],Pick up a shipment of oil from your off-shore oil rig.
746,Jungle Supplies,Zangar Sea,"Our troops in Tanaan have some more equipment to pick up, but it's not safe to send it alone.  Take a transport and a destoyer out to make the drop."
747,Jungle Supplies,Zangar Sea,"Our troops in Tanaan have some more equipment to pick up, but it's not safe to send it alone.  Take a transport and a destoyer out to make the drop."
750,Ambush on the High Seas,The Briny Depths,Gul'dan has sent submarine hunter-killers to thwart your mission. Lure them into a trap!
751,In Hot Pursuit,The Briny Depths,You've located Gul'dan's flagship! Maneuver with the wind to take out her carrier escort...
752,Boarding the Master's Call,The Briny Depths,"You've run Gul'dan's flagship aground, but now all her guns are trained toward the sea. Prepare for the worst."
753,Reconnaissance: Azsuna,Broken Isles,"Azsuna appears to be an idyllic island teeming with wildlife. Reports of magical activity in the area, however, suggest that not all is as it sems."
754,Reconnaissance: Val'Sharah,Val'Sharah,"Val'Sharah once stood as the heart of druidism on Azeroth, the mighty world tree Shaladrassil standing tall at its center. There are sure to be long-lost secrets hidden in its thickets that would be useful against the Legion."
755,Reconnaissance: Highmountain,Highmountain,Highmountain is all that stands of the range that once divided Suramar from the northern lands. Rumor has it that the leader of an ancient tauren tribe on the lonely mountain's slopes wields a relic of legendary power.
756,Reconnaissance: Stormheim,Stormheim,"Once grazing land for the beasts of the Suramar elves, the bluffs of Stormheim now serve as the capital of an ancient race of Vrykul that fled the northern lands after the Great Sundering."
757,Never Leave a Knight Behind,Dalaran,Our scouts report seeing a knight trapped by a horde of demons. Destroy the demons and bring our brother in arms home.
758,The Creeping Nightmare,Val'Sharah,The forces of Nightmare are closing in on a sacred moonwell. We can't let it fall into darkness.
759,Calling Their Bluff,Stormheim,A Fel Lord may be building up forces in the harsh northern bluffs.
760,Coastal Treasure,Stormheim,There is a powerful beacon of the Light somewhere in Stormheim. We should find it.
761,Tides of War,Stormheim,The Legion is planning to launch a coastal assault on Stormheim. We need to find out where.
762,"The ""Emissary""",Highmountain,We've heard whispers that a demon has been offering the Highmountain tauren dark power.
763,The Last Shrine,Highmountain,There is a powerful beacon of the Light somewhere in Highmountain. We should find it.
764,Protecting the Innocent,Highmountain,A captured imp told us his masters were planning to attack a Highmountain tauren village - we need to figure out which one.
765,Test 7.0 mission 1,Nowhere in particular 1,Description of test mission 1
766,Test 7.0 mission 2,Nowhere in particular 2,Description of test mission 2
767,Test 7.0 mission 3,Nowhere in particular 3,Description of test mission 3
768,The Veteran,Dalaran,"We can go after the heavy hitters later, right now we need someone who has seen everything. There is one that has been in every war for the past few decades and can do more than kill."
769,Growing the Order,Dalaran,"The only way to strengthen our order is through continued focus and training. There is an ancient master who may be willing to share his martial secrets. Seek him out and train with him, and return stronger and wiser."
770,A Master Summoner,Dalaran,We will need to recruit a master summoner to assist the Council. A warlock of a notable family was rumored to be spotted in Dalaran.
771,An Offer They Can't Refuse,Dalaran,We believe we can lure a worthwhile rogue into our order with the right... motivation.
772,Never Trust a Mage,Dalaran,The mages of Dalaran seem trustworthy... but are they?
773,The Other City of Mages,Ogri'la,"Akazamzarak knows where he can find a whole city of mages, so long as you don't mind the smell."
774,A Walk in the Park,Aszuna,.
775,Demons Abound,Aszuna,The Demon invasion has begun.
776,Seeker of Secrets,Aszuna,"The Naga have secrets, seek them out."
777,The Tides of War,Aszuna,"A sea giant is running rampant, lets hope size doesnt matter."
778,Zone Support - Aszuna,Aszuna,Send a follower on this mission to have extra support while in Azsuna.
779,Zone Support - Suramar,Suramar,Send a follower on this mission to have extra support while in Suramar
780,Zone Support - Val'Sharah,Val'sharah,Send a follower on this mission to have extra support while in Val'sharah.
781,Zone Support - Highmountain,Highmountain,Send a follower on this mission to have extra support while in High Mountain.
782,Zone Support - Stormheim,Stormheim,Send a follower on this mission to have extra support while in Stormheim.
783,Zone Support - The Broken Shore,The Broken Shore,Send a follower on this mission to have extra support while in The Broken Shore.
784,Zone Support - Thal'Dranath,Thal'Dranath,Send a follower on this mission to have extra support while in Thal'Dranath.
785,Invasion - Aszuna,Aszuna,Demons have invaded Azsuna en masse!  Reinforcements are required immediately to counter this threat.
786,Assault on Black Rook,Val'sharah,"Black Rook must fall, send our forces to weaken their defenses."
787,Darkness Falls,Val'sharah,Among the trees of Val'sharah a number of enemies lie in wait.
788,Wailing Good Time,Val'sharah,"The swamps outside Bradensbrook are wailing.  See whats causing the noise, and silence it."
789,Harpies of The Haglands,Highmountain,Harpies in the Haglands have started raiding our nearby camps for supplies.
790,Smashed to Smithereens,Highmountain,The murlocs have made a foothold in the wrecks at Shipwreck Cove.  Clear them out.
791,Calling their Bluff,Highmountain,The Feltotems at Torok's Bluff are assaulting our troops as they make passage through the pass.  Show them the error of their ways.
792,Meat for the troops,Stormheim,The troops are in need of a feast to reward them for their efforts.  Lets get some Goat on the menu.
793,Skorn in our side,Stormheim,"The Tideskorn are have made a push to new areas of Stormheim, and its not appreciated.  Take care of them."
794,Assault on the Gates of Valor,Stormheim,The time has come to clear out the demon forces at the gates of Valor.  Ready your best.
795,Invasion - Stormheim,Stormheim,Demons have invaded Stormheim en masse!  Reinforcements are required immediately to counter this threat.
796,Invasion - Highmountain,Highmountain,Demons have invaded Highmountain en masse!  Reinforcements are required immediately to counter this threat.
797,Invasion - Val'sharah,Val'sharah,Demons have invaded Val'sharah en masse!  Reinforcements are required immediately to counter this threat.
798,Invasion - Suramar,Suramar,Demons have invaded Suramar en masse!  Reinforcements are required immediately to counter this threat.
