ID,Description_lang,Title_lang
2159,Find a way to cross Ariden's spirit barrier.,Grasp of the Damned
2160,Defeat the guardian of the Dark Riders' vault.,Removal Protocols
2161,Find Apocalypse among the Dark Riders' artifacts.,The World-Ender
2162,Follow Ariden into the depths of the Karazhan catacombs.,The Rider's Prize
2163,Follow and defeat Ariden.,The Fate of the Son
2164,Claim Apocalypse.,Apocalypse
2166,Slay Mglrrp.,Mglrrp
2167,Fish up the Gloaming Frenzies.,Fishing
2168,Defend the Violet Hold against the Legion incursion.,Assault on Violet Hold
2170,Defend the Violet Hold against the Legion incursion.,Assault on Violet Hold
2171,The ritual has been thwarted but void energy remains! Defeat it!,Don't Fear the Reaper
2175,Help Meryl Felstorm battle the dreadlord Kathra'natir.,Engage the Enemy
2176,Destroy the Siphoning Rifts that are draining the Forge of the Guardian of its power.,The Forge Restrained
2177,Activate the Forge of the Guardian.,The Power of the Guardians
2178,Use the power granted by the Forge of the Guardian to defeat Kathra'natir.,The Dreadlord's Downfall
2179,Help Meryl Felstorm and Alodi to transport the Forge of the Guardian to a safe location.,"Keep it Secret, Keep it Safe"
2180,The Lich King await's news of your success. Use Baron Sliver's Death Gate to travel to Icecrown.,The Call of Icecrown
2181,Listen to Meryl Felstorm.,A Small Victory
2203,The ghost of Thoradin is being tortured by the cultists. Slay the ritualists and free him.,The Ghost King
2204,The ghost has much information. Follow Thoradin and listen to his tale.,Thoradin's Folly
2205,Speak with Nobundo.,A Ring Unbroken
2206,Help the scattered shaman.,We Glorious Few
2207,Defeat the Infernals.,Melee at the Maelstrom
2208,Use Torra's spear to bring down the felbat Falthus.,Felling the Felbat
2209,Activate the Maelstrom Pillar to defeat Geth'xun.,Master of Storms
2210,The broken seal beckons from the lake bottom. Enter the Tomb of Tyr.,The Tomb of Tyr
2211,The prison entrance is blocked with corruption. Cleanse the tomb of the corrupting void tendrils.,Cleansing the Desecration
2212,The corrupter has finally appeared. Slay Soth'ozz and complete the cleansing of the tomb.,The Root of the Corruption
2213,"The way below is uncovered, make your way to the prison of Zakajz.",The Dark Passage
2214,Zakajz is struggling to defend itself. Draw out the sword and perform the final blow!,A Quick Execution
2215,Zakajz is awake but neither fully healed or fully in control of its mind. Fight it back into unconsciousness!,To Kill a C'Thraxxi
2216,"Zakajz has been defeated again, but it is not permanent. Take up Strom'kar and deal the final true blow.",The Warbreaker
2220,Claim the Deadwind Harvester.,
2221,The Twilight's Hammer has set up a temporary camp up here. Investigate the camp for clues.,The Twilight Camp
2224,The Blades are purged of the corruption. Claim them as your own.,The Hungering Cold
2225,A golden val'kyr named Danica has arrived to collect the souls of the worthy. Watch the ritual.,The Val'kyr
2227,Claim the Scythe of Elune.,The Scythe Reclaimed
2233,How to fill a bar!,Fill the bar
2234,This is the final step! (cm 109970),A Final Step
2235,Prove your worth and claim the Aegis of Aggramar.,Halls of Valor
2236,Repel the Legion's forces throughout Northern Barrens.,Repel the Legion Forces
2237,Twilight cultists are camped near the entrance. Investigate what they are doing here.,Culling the Cultists
2243,Infiltrate the Court of Stars and confront Grand Magistrix Elisande.,Court of Stars
2244,Infiltrate the Court of Stars and confront Grand Magistrix Elisande.,Court of Stars
2255,Help Vereesa search the Inquisitor's overlook for Alleria.,Where Is She?
2257,Defend against the Legion threat at the Crossroads.,Defend the Crossroads
2259,Something terrible has happened here - speak to Skylord Omnuron to get answers.,The Legion's Devastation
2269,Archdruid Hamuul Runetotem and his allies' wounds require your aid.,Saving the Injured
2270,Speak to Lyessa to begin the cleansing ritual.,The Renewal Begins
2272,Protect Lyessa while she completes the ritual.,Cleansing the Corruption
2274,Call upon the souls of the forest and eliminate Destromath.,Nature's Wrath
2275,Free Azuregos from the ethereals by defeating the Voidtouched Channelers binding him and restore his health.,The Azure Prisoner
2277,Reach the Librarium to find a way into the Nexus Vault.,Seeking Answers
2278,Defeat Judgment's Flame.,Cleansed by Holy Fire
2279,Defeat Nexus-Prince Bilaal.,Consumed by Void
2280,Seize control of Light's Wrath.,A Will of Fire
2281,Claim Light's Wrath and leave the Nexus Vault.,To Wield the Flame
2282,Heal and recruit the beleaguered sea giant.,Big Help
2283,"Find and free the missing shaman, Wavespeaker Adelee.",Rescue Wavespeaker Adelee
2284,Defeat Kra'liss.,Secure the Central Junction
2286,Ascend to the upper level and lead your party through the waves.,Water Gauntlet
2287,Defeat Lady Zithreen.,Destroy the Sea Witch
2288,Pick up Sharas'dal.,Acquire Sharas'dal
2291,"Speak with Grif and meet his vrykul guide, Prustaga.",Making Introductions
2292,Reach the Rift.,The Way Out is Through
2293,Defeat the Legion Commander threatening the Crossroads.,Defeat the Demon Commander
2298,Scour Volund's Hoard for a sign of Titanstrike.,Every Nook and Cranny
2299,Two of Caria's lieutenants are performing a dark ritual. They must be stopped.,A River of Souls
2300,Find the entrance to the tomb of Warlord Volund inside the Tomb of Ancient Kings.,Tomb Raider
2301,Assist Prustaga in opening the door to Volund's tomb.,Volund's Hoard
2302,Claim the Aldrachi Warblades as your own.,Right by Ascension
2304,Learn how to use Judgment.,Judging Your Enemies
2305,Learn how to use Blade of Justice.,Bring Some Justice
2317,Learn how to use Crusader Strike.,Crusading Around
2318,Learn how to use Divine Shield.,You're So Divine
2319,Learn how to use Flash of Light.,Flashing Lights
2320,Learn how to use Templar's Verdict.,What's the Verdict?
2321,Use what you have learned to defeat a solo opponent.,A Quick Test
2325,Give the staff to Lyessa to complete the ritual.,The Moment of Truth
2327,Creatures of the Nightmare are attacking the Spirit of Ursoc! Slay them!,The Light In The Dark
2363,Engage Akaari Shadowgore while you have the element of surprise.,The Unseen Blade
2364,The Soulkeeper is in a deep trance. Obtain the key he has dangling from his belt.,The Key
2366,Akaari has sent Inquisitor Xirus to stop you.,The Eyes of the Deceiver
2367,Find Akaari Shadowgore atop the citadel.,Ascension
2368,Kill Akaari Shadowgore.,A Duel of Fate
2369,Wield the Fangs of the Devourer.,Master of Shadows
2370,Use all your new abilities on the target dummy.,Putting It All Together
2371,Leave the airship and join the assault.,Orders from Command
2372,"Wield G'Hanir, the Mother Tree.",G'Hanir Reborn
2373,Defeat the Legion Commander threatening Sentinel Hill.,Defeat the Demon Commander
2389,Prove your worth and claim the Aegis of Aggramar.,Halls of Valor
2390,You've arrived at Shield's Rest. Meet up with Orik and prepare to enter the tomb.,Island Landing
2391,Inside the tomb lies the Shrine of the Truthguard. Overcome any defenses and find the shrine.,Into the Tomb
2392,The way is open and the shrine awaits. The shield is below somewhere. Find it.,Shrine of the Truthguard
2393,Learn about Call Pet.,Call a Friend
2394,"Yrgrim, wielder of the Truthguard has challenged you to a trial by combat. Complete the trial to earn his respect.",Yrgrim's Challenge
2395,The trial is over. Take up the Truthguard.,The Truthguard
2396,Learn about summoning a Voidwalker.,Demonic Bidding
2397,Learn about Unstable Affliction.,Start With Some Unstability
2398,Learn about Agony and Corruption.,Torturous Afflictions
2399,Learn about Shadow Bolt.,Shadow Manifest
2400,Learn about Maelefic Rapture.,Rapturous Torment
2401,Use all your new abilities on the target dummy.,Putting It All Together
2402,Learn about Drain Life.,Stealing Health
2403,Learn about Fear.,Fear
2404,Defend the airship!,Defend Against the Attack
2405,Leave the airship and join the assault.,Orders from Command
2406,You've emerged upon a ship of the Burning Legion to find your allies have become seperated in battle. Help Vindicator Boros recover from his injuries.,Heal Vindicator Boros
2407,The door to the shrine is the first trial. Survive its test.,Opening the Door
2408,Learn about Kill Command.,"Pet, Attack!"
2409,Learn about Barbed Shot.,Razor Sharp
2410,Learn about Cobra Shot.,Cobra Strike
2411,Learn about Bestial Wrath.,You Won't Like Us When We're Mad...
2412,Use all your new abilities on the target dummy.,Putting It All Together
2413,Learn about Multi-Shot.,Shooting Every Target
2414,Learn about Feign Death.,Playing Possum
2415,Defend the airship!,Defend Against the Assault
2416,Leave the airship and join the assault.,Orders from Command
2417,Open the cage to free the captured prisoner and defeat Captain Naranoth.,A Friend in Need
2421,Follow Vindicator Boros and assist Jace.,To the Rescue
2422,Learn about Shadow Word: Pain.,A Little Bit of Pain
2423,Warlord Volund seeks to stop you from claiming Titanstrike.,Volund's Last Stand
2424,Use the teleportation pad to join Mimiron in Ulduar.,Answering the Call
2425,Defeat Lady Calindris with the help of your allies.,The Den of Evil
2426,With Lady Calindris dead the staff is now yours. Take it and leave Niskara.,The Beacon Relighted
2427,Learn about Flame Shock.,A Pinch Of Fire
2428,Learn about Charge.,Charging Headfirst Into Battle
2429,Learn about Raise Dead.,Bringing Out The Dead
2430,Learn about Tiger Palm.,Ferocious Strike
2431,Learn about Cat Form.,Embrace the Feline Side
2432,Learn about Lava Burst.,Lava Launcher
2433,Learn about Lightning Bolt.,Lightning Bolt!
2434,Learn about Earth Shock.,Let It Rock
2435,Use all your new abilities on the target dummy.,Putting It All Together
2436,Learn about Hex.,"Ribbit,  Ribbit."
2437,Learn about Chain Lightning.,Shocking the World
2438,Learn about Healing Surge.,Dousing Your Wounds
2439,Use what you have learned to defeat a solo opponent.,A Quick Test
2440,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2441,Assist your allies and escape the hold of the Burning Legion ship.,Breaking Out
2442,Travard's team is set up in the abandoned Twilight camp. Meet up with him.,The Empty Camp
2443,The skull should be within Felsoul Hold. Make your way down the path and search for it.,Searching the Hold
2444,Enter the tomb complex with Travard and get to Tyr's crypt.,Clearing the Way
2445,Repel the Legion's forces throughout Westfall.,Repel the Legion Forces
2446,Defeat Lord Naranoth.,What Evil Comes
2447,Tyr's crypt is overrun with crazed aberrations. Clear them out to begin the ritual.,Keeper's Rest
2448,Travard wants to begin the ritual. Aid him.,The Broken Ritual
2449,A critical part of the ritual was taken below. Retrieve the piece.,Into the Dark
2450,Learn about Fire Elemental.,Unleashing The Elements
2452,Converse with Thorim and prepare for Prustaga's arrival.,"Thorim, Lord of Thunder"
2453,The giant aberration has the piece. Slay it and retrieve the piece.,The Maw of the Beast
2454,"Unstable void energies are gathering, follow Travard back up to the crypt before the area is consumed.",Escaping the Prison
2455,Some of the paladins are wounded or covered in void magic. Free them by cleansing and healing them.,Aid to the Fallen
2456,"Everyone is out of the passage, but something large and malevolent is coming up from below. Run with Travard to the crypt.",Something is Coming
2457,Travard must complete the ritual to unlock the hammer from the wards. Defend the crypt until he is finished!,Ritual Defense
2458,The Silver Hand is free. Claim it before Mordoth overwhelms the defenders!,The Silver Hand
2466,Free Azuregos from the ethereals.,The Azure Prisoner
2467,Reach the Librarium to find a way into the Nexus Vault.,Seeking Answers
2468,Defeat the Echo of Aluneth.,Echoes of Ancient Power
2469,Reach the Rift.,The Way Out is Through
2470,Defeat Nexus-Prince Bilaal.,Consumed by Void
2471,Seize control of Aluneth.,Breaking and Binding
2472,Claim Aluneth and leave the Nexus Vault.,The Power of Aegwyn
2473,"Now that you have the key, free yourself from the cage and reclaim your weapons.",Escape Artist
2474,Fend off Prustaga's vrykul allies.,Battle is Joined
2475,Defeat the Felborn Overfiend.,Getting Over the Overfiend
2476,Mephistroth has escaped with the skull. Find a way across his trap and chase after him!,Demon Hunting
2477,"Mephistroth has sent his minions after you. Survive their assault until Lady Tyrana and Pain Mistress Nikta arrives, then kill them.",The Legion
2478,Mephistroth is attempting to destroy the skull! Clear the way to his ritual site and stop him!,Screams of the Skull
2479,Mephistroth has escaped but the skull is intact. Take it.,The Skull of the Man'ari
2480,Prustaga is absorbing Titanstrike's power. She must be stopped!,Madness of the Usurper
2481,Bind Hati's spirit to your own to save her life.,Heart of Thunder
2482,You must wield Titanstrike so Hati's absorbed power can return to the legendary rifle.,The Power of the Titans
2483,Return to Dalaran with Grif.,Odyssey's End
2490,Learn about Mortal Strike.,Take A Big Swing At It
2491,Learn about Slam.,Slamming it Home
2492,Learn about Overpower.,Smash Them To Pieces
2493,Learn about Victory Rush.,Such a Rush
2494,Use all your new abilities on the target dummy.,Putting It All Together
2495,Learn about Whirlwind.,Take It For A Spin
2496,Learn about Heroic Leap.,Jump Into The Fray
2497,Use what you have learned to defeat a solo opponent.,A Quick Test
2498,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2499,Defeat the Legion Commanders threatening Gadgetzan.,Defeat the Demon Commanders
2500,Repel the Legion's forces throughout Tanaris.,Repel the Legion Forces
2501,Defeat the demon lord commanding the invasion at Gadgetzan.,Defeat the Demon Lord
2502,The skull is yours! Step through its portal to depart this place.,There's a New Master in Town
2506,You've come to the ruins of Falanaar in search of Verstok and the Fangs of Ashamane. Search for clues as to where Verstok has disappeared to.,On the Prowl
2511,Learn about Rising Sun Kick.,A Kick to the Face
2512,Learn about Blackout Kick.,Kick It Again
2513,Learn about Fists of Fury.,A Thousand Strikes
2514,Use all your new abilities on the target dummy.,Putting It All Together
2515,Learn about Roll.,Keep on Rollin'
2516,Learn about Vivify.,Re-Vivified!
2517,Use what you have learned to defeat a solo opponent.,A Quick Test
2518,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2525,"Verstok's scent leads into the ruins, but the door is sealed shut. Find a way to open it.",Where There's a Withered There's a Way
2526,Meryl is here preparing for the assault. Speak with him and Alodi to begin preparations.,Preparations
2527,Give Nat your Gloaming Frenzies.,Delivery
2528,"The Fel Dampening Wards must be placed at highly visible locations to be seen. Fight to the locations, setup the wards, and defend them.",Placing the Wards
2529,"The wards are activated, it is time to begin the ritual. Go to the Altar of End Times and speak with Meryl Felstorm.",The Altar of End Times
2530,Use the Ritual Focus whenever possible to complete the ritual.,The Great Ritual
2531,Balaadur has swept you up into his realm. Slay the eredar lord.,Showdown in the Realm of Madness
2532,Ebonchill lies near the fallen demon. Claim it for your own.,Ebonchill
2533,Follow Verstok's trail into the temple depths.,"Onward, Upward, and Downward"
2534,The power of the Fangs has driven Verstok insane. Subdue him.,It's a Furball
2535,Learn about Prowl.,Skulking Around
2536,Learn about Shred.,Shred them to Pieces
2537,Learn about Rake.,Break out the Claws
2538,Learn about Ferocious Bite.,Bite 'em
2539,Learn about Rip.,Rip It Up
2540,Use all your new abilities on the target dummy.,Putting It All Together
2541,Learn about Dash.,Dashing Around
2542,Learn about Regrowth.,Mending Your Wounds
2543,Use what you have learned to defeat a solo opponent.,A Quick Test
2544,Leave the airship and join the assault.,Orders from Command
2545,"Verstok has fled into a series of caves beneath the ruins, find him.",Into the Darkness
2546,You've found Verstok caught in the web of a horrific creature. Slay it.,In a Tangled Web
2547,The Fangs of Ashamane are yours. Take them.,The Fangs of Ashamane
2548,Master Mathias Shaw awaits at the Stormwind gates.,On High Alert
2549,Meet with Elling Trias and obtain a smoke bomb.,Live Drop
2550,Use the smoke bomb to create a distraction in the Trader's Hall.,Tricks of the Trade
2551,Fish up what's been disturbing the frenzies.,What's below?
2552,Ride upon Ebonfang to return to the Dreamgrove.,To the Grove
2553,You have successfully pierced the holy barriers protecting the Black Temple. Confer with Altruis the Sufferer and prepare to confront Akama.,You CAN Go Home
2554,Follow Caretaker G33-WH12 through the Antechamber.,Follow the Caretaker
2558,Escape the chaos and meet Garona at the Pig and Whistle Tavern in Old Town.,Rendezvous
2559,Defeat the invaders.,Remove the Infestation
2560,Enter the tavern and make Althea Ebonlocke tell you where her master lies.,We Need Answers
2561,You must find the Herald in Stormwind Keep before he summons the Legion into the city!,On the Trail
2562,It's up to you to assassinate Melris and put and end to this once and for all.,Marked for Death
2563,Take up the Kingslayers as your own.,A Dark Gift
2564,Mathias Shaw has kindly provided you with transportation to Dalaran.,Taking Your Leave
2565,The gates to the Temple Summit proper are closed. Akama is on the other side. Have your Illidari force a way in.,Nothing Will Bar Our Way
2566,Enter the Temple Summit and confront Akama. Convince him to join you in taking the fight to the Burning Legion's worlds.,Confronting an Old Foe
2567,"Akama will not be persuaded by words. Perhaps force will do the trick. But, how to win and not lose in doing so?",If He Will Not Listen to Reason...
2568,Akama is defeated. Speak with him and convince him to join you.,A Final Attempt at Diplomacy
2569,Learn about Penance.,Holy Bolts
2570,Learn about Smite.,In Smite of Overwhelming Obstacles
2571,Use all your new abilities on the target dummy.,Putting It All Together
2572,Learn about Power Word: Shield.,A Shield From Your Enemies
2573,Learn about Psychic Scream,Playing Mind Games
2574,Learn about Atonement.,Healed Through Others' Suffering
2575,Use what you have learned to defeat a solo opponent.,A Quick Test
2576,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2582,You have successfully pierced the holy barriers protecting the Black Temple. Confer with Kayn Sunfury and prepare to confront Akama.,You CAN Go Home
2583,The gates to the Temple Summit proper are closed. Akama is on the other side. Have your Illidari force a way in.,Nothing Will Bar Our Way
2584,Enter the Temple Summit and confront Akama. Convince him to join you in taking the fight to the Burning Legion's worlds.,Confronting an Old Foe
2585,"Akama will not be persuaded by words. Perhaps force will do the trick. But, how to win and not lose in doing so?",If He Will Not Listen to Reason...
2586,Akama is defeated. Speak with him and convince him to join you.,A Final Attempt at Diplomacy
2587,Learn about Summon Water Elemental.,A Frosty Friend
2588,Learn about Deadly Poison.,Coating Your Daggers
2589,Learn about Frostbolt.,A Bolt Best Served Cold
2590,Learn about Ice Lance.,Icy Death
2591,Learn about Ice Lance and Fingers of Frost.,Frozen Fingers
2593,Use all your new abilities on the target dummy.,Putting It All Together
2594,Learn about Blink.,"Hey, I'm Over Here Now!"
2595,Learn about Frost Nova.,Freezing Roots
2596,Learn about Blizzard.,Dropping Ice from the Sky
2597,Use what you have learned to defeat a solo opponent.,A Quick Test
2598,Leave the airship and join the assault.,Orders from Command
2599,Speak with Thassarian.,A Personal Request
2600,Repel the legion invasion by closing their portals and sending them back to the twisting nether.,Falling Skies
2601,Defeat the three legion magi imprisoning Archmage Vargoth.,Twisting in the Wind
2602,Find a way into the Nexus building,Stealth Philosophy
2603,Defeat Kathra'natir by imprisoning him inside the Nightborne Soulstone,The Soulstone's Power
2604,Talk to Archmage Vargoth,Archmage Vargoth
2605,Speak to Khadgar when you are ready for him to begin channeling his essence into the arcane vessel.,Arcane Essence
2606,Rescue Koltira from the Apothecarium.,Prisoner No More
2608,Watch over Archmage Khadgar as he channels his essence into the arcane vessel.,Becoming the Bait
2609,Use your Flare to see if Hakkar has taken the bait.,Discovering Demons
2610,Use an arcane portal to travel to the center Band of Transmutation,Center of Gravity
2613,You've entered the temple grounds. Meet with The Monkey King and prepare to head deeper into the complex.,Crisis in the Temple
2617,Learn about Stealth,Sneaking Around
2618,Learn about Garrote.,Slitting Throats
2619,Learn about Mutilate.,When One Dagger Just Isn't Enough
2620,Learn about Rupture.,The Gift That Keeps On Giving
2621,Learn about Envenom.,"More Poison, Please!"
2622,Use all your new abilities on the target dummy.,Putting It All Together
2623,Learn about Vanish.,Slipping Into The Shadows
2624,Use what you have learned to defeat a solo opponent.,A Quick Test
2625,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2626,Talk to Archmage Vargoth to teleport to ground level,Grounded
2628,Seek out Prophet Velen in the Vault of Lights.,The Prophet and the Butcher
2629,Rescue terrified citizens found throughout the Exodar and destroy Legion fel portals.,In Defense of the Exodar
2630,Return to Prophet Velen in the Vault of Lights.,Return to the Prophet
2631,Let Prophet Velen examine the Mysterious Lightbound Object.,The Light's Heart
2632,Call upon the power of the Ashbringer to break free from Balnazzar's control.,One Final Blessing
2633,Man the artillery console and use the Fel Hammer's batteries to lay waste to the Legion forces below.,Commence Bombardment!
2634,Learn about Outbreak.,Spreading your Disease
2635,Learn about Festering Strike.,It Festers
2636,Learn about Scourge Strike.,Harnessing the Scourge
2637,Learn about Death Coil.,"Coiled, and Ready to Attack"
2638,Use all your new abilities on the target dummy.,Putting It All Together
2639,Learn about Death Grip.,Get Over Here!
2640,Defend the airship!,Defend Against the Assault
2641,Leave the airship and join the assault.,Orders from Command
2642,Learn about Army of the Dead.,Raising Some Friends
2643,Defeat the Legion Commander threatening Kharanos.,Defeat the Demon Commander
2644,Repel the Legion's forces throughout Dun Morogh.,Repel the Legion Forces
2645,Defeat the demon lord commanding the invasion at Kharanos.,Defeat the Demon Lord
2646,Man the artillery console and use the Fel Hammer's batteries to lay waste to the Legion forces below.,Commence Bombardment!
2647,Speak with Altruis the Sufferer to deploy your forces and then use your Glide ability to get down to the rendezvous point below.,Glide Down to the Rendezvous
2648,Speak with Kayn Sunfury to deploy your forces and then use your Glide ability to get down to the rendezvous point below.,Glide Down to the Rendezvous
2649,The scribes are trapped within Scrollkeeper's Sanctum. Break in and rescue them!,Checking Out
2650,A powerful demon has killed Lorewalker Stonestep! Avenge his death and look for any further survivors.,Hungering for Revenge
2651,"Kill Caria and Varedis's lieutenants, and destroy all of the portals they are using to summon in reinforcements.",Destroy the Legion
2652,"Kill Caria and Varedis's lieutenants, and destroy all of the portals they are using to summon in reinforcements.",Destroy the Legion
2653,"Speak with Altruis in front of the command center, where Caria and Varedis are protected behind a Fel Barrier.",Regroup In Front of the Command Center
2654,Speak with Kayn in front of the command center where Caria and Varedis are protected behind a Fel Barrier.,Regroup In Front of the Command Center
2655,Order the Fel Hammer to move into position and fire upon the other command center. This will bring down the Fel Barrier and allow entry.,"Fel Hammer, Fire!"
2656,Order the Fel Hammer to move into position and fire upon the other command center. This will bring down the Fel Barrier and allow entry.,"Fel Hammer, Fire!"
2657,Kill Caria and Varedis Felsoul.,Caria and Varedis At Last
2658,Kill Caria and Varedis Felsoul.,Caria and Varedis At Last
2659,Caria and Varedis are dead. Speak with Altruis and have Matron Mother Malevolence teleport all of you back to the Fel Hammer.,"Malevolence, Get Us Out of Here"
2660,Caria and Varedis are dead. Speak with Kayn and have Matron Mother Malevolence teleport all of you back to the Fel Hammer.,"Malevolence, Get Us Out of Here"
2661,Follow The Monkey King into the temple.,Death from Above
2662,Leap on Felbats and defeat their riders.,Defeat the Felbat Riders
2663,"Yu'lon, the Jade Serpent, has been injured! Defend her from the demonic attackers!",The Battle of the Serpent
2664,Slay the Hateful Corruptors and rescue Hodir.,Save Hodir
2665,The Eredar Lord Korithis is attacking the temple! Stop him!,On Fel Wings
2666,Korithis has been defeated! Claim Fu Zan for your own!,"Fu Zan, the Wanderer's Companion"
2667,Find Magni Bronzebeard. The caretaker said he'd be in the Celestial Planetarium.,Locate Magni
2671,Fight your way to the Observation Ring,"Demons, Demons, Everywhere..."
2672,Follow the Iron Dwarf,Small But Mighty
2673,Pull the door open,A Feat of Strength
2675,Dive near Thorim.,Crash Landing
2676,Defeat Inquisitor Ha'zaduum and his minions to save Magni.,Defeat the Demons
2677,Walk with Magni Bronzebeard to the Celestial Planetarium.,Escort Magni
2678,Listen to the information Magni Bronzebeard wants to share with you.,The Diamond King's Message
2680,Speak with Thalyssra to assemble your withered army.,Loadout
2681,"Enter the Collapse and proceed as far as you can. Dying, losing all your withered, or speaking with Thalyssra again will end the scenario.",Down in the Depths
2682,Return to the entrance of the Collapse and collect any rewards that you found.,Spoils of War
2683,,Aiding Thorim
2684,Search the Sanctum for any additional survivors.,Down But Not Out
2685,Slay Dread Commander Arganoth.,Defeat the Commander
2686,"Defeat Hakkar's felhounds, Kreenam and Czaadym.",Defeat Kreenam and Czaadym
2687,Defeat Hakkar the Houndmaster within the Violet Hold.,Defeat Hakkar the Houndmaster
2688,Hodir has been overcome by fel energies and must be stopped.,Defeat Hodir
2689,"Let Archmage Khadgar know that Dalaran will be safe, thanks to your heroic actions.",Speak to Archmage Khadgar
2691,Rescue Hodir!,"Hodir, Hodir, Hodir!"
2692,Follow Hodir to the Clash of Thunder,The Clash Of Thunder
2693,Get through the Legion gauntlet,A Feat of Battle
2696,Escort Thassarian through the Undercity.,A Bold Rescue
2700,The Shadow Council is most likely looking for a prisoner. The cell blocks are a good choice to start.,Where Are They?
2701,"With Fu Zan in hand, ride upon Yu'lon to return to the Wandering Isle.",The Wanderer Awakens
2702,Use what you have learned to defeat a solo opponent.,A Quick Test
2703,Use what you have learned to defeat two opponents at the same time.,Challenge Accepted
2707,Speak with Darion Mograine.,The Return to Light's Hope
2708,Prepare for the invasion of Light's Hope Chapel.,Preparations
2709,Speak with Highlord Darion Mograine to begin the invasion.,Upon the Hill of No Return
2711,Obtain information about where the cultists are meeting within Stormwind.,To Catch a Cultist
2712,Wield the Twinblades of the Deceiver.,The Twinblades of the Deceiver
2714,Raise the dead in the tomb behind Light's Hope Chapel.,The Dead Shall Rise
2715,The remaining Council aspirants have been greatly thinned. Meet up with the survivors and find out their plans.,The Other Players
2716,"Tyranis Malem was sent ahead deeper into D-Block. Head into the cells, find him, and find out what he knows.",The Third One
2717,It is easier to get more credit with less help. Tyranis should suffer an unfortunate accident. Break the chain he holds or leave him to his fate.,An Unfortunate Accident
2718,"The manifest isn't here, time to continue the search elsewhere.",Back to Searching
2719,"Nagaz needs ""help with something"", probably a trap. Wait for him to spring it, then turn the tables.",A Secret Meeting
2720,Continue searching for the prison manifest in the cell block.,Back to the Manifest
2721,Ascend into the gates of Niskara.,The Final Battle
2722,Defeat the Legion Commander threatening Tarren Mill.,Defeat the Demon Commander
2723,Repel the Legion's forces throughout Hillsbrad Foothills.,Repel the Legion Forces
2724,Allaris believes the manifest to be here. Accompany him and find it.,The Final Wing
2725,The manifest indicates that the target is in Baradin Hold. Go there with Allaris and find the creature.,Baradin Hold
2726,The massive void terror has consumed the Eye. Kill it to retrieve the Eye.,The Eye of the Beast
2727,Meet with Highlord Darion Mograine in the Chapel.,The Highlord Awaits
2728,,Rescue Thorim
2729,Learn about being a Paladin.,Combat Training
2730,Learn about being a Warrior.,Combat Training
2731,Learn about being a Hunter.,Combat Training
2732,Learn about being a Rogue.,Combat Training
2733,Learn about being a Priest.,Combat Training
2734,Learn about being a Death Knight.,Combat Training
2735,Learn about being a Shaman.,Combat Training
2736,Learn about being a Mage.,Combat Training
2737,Learn about being a Warlock.,Combat Training
2738,Learn about being a Monk.,Combat Training
2739,Learn about being a Druid.,Combat Training
2740,Defeat the demon lord commanding the invasion at Tarren Mill.,Defeat the Demon Lord
2741,Use what you have learned to defeat a solo opponent.,A Quick Test
2743,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2744,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2745,Defend the airship!,Defend Against the Assault
2746,Use what you have learned to defeat a solo opponent.,A Quick Test
2747,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2748,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2749,Defend the airship!,Defend Against the Assault
2750,Defend the airship!,Defend Against the Assault
2751,Leave the airship and join the assault.,Orders from Command
2752,Use what you have learned to defeat two opponents at the same time.,Twice the Challenge
2753,Defend the airship!,Defend Against the Assault
2755,Fight your way to the Hall of Champions.,The Sanctum of Light
2756,Defeat Lady Liadrin in the Hall of Champions.,Lady of the Light
2757,Open the Tomb of Tirion Fordring.,An Unholy Fate
2758,"Speak to Prophet Velen, then escort him to the Seat of the Naaru.",A Long Way Down...
2762,Defend the airship!,Defend Against the Assault
2763,Leave the airship and join the assault.,Orders from Command
2767,Slay the Duskwatch Archivists to escape the Forgotten Library.,Hitting the Books
2768,Defend the airship!,Defend Against the Assault
2769,Leave the airship and join the assault.,Orders from Command
2771,Defend the airship!,Defend Against the Assault
2772,Leave the airship and join the assault.,Orders from Command
2773,Defend the airship!,Defend Against the Assault
2774,Leave the airship and join the assault.,Orders from Command
2775,Defeat the Legion Commander threatening Orgrimmar Rear Gate.,Defeat the Demon Commander
2776,Repel the Legion's forces throughout Azshara.,Repel the Legion Forces
2777,Defeat the demon lord commanding the invasion at the Orgrimmar Rear Gate.,Defeat the Demon Lord
2778,Join the battle at Netherlight Temple.,Join the Battle
2779,Slay Balnazzar.,Defeat Balnazzar
2780,Destroy 4 Legion portals.,Destroy Legion portals.
2782,Defeat Ogoroth and Torenai the Souleater.,Defeat Balnazzar's Lieutenants
2788,Deal with the restless spirits of Black Rook Hold.,Black Rook Hold
2789,Deal with the restless spirits of Black Rook Hold.,Black Rook Hold
2790,Defeat High General Rakeesh.,Revelations...
